 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	153.280	505.079	84.180	85.000	58.000	0.000	0.000	68.158	0	22.768	27.287	streak	0.492	free	128.306	128.306	154.480	166.909	yes	streak-free
2	2	160.889	459.752	76.625	43.109	16.984	0.109	-0.016	82.101	0	63.720	36.005	streak	0.527	bound	127.837	127.837	158.284	170.865	yes	streak-bound
3	3	124.053	359.047	59.841	58.016	67.875	0.016	-0.125	48.291	0	36.060	239.752	Undefined	0.487	free	117.776	117.776	147.274	159.409	yes	Undefined-free
4	4	153.190	483.495	80.582	52.000	29.266	0.000	0.266	73.055	0	22.768	78.314	streak	0.534	bound	119.143	119.143	149.053	161.262	yes	streak-bound
5	5	148.878	322.504	53.751	62.000	24.531	0.000	-0.469	71.297	0	26.214	190.200	Undefined	0.515	bound	145.592	145.592	149.258	161.475	yes	Undefined-bound
6	6	127.168	229.897	38.316	69.328	27.047	0.328	0.047	72.232	0	186.853	308.838	spot	0.521	bound	116.898	116.898	145.776	157.850	yes	spot-bound
7	7	160.280	429.959	71.660	87.141	40.188	0.141	0.188	63.181	0	74.261	77.141	streak	0.469	free	133.633	133.633	148.020	160.186	yes	streak-free
8	8	153.701	358.498	59.750	32.000	91.000	0.000	0.000	64.658	0	22.768	23.503	streak	0.487	free	138.408	138.408	148.880	161.082	yes	streak-free
9	9	149.639	262.467	43.745	82.938	68.234	-0.062	0.234	73.194	0	447.538	83.149	streak	0.565	bound	134.673	134.673	149.098	161.308	yes	streak-bound
