 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	137.590	454.595	75.766	26.000	86.000	0.000	0.000	57.492	0	22.768	22.768	streak	0.487	free	119.184	119.184	138.790	150.571	yes	streak-free
2	2	153.487	462.970	77.162	38.531	11.531	-0.469	-0.469	72.448	0	123.017	152.025	Undefined	0.569	bound	153.673	153.673	146.738	158.852	yes	Undefined-bound
3	3	153.919	411.411	68.568	79.000	72.000	0.000	0.000	68.773	0	22.768	22.768	streak	0.474	free	130.000	130.000	149.532	161.760	yes	streak-free
4	5	153.410	462.146	77.024	78.734	34.000	-0.266	0.000	79.789	0	77.790	22.768	streak	0.500	bound	114.551	114.551	146.213	158.305	yes	streak-bound
5	6	129.414	379.462	63.244	15.000	63.000	0.000	0.000	55.406	0	22.768	27.059	streak	0.424	free	104.673	104.673	143.613	155.597	yes	streak-free
6	7	145.185	598.304	99.717	36.000	33.406	0.000	0.406	57.393	0	22.768	80.834	streak	0.485	free	133.306	133.306	144.009	156.009	yes	streak-free
7	8	127.632	452.937	75.489	56.188	51.594	0.188	-0.406	55.935	0	212.292	94.011	streak	0.477	free	119.653	119.653	142.112	154.033	yes	streak-free
8	9	159.200	525.452	87.575	80.438	40.750	0.438	-0.250	69.261	0	92.399	81.972	streak	0.482	free	141.204	141.204	144.144	156.150	yes	streak-free
9	10	143.176	179.975	29.996	57.750	20.938	-0.250	-0.062	62.957	0	293.872	363.193	spot	0.531	bound	165.551	165.551	144.167	156.174	yes	spot-bound
10	11	157.880	412.197	68.699	36.719	42.000	-0.281	0.000	72.325	0	81.496	22.768	streak	0.509	bound	130.367	130.367	145.523	157.586	yes	streak-bound
11	12	140.006	352.938	58.823	70.984	83.000	-0.016	0.000	53.454	0	23.485	22.768	streak	0.431	free	121.673	121.673	145.163	157.211	yes	streak-free
12	13	147.088	393.613	65.602	89.781	78.031	-0.219	0.031	54.446	0	88.295	23.306	streak	0.388	free	120.061	120.061	145.404	157.462	yes	streak-free
13	14	143.304	536.313	89.386	86.562	60.203	-0.438	0.203	54.005	0	86.589	99.264	streak	0.445	free	140.388	140.388	145.339	157.395	yes	streak-free
14	15	138.495	286.476	47.746	68.031	38.031	0.031	0.031	59.158	0	119.202	193.750	spot	0.472	free	130.000	130.000	144.963	157.003	yes	spot-free
15	16	149.075	308.808	51.468	36.000	86.016	0.000	0.016	46.416	0	22.768	28.193	streak	0.404	free	124.551	124.551	145.295	157.349	yes	streak-free
16	17	155.214	303.835	50.639	77.984	61.000	-0.016	0.000	60.075	0	22.768	24.214	streak	0.422	free	129.510	129.510	145.949	158.030	yes	streak-free
17	19	155.883	293.237	48.873	71.000	22.000	0.000	0.000	57.153	0	22.768	22.768	streak	0.445	free	127.837	127.837	146.411	158.511	yes	streak-free
18	20	171.591	273.741	45.623	60.984	78.312	-0.016	0.312	60.616	0	22.768	173.113	Undefined	0.476	free	156.000	156.000	147.730	159.885	yes	Undefined-free
19	21	154.664	234.478	39.080	31.750	9.172	-0.250	0.172	69.152	0	137.261	201.152	spot	0.472	free	136.102	136.102	148.117	160.288	yes	spot-free
20	22	128.394	315.864	52.644	44.000	69.000	0.000	0.000	54.896	0	22.768	22.768	streak	0.419	free	126.102	126.102	147.276	159.411	yes	streak-free
21	23	148.227	419.190	69.865	80.375	20.000	0.375	0.000	58.402	0	84.500	42.521	streak	0.427	free	115.755	115.755	147.369	159.509	yes	streak-free
22	24	144.449	500.032	83.339	79.281	11.297	0.281	0.297	60.279	0	87.317	77.679	streak	0.442	free	135.306	135.306	147.297	159.434	yes	streak-free
23	25	121.227	258.321	43.054	25.562	15.312	-0.438	0.312	58.053	0	169.531	152.699	spot	0.401	free	100.653	100.653	146.303	158.398	yes	spot-free
24	26	148.310	133.282	22.214	86.344	18.219	0.344	0.219	60.855	0	348.207	199.772	spot	0.486	free	145.347	145.347	146.426	158.527	no	spot-free
25	27	129.367	302.281	50.380	27.000	62.016	0.000	0.016	48.271	0	25.057	23.485	streak	0.336	free	102.980	102.980	145.839	157.915	yes	streak-free
26	28	139.000	338.264	56.377	28.938	43.859	-0.062	-0.141	61.901	0	151.907	148.383	spot	0.503	bound	133.551	133.551	145.637	157.705	yes	spot-bound
27	29	125.192	152.782	25.464	54.000	35.953	0.000	-0.047	61.610	0	384.705	191.825	Undefined	0.425	free	114.796	114.796	144.974	157.014	no	Undefined-free
28	32	144.033	385.672	64.279	31.344	56.000	0.344	0.000	52.928	0	80.040	22.768	streak	0.380	free	123.673	123.673	144.072	156.075	yes	streak-free
29	33	170.563	250.483	41.747	26.016	32.000	0.016	0.000	59.014	0	24.428	22.768	streak	0.396	free	144.510	144.510	144.938	156.977	yes	streak-free
30	35	123.832	401.434	66.906	46.625	49.000	-0.375	0.000	57.136	0	89.214	22.768	streak	0.377	free	93.837	93.837	144.334	156.348	yes	streak-free
