 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	128.419	394.052	34.265	89.000	55.984	0.000	-0.016	45.413	0	22.768	23.491	streak	0.473	free	107.020	107.020	130.719	142.152	yes	streak-free
2	2	119.641	381.509	33.175	26.938	64.000	-0.062	0.000	46.069	0	131.775	22.768	streak	0.496	free	110.143	110.143	126.330	137.569	yes	streak-free
3	3	124.203	484.853	42.161	78.000	61.656	0.000	-0.344	45.822	0	22.768	77.004	streak	0.499	free	118.327	118.327	126.387	137.630	yes	streak-free
4	4	124.711	483.819	42.071	36.625	49.000	-0.375	0.000	53.179	0	82.483	22.768	streak	0.532	bound	106.694	106.694	126.543	137.793	yes	streak-bound
5	5	127.155	357.901	31.122	56.297	20.406	0.297	0.406	56.941	0	83.883	163.130	Undefined	0.549	bound	125.551	125.551	127.126	138.401	yes	Undefined-bound
6	6	112.626	325.195	28.278	85.984	66.000	-0.016	0.000	50.410	0	23.485	22.768	streak	0.480	free	99.000	99.000	125.093	136.277	yes	streak-free
7	7	130.782	302.763	26.327	45.000	69.000	0.000	0.000	56.343	0	22.768	22.768	streak	0.477	free	103.898	103.898	126.234	137.469	yes	streak-free
8	8	101.598	459.039	39.916	9.000	20.344	0.000	0.344	43.617	0	22.768	80.540	streak	0.467	free	99.735	99.735	123.442	134.552	yes	streak-free
9	9	131.011	445.034	38.699	36.422	28.750	0.422	-0.250	55.794	0	87.982	81.654	streak	0.460	free	121.429	121.429	124.538	135.698	yes	streak-free
10	10	127.859	247.554	21.526	84.000	20.000	0.000	0.000	49.460	0	223.796	22.768	streak	0.520	bound	127.449	127.449	125.101	136.285	yes	streak-bound
11	11	125.025	312.429	27.168	86.125	45.062	0.125	0.062	53.372	0	84.314	28.199	streak	0.407	free	112.898	112.898	125.303	136.497	yes	streak-free
12	12	129.414	224.547	19.526	68.734	73.125	-0.266	0.125	49.303	0	295.024	76.314	streak	0.487	free	115.633	115.633	125.837	137.055	yes	streak-free
13	13	136.381	341.529	29.698	59.000	31.500	0.000	-0.500	56.628	0	22.768	95.503	streak	0.524	bound	107.714	107.714	126.825	138.087	yes	streak-bound
14	14	110.735	262.608	22.836	25.000	13.000	0.000	0.000	56.643	0	22.768	22.768	streak	0.426	free	98.429	98.429	125.840	137.058	yes	streak-free
15	15	132.772	166.527	14.481	17.109	76.797	0.109	0.797	56.326	0	156.732	265.759	spot	0.488	free	128.102	128.102	126.456	137.701	yes	spot-free
16	16	114.191	203.676	17.711	33.000	66.250	0.000	0.250	60.568	0	22.768	191.849	Undefined	0.441	free	86.102	86.102	125.833	137.050	yes	Undefined-free
17	17	122.656	250.665	21.797	55.000	54.031	0.000	0.031	55.716	0	22.768	30.222	streak	0.478	free	91.878	91.878	125.781	136.996	yes	streak-free
18	18	124.512	263.602	22.922	86.000	78.891	0.000	-0.109	45.279	0	22.768	171.304	Undefined	0.461	free	106.490	106.490	125.838	137.056	yes	Undefined-free
19	19	99.870	368.265	32.023	18.344	85.922	0.344	-0.078	37.528	0	86.976	105.420	streak	0.375	free	90.755	90.755	124.593	135.755	yes	streak-free
20	20	114.073	398.845	34.682	71.562	47.000	-0.438	0.000	44.524	0	88.471	27.673	streak	0.388	free	99.469	99.469	124.182	135.325	yes	streak-free
21	21	116.444	323.430	28.124	32.000	36.312	0.000	0.312	49.111	0	22.768	78.565	streak	0.450	free	102.633	102.633	123.923	135.055	yes	streak-free
22	22	103.051	263.446	22.908	40.984	21.000	-0.016	0.000	34.691	0	22.768	22.768	streak	0.355	free	91.959	91.959	123.079	134.173	yes	streak-free
23	23	129.519	231.338	20.116	10.000	74.000	0.000	0.000	47.900	0	22.768	22.768	streak	0.446	free	106.755	106.755	123.459	134.570	yes	streak-free
24	24	102.579	255.395	22.208	41.969	37.641	-0.031	-0.359	51.924	0	415.298	82.325	streak	0.488	free	95.918	95.918	122.684	133.761	yes	streak-free
25	28	124.639	228.758	19.892	22.000	26.016	0.000	0.016	46.693	0	22.768	28.146	streak	0.393	free	104.102	104.102	122.077	133.126	yes	streak-free
26	29	103.836	246.211	21.410	69.000	54.000	0.000	0.000	52.706	0	22.768	22.768	streak	0.381	free	72.959	72.959	121.487	132.509	yes	streak-free
27	30	117.873	133.732	11.629	35.016	7.969	1.016	-0.031	53.655	0	420.569	33.992	streak	0.484	free	111.082	111.082	121.440	132.460	yes	streak-free
28	31	99.500	298.852	25.987	47.453	79.547	0.453	-0.453	39.237	0	170.065	97.909	streak	0.417	free	93.694	93.694	120.763	131.752	yes	streak-free
29	32	119.895	222.188	19.321	11.984	10.000	-0.016	0.000	44.485	0	30.022	22.768	streak	0.355	free	100.653	100.653	120.810	131.802	yes	streak-free
30	33	105.358	236.933	20.603	35.000	21.984	0.000	-0.016	47.771	0	24.972	22.768	streak	0.372	free	73.571	73.571	120.386	131.358	yes	streak-free
31	34	107.684	438.640	38.143	19.531	37.016	-0.469	0.016	53.292	0	81.496	125.977	streak	0.458	free	91.612	91.612	120.061	131.018	yes	streak-free
32	36	113.929	282.114	24.532	79.703	81.000	-0.297	0.000	42.979	0	79.833	22.768	streak	0.412	free	95.571	95.571	119.945	130.897	yes	streak-free
33	37	111.565	229.096	19.921	36.891	54.562	-0.109	-0.438	48.661	0	174.238	113.648	spot	0.453	free	95.980	95.980	119.766	130.710	yes	spot-free
34	38	105.583	341.442	29.691	23.344	50.406	0.344	0.406	43.314	0	111.518	81.796	streak	0.413	free	89.857	89.857	119.427	130.355	yes	streak-free
35	39	126.534	205.244	17.847	73.000	20.000	0.000	0.000	56.957	0	22.768	22.768	streak	0.419	free	97.796	97.796	119.688	130.628	yes	streak-free
36	40	111.259	159.992	13.912	75.984	28.531	-0.016	-0.469	50.830	0	22.768	309.671	Undefined	0.412	free	95.612	95.612	119.522	130.455	yes	Undefined-free
37	41	110.464	222.056	19.309	10.000	52.125	0.000	0.125	45.849	0	22.768	118.027	streak	0.354	free	90.265	90.265	119.344	130.269	yes	streak-free
38	42	101.076	337.547	29.352	65.516	42.375	0.516	0.375	37.053	0	137.173	79.926	streak	0.369	free	98.102	98.102	118.935	129.841	yes	streak-free
39	43	116.992	207.291	18.025	68.000	65.000	0.000	0.000	45.809	0	22.768	22.768	streak	0.359	free	87.204	87.204	118.944	129.850	yes	streak-free
40	44	112.812	212.462	18.475	38.000	79.188	0.000	0.188	42.320	0	22.768	124.023	streak	0.398	free	106.449	106.449	118.850	129.752	yes	streak-free
41	45	118.254	329.866	28.684	66.000	87.422	0.000	0.422	49.358	0	22.768	83.565	streak	0.418	free	97.857	97.857	118.891	129.795	yes	streak-free
42	46	99.660	282.229	24.542	41.375	14.000	0.375	0.000	35.451	0	104.083	22.768	streak	0.355	free	86.286	86.286	118.497	129.383	yes	streak-free
43	48	127.619	187.072	16.267	51.000	30.000	0.000	0.000	49.097	0	22.768	22.768	streak	0.429	free	99.816	99.816	118.297	129.174	yes	streak-free
44	49	109.516	390.823	33.985	66.516	80.641	0.516	-0.359	44.971	0	96.995	92.739	streak	0.418	free	99.980	99.980	118.156	129.026	yes	streak-free
45	51	123.019	189.629	16.489	88.984	73.000	-0.016	0.000	54.805	0	23.485	25.057	streak	0.443	free	106.449	106.449	118.309	129.186	yes	streak-free
46	53	97.927	206.879	17.989	74.016	37.125	0.016	0.125	36.810	0	27.911	163.931	Undefined	0.349	free	84.408	84.408	117.932	128.792	yes	Undefined-free
47	55	112.789	116.549	10.135	89.250	37.188	1.250	1.188	53.248	0	409.298	89.214	streak	0.435	free	103.469	103.469	117.509	128.349	no	streak-free
48	57	121.285	157.591	13.704	11.562	26.969	0.562	-0.031	46.438	0	184.299	23.491	streak	0.385	free	103.592	103.592	117.628	128.474	yes	streak-free
49	59	103.417	198.620	17.271	62.984	51.000	-0.016	0.000	48.451	0	22.768	22.768	streak	0.419	free	91.551	91.551	117.399	128.234	yes	streak-free
50	62	98.569	195.405	16.992	24.000	44.000	0.000	0.000	50.102	0	22.768	22.768	streak	0.379	free	88.755	88.755	117.087	127.908	yes	streak-free
51	67	105.691	172.561	15.005	62.812	23.297	-0.188	0.297	44.718	0	242.128	173.263	spot	0.416	free	103.837	103.837	117.011	127.828	yes	spot-free
52	78	114.911	213.958	18.605	91.000	27.297	0.000	0.297	41.355	0	32.635	79.264	streak	0.391	free	103.980	103.980	117.015	127.832	yes	streak-free
53	81	102.585	172.427	14.994	54.000	84.984	0.000	-0.016	47.202	0	22.768	29.273	streak	0.357	free	83.224	83.224	116.802	127.610	yes	streak-free
54	83	98.981	149.763	13.023	58.344	77.984	0.344	-0.016	45.238	0	287.738	29.553	streak	0.409	free	90.347	90.347	116.534	127.330	yes	streak-free
