 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	115.020	503.874	83.979	13.516	12.562	-0.484	-0.438	48.414	0	114.441	91.660	streak	0.528	bound	114.918	114.918	116.220	127.001	yes	streak-bound
2	2	115.819	331.388	55.231	89.000	54.000	0.000	0.000	47.995	0	22.768	22.768	streak	0.405	free	82.367	82.367	116.620	127.419	yes	streak-free
3	3	123.459	304.739	50.790	22.984	15.000	-0.016	0.000	47.275	0	22.768	22.768	streak	0.414	free	86.735	86.735	119.300	130.222	yes	streak-free
4	4	129.831	287.760	47.960	17.000	32.031	0.000	0.031	56.382	0	29.084	27.042	streak	0.418	free	101.000	101.000	122.232	133.288	yes	streak-free
5	5	135.789	273.257	45.543	84.000	66.000	0.000	0.000	64.024	0	22.768	22.768	streak	0.485	free	91.571	91.571	125.184	136.372	yes	streak-free
6	6	110.410	223.336	37.223	72.125	79.000	0.125	0.000	50.656	0	304.050	23.485	streak	0.504	bound	94.918	94.918	122.921	134.008	yes	streak-bound
7	7	120.025	198.253	33.042	88.969	72.750	-0.031	-0.250	53.570	0	188.757	203.328	spot	0.528	bound	101.959	101.959	122.679	133.755	yes	spot-bound
8	8	122.776	163.824	27.304	60.594	38.000	0.594	0.000	43.980	0	461.212	22.768	streak	0.465	free	116.755	116.755	122.841	133.925	yes	streak-free
9	9	112.075	311.274	51.879	91.000	31.172	0.000	0.172	59.517	0	22.768	67.718	streak	0.468	free	82.388	82.388	121.778	132.814	yes	streak-free
10	10	111.224	276.734	46.122	31.000	86.000	0.000	0.000	45.448	0	22.768	26.434	streak	0.444	free	104.327	104.327	120.843	131.836	yes	streak-free
11	11	108.872	233.277	38.880	89.016	85.875	0.016	-0.125	45.478	0	23.485	224.445	Undefined	0.458	free	96.082	96.082	119.864	130.812	yes	Undefined-free
12	12	115.223	381.067	63.511	68.000	84.625	0.000	-0.375	50.486	0	22.768	89.214	streak	0.433	free	94.571	94.571	119.577	130.512	yes	streak-free
13	13	121.261	219.785	36.631	24.125	25.422	0.125	0.422	57.412	0	491.042	80.202	streak	0.505	bound	105.980	105.980	119.799	130.744	yes	streak-bound
14	14	132.166	253.714	42.286	39.000	23.000	0.000	0.000	51.454	0	22.768	22.768	streak	0.493	free	128.510	128.510	120.768	131.757	yes	streak-free
15	16	119.972	239.972	39.995	81.312	59.531	0.312	-0.469	55.802	0	101.870	246.094	Undefined	0.520	bound	120.469	120.469	120.795	131.785	yes	Undefined-bound
16	17	114.215	226.335	37.723	74.469	31.828	0.469	-0.172	41.718	0	306.519	84.268	streak	0.437	free	112.551	112.551	120.459	131.434	yes	streak-free
17	18	131.587	305.049	50.841	55.688	15.000	-0.312	0.000	48.839	0	80.887	22.768	streak	0.487	free	113.490	113.490	121.184	132.192	yes	streak-free
18	20	127.143	238.526	39.754	43.000	41.000	0.000	0.000	45.782	0	22.768	22.768	streak	0.448	free	98.347	98.347	121.640	132.669	yes	streak-free
19	21	124.828	296.515	49.419	50.000	70.750	0.000	-0.250	46.359	0	22.768	77.921	streak	0.373	free	111.551	111.551	121.860	132.899	yes	streak-free
20	22	116.468	319.986	53.331	26.062	36.688	0.062	-0.312	44.238	0	31.005	122.725	streak	0.419	free	106.286	106.286	121.660	132.690	yes	streak-free
21	24	116.247	236.528	39.421	17.719	52.000	-0.281	0.000	51.046	0	89.534	223.796	Undefined	0.470	free	109.918	109.918	121.248	132.260	yes	Undefined-free
22	25	115.471	211.066	35.178	24.000	88.891	0.000	-0.109	56.073	0	22.768	217.969	Undefined	0.437	free	99.612	99.612	121.058	132.060	yes	Undefined-free
23	26	111.647	364.277	60.713	10.594	80.000	-0.406	0.000	50.344	0	91.073	22.768	streak	0.448	free	89.204	89.204	120.729	131.717	yes	streak-free
