 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	102.573	476.502	79.417	75.812	81.234	-0.188	0.234	39.648	0	82.818	82.675	streak	0.435	free	84.837	84.837	103.773	113.960	yes	streak-free
2	2	112.211	375.060	62.510	85.000	67.000	0.000	0.000	37.199	0	22.768	22.768	streak	0.398	free	93.347	93.347	108.592	119.013	yes	streak-free
3	3	118.792	467.253	77.876	34.000	79.734	0.000	-0.266	51.552	0	22.768	73.215	streak	0.454	free	95.224	95.224	112.392	122.994	yes	streak-free
4	4	119.684	307.963	51.327	25.266	21.719	0.266	-0.281	54.850	0	209.180	82.883	streak	0.516	bound	107.000	107.000	114.515	125.216	yes	streak-bound
5	5	112.313	442.052	73.675	40.203	19.297	0.203	0.297	46.708	0	88.989	84.588	streak	0.452	free	102.714	102.714	114.315	125.007	yes	streak-free
6	6	125.235	309.471	51.578	9.000	10.000	0.000	0.000	55.887	0	22.768	22.768	streak	0.515	bound	105.061	105.061	116.335	127.121	yes	streak-bound
7	7	118.670	415.381	69.230	67.734	47.000	-0.266	0.000	50.406	0	71.521	22.768	streak	0.498	free	110.000	110.000	116.840	127.649	yes	streak-free
8	8	107.146	331.865	55.311	15.125	19.000	0.125	0.000	46.918	0	110.660	22.768	streak	0.442	free	81.184	81.184	115.778	126.538	yes	streak-free
9	9	117.778	323.721	53.954	22.109	11.969	0.109	-0.031	50.735	0	92.937	23.861	streak	0.437	free	99.694	99.694	116.134	126.910	yes	streak-free
10	10	122.437	483.371	80.562	74.281	55.281	0.281	0.281	55.843	0	99.127	68.482	streak	0.479	free	98.061	98.061	116.884	127.695	yes	streak-free
11	11	112.124	295.010	49.168	78.000	45.000	0.000	0.000	42.778	0	22.768	98.389	streak	0.411	free	94.980	94.980	116.560	127.357	yes	streak-free
12	12	121.398	276.493	46.082	71.000	63.000	0.000	0.000	45.878	0	22.768	22.768	streak	0.432	free	104.571	104.571	117.063	127.883	yes	streak-free
13	13	119.773	273.903	45.650	65.000	14.000	0.000	0.000	52.879	0	22.768	22.768	streak	0.479	free	99.776	99.776	117.364	128.198	yes	streak-free
14	14	100.657	213.494	35.582	44.234	43.984	0.234	-0.016	48.028	0	241.699	23.485	streak	0.399	free	92.592	92.592	116.257	127.039	yes	streak-free
15	15	106.587	358.563	59.760	77.281	37.000	0.281	0.000	52.173	0	76.402	22.768	streak	0.377	free	84.857	84.857	115.692	126.448	yes	streak-free
16	16	111.092	144.628	24.105	61.000	24.875	0.000	-0.125	48.579	0	23.130	469.934	Undefined	0.444	free	98.449	98.449	115.479	126.226	yes	Undefined-free
17	17	117.298	279.120	46.520	27.000	47.078	0.000	0.078	44.621	0	23.503	138.428	streak	0.429	free	115.735	115.735	115.657	126.411	yes	streak-free
18	18	116.340	452.144	75.357	47.469	32.000	0.469	0.000	52.225	0	84.418	22.768	streak	0.423	free	90.163	90.163	115.762	126.521	yes	streak-free
19	20	122.203	243.494	40.582	13.000	31.000	0.000	0.000	52.769	0	22.768	22.768	streak	0.458	free	99.143	99.143	115.955	126.723	yes	streak-free
20	21	114.399	134.123	22.354	41.844	58.938	-0.156	-0.062	54.501	0	417.206	124.023	streak	0.486	free	115.857	115.857	115.938	126.705	yes	streak-free
21	22	120.053	378.801	63.133	50.000	11.406	0.000	0.406	53.771	0	22.768	83.873	streak	0.423	free	96.204	96.204	116.179	126.958	yes	streak-free
22	23	112.621	143.169	23.861	48.031	91.734	0.031	-0.266	58.890	0	24.252	363.193	Undefined	0.490	free	84.490	84.490	116.077	126.851	yes	Undefined-free
23	24	124.746	236.426	39.404	67.984	89.000	-0.016	0.000	50.327	0	22.947	22.768	streak	0.437	free	106.633	106.633	116.488	127.281	yes	streak-free
24	25	113.588	297.809	49.635	39.000	74.250	0.000	0.250	54.149	0	22.768	79.847	streak	0.435	free	96.857	96.857	116.420	127.210	yes	streak-free
25	26	121.521	277.573	46.262	12.000	47.219	0.000	0.219	50.910	0	95.743	124.909	streak	0.459	free	108.102	108.102	116.662	127.463	yes	streak-free
26	27	112.198	241.418	40.236	53.000	49.984	0.000	-0.016	46.212	0	22.768	28.139	streak	0.370	free	89.612	89.612	116.541	127.337	yes	streak-free
27	28	115.641	358.158	59.693	88.469	86.516	0.469	-0.484	52.482	0	142.653	93.247	streak	0.438	free	96.796	96.796	116.552	127.348	yes	streak-free
28	29	112.365	239.196	39.866	91.000	11.000	0.000	0.000	50.218	0	29.546	29.297	streak	0.420	free	93.082	93.082	116.449	127.240	yes	streak-free
29	30	119.063	284.088	47.348	30.703	61.000	-0.297	0.000	51.826	0	90.938	25.467	streak	0.458	free	101.020	101.020	116.576	127.373	yes	streak-free
30	31	126.219	206.980	34.497	17.391	83.016	0.391	0.016	47.635	0	179.557	79.630	streak	0.467	free	111.265	111.265	116.926	127.739	yes	streak-free
31	32	112.479	238.616	39.769	71.984	27.000	-0.016	0.000	52.690	0	23.485	22.768	streak	0.424	free	93.327	93.327	116.825	127.633	yes	streak-free
32	33	116.514	403.566	67.261	30.344	39.312	0.344	0.312	46.619	0	92.771	86.607	streak	0.422	free	102.082	102.082	116.852	127.661	yes	streak-free
33	35	112.312	236.091	39.349	50.141	55.984	0.141	-0.016	44.232	0	148.434	22.768	streak	0.396	free	90.408	90.408	114.748	125.460	yes	streak-free
34	37	106.692	176.865	29.477	80.047	21.734	0.047	-0.266	53.587	0	275.964	108.442	streak	0.428	free	97.653	97.653	114.265	124.955	yes	streak-free
35	38	124.701	216.332	36.055	17.000	37.000	0.000	0.000	53.291	0	111.912	22.768	streak	0.444	free	109.408	109.408	114.571	125.275	yes	streak-free
36	39	123.188	215.842	35.974	52.984	76.000	-0.016	0.000	41.610	0	22.768	22.768	streak	0.362	free	94.204	94.204	114.823	125.539	yes	streak-free
37	40	117.431	240.312	40.052	57.000	67.188	0.000	0.188	51.271	0	22.768	78.585	streak	0.348	free	96.694	96.694	114.918	125.638	yes	streak-free
38	41	119.992	215.768	35.961	89.000	81.000	0.000	0.000	48.176	0	22.768	22.768	streak	0.383	free	104.878	104.878	115.071	125.798	yes	streak-free
39	42	114.634	379.712	63.285	36.719	26.688	-0.281	-0.312	51.597	0	88.471	75.342	streak	0.422	free	95.061	95.061	115.089	125.817	yes	streak-free
40	43	120.902	144.685	24.114	63.047	74.891	0.047	-0.109	46.445	0	302.162	89.841	streak	0.340	free	111.184	111.184	115.253	125.988	yes	streak-free
41	44	133.868	336.645	56.107	18.500	76.703	0.500	-0.297	53.338	0	95.901	83.572	streak	0.467	free	115.000	115.000	115.703	126.459	yes	streak-free
42	45	113.363	220.235	36.706	77.984	12.000	-0.016	0.000	39.591	0	25.051	22.768	streak	0.353	free	95.531	95.531	115.678	126.433	yes	streak-free
43	46	122.821	208.996	34.833	87.000	41.000	0.000	0.000	54.875	0	22.768	22.768	streak	0.413	free	105.612	105.612	115.859	126.623	yes	streak-free
44	47	114.222	216.161	36.027	55.984	16.000	-0.016	0.000	41.639	0	28.637	29.085	streak	0.358	free	102.306	102.306	115.850	126.613	yes	streak-free
45	49	126.348	128.541	21.424	25.938	62.000	-0.062	0.000	53.951	0	319.994	22.768	streak	0.405	free	105.612	105.612	114.731	125.442	yes	streak-free
46	50	113.059	359.186	59.864	14.594	59.359	-0.406	0.359	42.489	0	110.851	92.376	streak	0.418	free	112.673	112.673	114.721	125.432	yes	streak-free
47	51	113.634	198.248	33.041	59.781	52.656	-0.219	-0.344	44.474	0	274.412	90.133	streak	0.409	free	108.122	108.122	114.723	125.434	yes	streak-free
48	52	124.123	149.116	24.853	46.188	17.031	0.188	0.031	64.269	0	190.723	210.687	spot	0.480	free	102.551	102.551	114.927	125.648	yes	spot-free
49	54	118.109	201.260	33.543	91.000	28.000	0.000	0.000	54.697	0	22.768	22.768	streak	0.403	free	99.449	99.449	115.010	125.734	yes	streak-free
50	57	113.122	217.809	36.301	23.000	31.828	0.000	-0.172	47.615	0	27.755	127.591	streak	0.381	free	95.714	95.714	114.997	125.721	yes	streak-free
51	58	112.793	270.820	45.137	33.672	52.000	-0.328	0.000	42.472	0	83.159	22.768	streak	0.381	free	101.816	101.816	114.979	125.702	yes	streak-free
52	66	106.723	193.497	32.249	13.984	68.844	-0.016	-0.156	45.394	0	25.794	181.490	Undefined	0.372	free	86.408	86.408	114.853	125.570	yes	Undefined-free
53	75	119.149	285.885	47.647	34.000	67.500	0.000	-0.500	56.517	0	45.536	91.660	streak	0.456	free	96.347	96.347	114.732	125.444	yes	streak-free
54	85	118.570	181.583	30.264	60.781	41.031	-0.219	0.031	42.672	0	95.428	23.494	streak	0.321	free	92.878	92.878	114.517	125.218	yes	streak-free
55	91	105.755	200.659	33.443	89.734	52.000	-0.266	0.000	40.723	0	77.172	23.491	streak	0.303	free	89.020	89.020	114.393	125.088	yes	streak-free
