ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	34.444	78.212	13.035	36.359	61.000	0.359	0.000	7.926	0	83.159	22.768	streak	0.300	free	33.102	33.102	35.644	41.614	yes	streak-free
2	34.176	54.801	9.133	19.000	53.000	0.000	0.000	7.485	0	22.768	22.768	streak	0.254	free	33.184	33.184	35.510	41.469	yes	streak-free
3	31.333	71.935	11.989	50.000	70.297	0.000	0.297	7.424	0	22.768	82.137	streak	0.261	free	28.469	28.469	34.518	40.393	yes	streak-free
4	34.007	85.765	14.294	12.750	82.641	-0.250	-0.359	9.232	0	82.634	85.799	streak	0.329	free	30.204	30.204	34.690	40.580	yes	streak-free
5	30.539	89.456	14.909	53.484	38.719	0.484	0.719	8.136	0	62.336	402.210	Undefined	0.277	free	30.143	30.143	34.100	39.939	yes	Undefined-free
6	34.351	56.496	9.416	56.219	57.016	0.219	0.016	6.957	0	75.677	65.052	streak	0.250	free	32.694	32.694	34.342	40.202	yes	streak-free
7	33.019	53.323	8.887	33.672	73.891	-0.328	-0.109	7.592	0	145.312	110.203	streak	0.272	free	30.633	30.633	34.324	40.183	yes	streak-free
8	32.119	51.211	8.535	81.016	32.000	0.016	0.000	6.741	0	27.462	22.768	streak	0.233	free	27.898	27.898	34.199	40.047	yes	streak-free
9	33.423	55.285	9.214	57.750	65.078	-0.250	0.078	6.744	0	122.198	106.229	streak	0.272	free	31.041	31.041	34.246	40.098	yes	streak-free
11	30.490	72.080	12.013	15.766	59.438	-0.234	0.438	6.624	0	81.839	111.022	streak	0.264	free	31.327	31.327	33.628	39.427	yes	streak-free
12	32.749	47.222	7.870	20.000	15.000	0.000	0.000	6.308	0	22.768	22.768	streak	0.246	free	30.163	30.163	33.655	39.456	yes	streak-free
13	32.427	47.999	8.000	47.984	62.000	-0.016	0.000	6.550	0	23.485	31.363	streak	0.207	free	29.878	29.878	33.652	39.454	yes	streak-free
14	33.104	58.291	9.715	17.281	67.000	0.281	0.000	8.235	0	77.338	22.768	streak	0.273	free	32.347	32.347	33.699	39.504	yes	streak-free
15	33.505	35.621	5.937	25.797	42.281	-0.203	0.281	8.505	0	268.014	78.303	streak	0.301	free	31.592	31.592	33.766	39.577	no	streak-free
16	30.499	32.001	5.334	48.031	46.766	0.031	-0.234	7.309	0	111.724	276.788	Undefined	0.302	free	30.653	30.653	33.637	39.437	no	Undefined-free
17	33.407	63.043	10.507	58.000	50.344	0.000	0.344	8.174	0	22.768	77.961	streak	0.291	free	28.265	28.265	33.694	39.499	yes	streak-free
18	34.419	54.462	9.077	61.688	10.000	-0.312	0.000	7.371	0	90.227	22.768	streak	0.252	free	29.918	29.918	33.801	39.615	yes	streak-free
19	35.410	50.797	8.466	80.234	21.000	0.234	0.000	7.534	0	77.219	22.768	streak	0.251	free	33.449	33.449	33.949	39.775	yes	streak-free
20	34.440	44.816	7.469	40.250	36.000	0.250	0.000	7.680	0	129.776	29.738	streak	0.232	free	33.041	33.041	34.033	39.867	yes	streak-free
22	35.523	74.097	12.349	45.578	80.875	-0.422	-0.125	7.477	0	88.818	49.663	streak	0.246	free	31.857	31.857	34.136	39.979	yes	streak-free
23	32.661	25.107	4.185	53.000	9.578	0.000	0.578	6.190	0	22.768	344.590	Undefined	0.257	free	31.429	31.429	34.124	39.966	no	Undefined-free
24	32.824	44.144	7.357	64.000	36.000	0.000	0.000	7.671	0	28.651	22.768	streak	0.222	free	29.000	29.000	34.120	39.961	yes	streak-free
27	33.434	50.734	8.456	19.297	44.969	0.297	-0.031	7.420	0	109.847	24.231	streak	0.261	free	32.204	32.204	33.845	39.663	yes	streak-free
28	32.205	36.497	6.083	29.578	20.531	-0.422	0.531	6.558	0	142.056	136.609	streak	0.242	free	32.755	32.755	33.829	39.646	no	streak-free
29	33.860	42.375	7.063	33.016	80.016	0.016	0.016	8.088	0	103.744	32.220	streak	0.257	free	34.612	34.612	33.872	39.692	yes	streak-free
30	32.650	34.347	5.725	62.984	85.391	-0.016	0.391	6.779	0	150.934	136.609	spot	0.295	free	32.388	32.388	33.871	39.691	no	spot-free
31	32.104	56.692	9.449	70.000	83.344	0.000	0.344	7.643	0	28.651	89.214	streak	0.242	free	30.388	30.388	33.853	39.671	yes	streak-free
32	32.825	83.453	13.909	78.328	38.625	0.328	-0.375	7.115	0	81.097	93.554	streak	0.274	free	29.694	29.694	33.858	39.677	yes	streak-free
33	35.259	51.314	8.552	78.812	77.062	-0.188	0.062	6.349	0	72.708	25.203	streak	0.237	free	33.408	33.408	33.937	39.762	yes	streak-free
35	31.779	31.594	5.266	35.359	10.984	0.359	-0.016	7.748	0	268.602	22.768	streak	0.257	free	29.245	29.245	33.909	39.732	no	streak-free
37	33.046	38.996	6.499	78.000	11.000	0.000	0.000	8.740	0	22.768	22.768	streak	0.246	free	27.286	27.286	33.735	39.543	no	streak-free
38	33.227	37.816	6.303	89.000	24.000	0.000	0.000	8.168	0	22.768	22.768	streak	0.236	free	28.857	28.857	33.753	39.563	no	streak-free
40	32.907	40.378	6.730	21.938	23.812	-0.062	-0.188	6.103	0	153.227	68.425	streak	0.216	free	31.939	31.939	33.763	39.573	yes	streak-free
41	33.220	36.963	6.160	70.984	41.000	-0.016	0.000	6.656	0	29.084	22.768	streak	0.200	free	30.061	30.061	33.780	39.592	no	streak-free
42	35.185	44.597	7.433	72.109	50.234	0.109	0.234	7.135	0	211.236	78.751	streak	0.241	free	35.265	35.265	33.845	39.662	yes	streak-free
43	31.926	57.355	9.559	84.281	43.531	0.281	-0.469	7.981	0	106.251	95.169	streak	0.252	free	29.184	29.184	33.827	39.643	yes	streak-free
45	33.083	37.099	6.183	45.000	8.188	0.000	0.188	8.259	0	23.876	205.942	Undefined	0.276	free	30.918	30.918	33.838	39.655	no	Undefined-free
46	32.173	32.006	5.334	58.219	25.875	0.219	-0.125	8.393	0	412.520	156.125	Undefined	0.329	free	34.694	34.694	33.827	39.643	no	Undefined-free
48	33.583	38.792	6.465	8.594	14.000	-0.406	0.000	7.285	0	100.726	27.260	streak	0.235	free	28.878	28.878	33.692	39.497	no	streak-free
49	31.052	39.558	6.593	79.984	64.125	-0.016	0.125	8.486	0	23.306	125.961	streak	0.271	free	27.204	27.204	33.661	39.463	yes	streak-free
50	32.346	52.537	8.756	80.656	52.031	-0.344	0.031	7.410	0	81.860	83.702	streak	0.233	free	30.122	30.122	33.658	39.460	yes	streak-free
54	31.938	36.706	6.118	64.000	65.812	0.000	-0.188	8.217	0	28.623	111.700	streak	0.250	free	28.694	28.694	33.648	39.448	no	streak-free
