 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	112.768	317.142	52.857	91.000	13.000	0.000	0.000	48.219	0	22.768	22.768	streak	0.488	free	79.286	79.286	113.968	124.644	yes	streak-free
2	2	96.304	217.483	36.247	57.125	79.047	0.125	0.047	49.250	0	89.534	317.206	Undefined	0.545	bound	85.429	85.429	105.736	116.019	yes	Undefined-bound
3	3	93.270	314.455	52.409	66.922	87.000	-0.078	0.000	30.460	0	108.083	22.768	streak	0.430	free	84.551	84.551	101.981	112.079	yes	streak-free
4	4	121.570	335.992	55.999	12.000	90.281	0.000	0.281	65.300	0	22.768	86.546	streak	0.527	bound	95.571	95.571	107.178	117.531	yes	streak-bound
5	5	101.749	345.665	57.611	30.281	61.000	0.281	0.000	51.646	0	78.790	22.768	streak	0.470	free	84.612	84.612	106.332	116.644	yes	streak-free
6	6	95.279	282.740	47.123	73.000	51.016	0.000	0.016	37.005	0	22.768	26.056	streak	0.431	free	86.551	86.551	104.690	114.922	yes	streak-free
7	7	107.084	364.293	60.716	8.391	35.000	0.391	0.000	38.810	0	91.073	22.768	streak	0.493	free	104.102	104.102	105.203	115.460	yes	streak-free
8	8	105.169	465.022	77.504	30.766	25.609	-0.234	-0.391	38.534	0	74.982	89.214	streak	0.478	free	89.673	89.673	105.349	115.613	yes	streak-free
9	9	107.556	252.420	42.070	81.000	54.000	0.000	0.000	44.713	0	27.059	22.768	streak	0.477	free	104.898	104.898	105.728	116.010	yes	streak-free
10	10	107.467	344.702	57.450	61.000	66.375	0.000	0.375	39.645	0	22.768	90.630	streak	0.407	free	89.694	89.694	106.022	116.318	yes	streak-free
11	12	108.532	241.508	40.251	12.000	59.984	0.000	-0.016	36.148	0	22.768	75.531	streak	0.414	free	91.918	91.918	106.359	116.672	yes	streak-free
12	14	117.594	276.108	46.018	23.312	85.000	0.312	0.000	47.793	0	104.083	22.768	streak	0.501	bound	105.469	105.469	106.911	117.251	yes	streak-bound
13	15	95.973	127.281	21.214	65.016	78.188	0.016	0.188	40.225	0	381.962	170.895	Undefined	0.475	free	97.592	97.592	106.216	116.522	yes	Undefined-free
14	16	102.781	220.210	36.702	52.000	48.000	0.000	0.000	42.618	0	22.768	22.768	streak	0.378	free	88.898	88.898	106.067	116.366	yes	streak-free
15	17	103.358	152.832	25.472	55.031	28.500	0.031	-0.500	44.983	0	149.817	247.070	spot	0.486	free	95.612	95.612	105.972	116.267	yes	spot-free
16	18	96.685	204.449	34.075	8.203	51.391	0.203	0.391	42.674	0	296.266	89.214	streak	0.448	free	93.878	93.878	105.497	115.768	yes	streak-free
17	20	91.093	228.034	38.006	84.984	27.000	-0.016	0.000	48.479	0	22.768	27.059	streak	0.410	free	80.694	80.694	104.763	114.999	yes	streak-free
18	21	97.972	113.826	18.971	74.906	28.969	-0.094	1.969	48.911	0	89.093	497.439	Undefined	0.487	free	89.408	89.408	104.469	114.690	no	Undefined-free
19	22	111.678	210.365	35.061	73.109	63.984	0.109	-0.016	41.697	0	72.087	32.797	streak	0.401	free	87.102	87.102	104.889	115.131	yes	streak-free
20	23	97.775	258.870	43.145	34.312	54.422	0.312	0.422	47.327	0	224.066	96.948	streak	0.464	free	92.306	92.306	104.608	114.836	yes	streak-free
21	24	98.943	215.121	35.853	81.984	79.000	-0.016	0.000	35.046	0	22.768	22.768	streak	0.369	free	86.143	86.143	104.405	114.623	yes	streak-free
22	25	103.126	182.941	30.490	51.531	11.547	-0.469	-0.453	42.403	0	150.877	259.089	spot	0.488	free	100.755	100.755	104.401	114.619	yes	spot-free
23	27	107.289	261.027	43.505	23.000	78.312	0.000	0.312	45.390	0	22.768	81.100	streak	0.440	free	85.245	85.245	104.572	114.798	yes	streak-free
24	28	101.598	203.430	33.905	20.000	35.984	0.000	-0.016	41.035	0	25.443	22.768	streak	0.395	free	82.163	82.163	104.501	114.723	yes	streak-free
25	30	101.867	280.877	46.813	44.109	34.344	0.109	0.344	40.974	0	109.823	81.380	streak	0.414	free	86.020	86.020	103.860	114.051	yes	streak-free
26	31	99.298	199.376	33.229	13.984	17.000	-0.016	0.000	42.031	0	23.485	27.700	streak	0.383	free	68.980	68.980	103.740	113.925	yes	streak-free
27	32	104.385	141.893	23.649	38.375	69.672	0.375	-0.328	40.861	0	176.009	288.354	spot	0.457	free	109.653	109.653	103.804	113.992	yes	spot-free
28	33	115.930	104.847	17.474	34.031	17.609	0.031	-0.391	47.841	0	28.196	265.432	Undefined	0.387	free	100.082	100.082	104.248	114.458	no	Undefined-free
29	35	91.189	189.733	31.622	22.391	11.359	0.391	0.359	36.861	0	86.736	245.915	Undefined	0.364	free	85.898	85.898	103.865	114.057	yes	Undefined-free
30	36	109.491	143.587	23.931	60.156	56.641	0.156	-0.359	44.486	0	297.474	94.290	streak	0.427	free	93.367	93.367	104.079	114.281	yes	streak-free
31	37	93.080	265.674	44.279	8.812	71.562	-0.188	-0.438	39.019	0	78.349	104.903	streak	0.424	free	84.041	84.041	103.782	113.969	yes	streak-free
32	38	99.873	193.704	32.284	41.000	56.859	0.000	-0.141	33.111	0	22.768	84.574	streak	0.322	free	82.571	82.571	103.702	113.885	yes	streak-free
33	39	94.383	188.166	31.361	72.156	19.688	0.156	-0.312	39.802	0	196.017	87.307	streak	0.354	free	82.796	82.796	103.470	113.642	yes	streak-free
34	49	87.931	106.567	17.761	63.344	23.172	-0.656	0.172	36.587	0	435.685	99.861	streak	0.377	free	81.367	81.367	102.322	112.437	no	streak-free
35	50	104.487	236.203	39.367	77.594	40.000	-0.406	0.000	44.369	0	91.073	22.768	streak	0.423	free	85.122	85.122	102.410	112.530	yes	streak-free
36	57	101.220	253.514	42.252	9.234	26.125	0.234	0.125	37.705	0	97.144	154.395	Undefined	0.472	free	89.408	89.408	101.923	112.019	yes	Undefined-free
37	64	85.354	379.651	63.275	55.656	91.578	-0.344	-0.422	40.235	0	109.898	83.266	streak	0.368	free	68.184	68.184	101.548	111.625	yes	streak-free
38	66	112.382	186.515	31.086	87.000	46.266	0.000	0.266	43.572	0	22.768	75.397	streak	0.403	free	97.347	97.347	101.835	111.926	yes	streak-free
39	69	109.366	213.473	35.579	31.375	32.000	0.375	0.000	39.445	0	83.814	22.768	streak	0.408	free	99.878	99.878	102.038	112.139	yes	streak-free
40	72	106.744	159.282	26.547	51.766	66.016	-0.234	0.016	39.529	0	132.716	23.491	streak	0.395	free	83.571	83.571	102.172	112.280	yes	streak-free
41	84	65.805	115.718	19.286	76.500	9.125	-0.500	0.125	37.930	0	388.350	481.554	spot	0.453	free	99.898	99.898	101.390	111.460	yes	spot-free
42	128	85.757	96.316	16.053	68.406	86.906	-1.594	-0.094	39.336	0	493.950	199.319	Undefined	0.428	free	88.531	88.531	100.483	110.507	no	Undefined-free
