 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	103.438	381.916	33.210	12.828	38.250	-0.172	0.250	44.605	0	72.071	96.106	streak	0.502	bound	101.408	101.408	105.738	116.020	yes	streak-bound
2	2	105.287	332.227	28.889	14.000	65.734	0.000	-0.266	47.393	0	22.768	124.023	streak	0.521	bound	89.980	89.980	106.662	116.990	yes	streak-bound
3	3	102.410	297.499	25.869	35.000	87.000	0.000	0.000	40.718	0	23.503	22.768	streak	0.487	free	92.551	92.551	106.011	116.308	yes	streak-free
4	5	89.541	127.283	11.068	66.938	90.922	-0.062	-0.078	48.514	0	188.825	418.980	Undefined	0.514	bound	93.633	93.633	100.438	110.460	yes	Undefined-bound
5	6	103.351	162.783	14.155	74.109	25.000	0.109	0.000	39.110	0	444.122	23.127	streak	0.497	free	96.796	96.796	101.307	111.372	yes	streak-free
6	7	99.167	339.081	29.485	90.000	24.719	0.000	-0.281	44.941	0	22.768	81.331	streak	0.496	free	83.592	83.592	101.330	111.396	yes	streak-free
7	8	106.452	280.305	24.374	80.000	49.859	0.000	-0.141	43.679	0	22.768	71.926	streak	0.450	free	84.265	84.265	102.257	112.370	yes	streak-free
8	9	103.004	340.435	29.603	71.281	66.000	0.281	0.000	51.997	0	73.616	22.768	streak	0.437	free	72.633	72.633	102.596	112.725	yes	streak-free
9	10	105.346	289.922	25.211	67.031	20.219	0.031	0.219	43.556	0	29.738	86.960	streak	0.452	free	91.592	91.592	103.101	113.255	yes	streak-free
10	11	101.275	251.492	21.869	48.000	54.000	0.000	0.000	40.147	0	22.768	22.768	streak	0.427	free	89.857	89.857	103.144	113.300	yes	streak-free
11	12	117.052	449.343	39.073	18.594	74.641	-0.406	-0.359	49.445	0	86.816	86.736	streak	0.542	bound	110.551	110.551	104.495	114.717	yes	streak-bound
12	13	104.145	239.841	20.856	13.000	26.000	0.000	0.000	48.206	0	27.700	22.768	streak	0.494	free	92.429	92.429	104.645	114.874	yes	streak-free
13	14	109.206	229.766	19.980	80.000	72.000	0.000	0.000	39.646	0	22.768	23.503	streak	0.421	free	81.633	81.633	105.135	115.388	yes	streak-free
14	15	98.026	280.990	24.434	60.000	11.750	0.000	-0.250	48.793	0	22.768	78.295	streak	0.446	free	70.000	70.000	104.814	115.052	yes	streak-free
15	16	116.284	216.511	18.827	22.000	86.000	0.000	0.000	50.480	0	22.768	22.768	streak	0.495	free	97.714	97.714	105.675	115.955	yes	streak-free
16	17	97.297	301.153	26.187	49.297	44.000	0.297	0.000	34.701	0	79.468	22.768	streak	0.375	free	84.490	84.490	105.317	115.580	yes	streak-free
17	18	103.040	324.750	28.239	25.484	21.781	0.484	-0.219	39.005	0	138.031	79.449	streak	0.459	free	101.694	101.694	105.319	115.581	yes	streak-free
18	19	107.473	220.432	19.168	34.000	56.000	0.000	0.000	49.884	0	22.768	22.768	streak	0.507	bound	101.347	101.347	105.553	115.827	yes	streak-bound
19	20	112.412	272.753	23.718	30.703	72.000	-0.297	0.000	46.967	0	78.585	22.768	streak	0.419	free	88.959	88.959	106.011	116.307	yes	streak-free
20	21	99.875	226.245	19.673	67.000	37.000	0.000	0.000	49.435	0	22.768	22.768	streak	0.437	free	76.878	76.878	105.828	116.116	yes	streak-free
21	22	106.026	232.805	20.244	90.172	88.000	0.172	0.000	46.812	0	80.887	22.768	streak	0.419	free	91.163	91.163	105.942	116.235	yes	streak-free
22	23	113.097	205.920	17.906	71.000	74.000	0.000	0.000	43.606	0	22.768	23.503	streak	0.393	free	90.592	90.592	106.353	116.666	yes	streak-free
23	24	103.330	245.912	21.384	86.250	67.000	0.250	0.000	44.260	0	78.936	22.768	streak	0.399	free	83.367	83.367	106.323	116.634	yes	streak-free
24	25	115.176	249.203	21.670	40.000	8.688	0.000	-0.312	42.492	0	28.203	80.560	streak	0.482	free	99.041	99.041	106.769	117.102	yes	streak-free
25	26	99.744	207.910	18.079	15.000	59.000	0.000	0.000	48.147	0	22.768	22.768	streak	0.382	free	73.184	73.184	106.587	116.911	yes	streak-free
26	28	99.509	261.220	22.715	44.000	89.703	0.000	-0.297	38.653	0	22.768	77.338	streak	0.402	free	86.122	86.122	106.251	116.559	yes	streak-free
27	30	100.372	296.031	25.742	30.453	15.438	0.453	0.438	38.207	0	90.630	105.735	streak	0.389	free	89.245	89.245	105.958	116.251	yes	streak-free
28	31	101.856	198.920	17.297	9.000	15.047	0.000	0.047	43.750	0	22.768	125.000	streak	0.439	free	86.571	86.571	105.900	116.190	yes	streak-free
29	32	107.994	185.755	16.153	49.000	82.984	0.000	-0.016	47.351	0	31.177	22.768	streak	0.445	free	87.408	87.408	106.037	116.334	yes	streak-free
30	35	97.240	191.797	16.678	13.000	85.000	0.000	0.000	44.786	0	25.069	22.768	streak	0.368	free	80.776	80.776	105.840	116.128	yes	streak-free
31	36	92.443	197.249	17.152	42.984	45.000	-0.016	0.000	38.117	0	23.485	22.768	streak	0.344	free	75.224	75.224	105.514	115.786	yes	streak-free
32	37	90.669	102.032	8.872	22.500	47.875	0.500	-0.125	32.220	0	315.349	325.521	spot	0.408	free	103.735	103.735	105.155	115.410	no	spot-free
33	40	97.193	283.642	24.664	20.219	57.359	0.219	0.359	39.245	0	170.814	85.931	streak	0.397	free	101.102	101.102	104.552	114.777	yes	streak-free
34	41	96.005	158.256	13.761	57.531	86.344	0.531	0.344	44.671	0	165.420	147.656	spot	0.443	free	85.204	85.204	104.388	114.605	yes	spot-free
35	42	98.723	219.391	19.078	73.422	87.250	0.422	0.250	40.642	0	151.952	130.144	streak	0.414	free	96.755	96.755	104.301	114.514	yes	streak-free
36	43	104.642	82.795	7.200	21.172	38.078	0.172	-1.922	43.017	0	116.752	437.721	Undefined	0.443	free	95.122	95.122	104.367	114.583	no	Undefined-free
37	46	97.983	270.130	23.490	88.000	31.547	0.000	-0.453	42.843	0	24.252	91.790	streak	0.374	free	73.531	73.531	104.268	114.479	yes	streak-free
38	49	92.594	179.952	15.648	63.984	64.000	-0.016	0.000	41.836	0	23.485	22.768	streak	0.402	free	76.490	76.490	102.765	112.902	yes	streak-free
39	51	97.606	237.620	20.663	15.438	50.203	0.438	0.203	42.759	0	87.295	174.674	Undefined	0.395	free	87.510	87.510	102.700	112.834	yes	Undefined-free
40	52	110.054	155.055	13.483	58.000	49.000	0.000	0.000	45.685	0	22.768	22.768	streak	0.390	free	75.163	75.163	102.915	113.059	yes	streak-free
41	58	93.770	254.691	22.147	46.609	65.359	-0.391	0.359	35.264	0	90.630	240.897	Undefined	0.412	free	94.959	94.959	102.766	112.903	yes	Undefined-free
42	66	78.191	179.234	15.586	35.984	43.062	-0.016	0.062	36.547	0	22.768	90.977	streak	0.264	free	59.245	59.245	102.292	112.406	yes	streak-free
43	72	105.849	207.210	18.018	38.000	20.375	0.000	0.375	38.559	0	22.768	82.789	streak	0.373	free	89.816	89.816	102.414	112.534	yes	streak-free
44	77	95.630	253.404	22.035	57.359	79.531	0.359	-0.469	33.445	0	81.194	100.626	streak	0.355	free	82.163	82.163	102.322	112.438	yes	streak-free
