 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	145.387	517.588	45.008	44.000	54.000	0.000	0.000	49.702	0	22.768	22.768	streak	0.460	free	120.857	120.857	147.687	159.840	yes	streak-free
2	2	140.854	616.655	53.622	12.188	54.734	0.188	-0.266	46.992	0	80.461	85.779	streak	0.453	free	132.306	132.306	145.421	157.480	yes	streak-free
3	3	136.064	435.255	37.848	85.000	31.016	0.000	0.016	63.414	0	22.768	25.254	streak	0.460	free	124.306	124.306	143.069	155.030	yes	streak-free
4	4	148.212	491.312	42.723	17.984	32.250	-0.016	0.250	57.315	0	125.977	106.785	streak	0.464	free	139.143	139.143	144.929	156.968	yes	streak-free
5	5	143.405	536.203	46.626	71.297	32.000	0.297	0.000	60.145	0	77.004	23.852	streak	0.455	free	118.796	118.796	145.085	157.130	yes	streak-free
6	6	149.219	397.734	34.586	60.000	13.000	0.000	0.000	62.405	0	22.768	22.768	streak	0.471	free	118.551	118.551	146.157	158.247	yes	streak-free
7	7	152.457	370.955	32.257	31.000	73.922	0.000	-0.078	74.781	0	22.768	100.769	streak	0.453	free	118.102	118.102	147.386	159.526	yes	streak-free
8	8	167.990	344.651	29.970	35.000	82.000	0.000	0.000	79.556	0	22.768	22.768	streak	0.452	free	131.755	131.755	150.249	162.506	yes	streak-free
9	9	142.125	579.360	50.379	9.406	28.000	0.406	0.000	59.581	0	82.622	22.768	streak	0.448	free	129.878	129.878	149.602	161.833	yes	streak-free
10	10	156.919	432.225	37.585	21.719	65.000	-0.281	0.000	64.733	0	79.823	22.768	streak	0.456	free	135.816	135.816	150.563	162.834	yes	streak-free
11	12	161.631	456.296	39.678	41.000	65.672	0.000	-0.328	64.117	0	22.768	79.889	streak	0.445	free	148.653	148.653	150.646	162.919	yes	streak-free
12	13	155.358	328.274	28.546	77.000	38.016	0.000	0.016	66.454	0	22.768	30.675	streak	0.430	free	118.939	118.939	151.185	163.481	yes	streak-free
13	14	138.325	379.800	33.026	59.000	42.781	0.000	-0.219	61.230	0	22.768	70.597	streak	0.398	free	116.000	116.000	150.431	162.696	yes	streak-free
14	15	144.692	374.422	32.558	77.000	80.328	0.000	0.328	67.519	0	23.876	151.062	Undefined	0.500	bound	120.367	120.367	150.202	162.457	yes	Undefined-bound
15	16	165.935	388.073	33.745	40.000	38.688	0.000	-0.312	66.038	0	22.768	82.097	streak	0.459	free	138.694	138.694	151.329	163.630	yes	streak-free
16	18	134.757	327.373	28.467	12.000	70.000	0.000	0.000	55.953	0	22.768	22.768	streak	0.403	free	110.347	110.347	150.489	162.757	yes	streak-free
17	19	137.500	326.404	28.383	87.000	52.984	0.000	-0.016	60.232	0	22.768	23.306	streak	0.387	free	117.306	117.306	149.895	162.139	yes	streak-free
18	20	134.664	471.009	40.957	31.391	33.047	0.391	0.047	45.845	0	84.297	125.961	streak	0.380	free	102.816	102.816	149.215	161.430	yes	streak-free
19	21	138.773	409.939	35.647	85.688	59.000	-0.312	0.000	56.440	0	79.301	22.768	streak	0.405	free	116.122	116.122	148.808	161.006	yes	streak-free
20	22	159.227	289.607	25.183	31.000	49.000	0.000	0.000	63.207	0	22.768	22.768	streak	0.416	free	118.347	118.347	149.413	161.637	yes	streak-free
21	23	145.509	320.374	27.859	73.062	70.984	0.062	-0.016	51.042	0	172.266	23.485	streak	0.449	free	132.531	132.531	149.340	161.561	yes	streak-free
22	24	133.739	281.248	24.456	42.000	15.359	0.000	0.359	52.561	0	22.768	268.588	Undefined	0.438	free	124.449	124.449	148.762	160.959	yes	Undefined-free
23	25	146.307	228.003	19.826	22.500	14.000	0.500	0.000	74.790	0	318.672	22.768	streak	0.456	free	128.408	128.408	148.756	160.952	yes	streak-free
24	26	158.456	396.701	34.496	69.531	63.016	-0.469	-0.984	61.287	0	89.401	81.860	streak	0.394	free	133.673	133.673	149.236	161.452	yes	streak-free
25	27	142.477	274.021	23.828	82.000	8.000	0.000	0.000	52.899	0	22.768	22.768	streak	0.385	free	141.510	141.510	149.064	161.273	yes	streak-free
26	29	145.768	321.179	27.929	61.844	74.531	-0.156	0.531	63.246	0	138.394	88.272	streak	0.421	free	120.000	120.000	148.917	161.120	yes	streak-free
27	30	146.511	269.880	23.468	73.984	88.000	-0.016	0.000	70.428	0	23.485	26.434	streak	0.417	free	118.959	118.959	148.913	161.116	yes	streak-free
28	32	155.254	253.259	22.023	23.984	35.000	-0.016	0.000	58.837	0	22.768	22.768	streak	0.433	free	137.449	137.449	149.201	161.416	yes	streak-free
29	34	137.585	267.271	23.241	55.000	27.000	0.000	0.000	47.474	0	22.768	22.768	streak	0.359	free	114.388	114.388	148.901	161.103	yes	streak-free
30	37	154.159	301.202	26.191	12.000	12.688	0.000	-0.312	56.260	0	22.768	92.518	streak	0.416	free	136.408	136.408	147.284	159.420	yes	streak-free
31	39	130.257	153.047	13.308	19.234	45.047	0.234	0.047	57.087	0	375.735	110.588	streak	0.403	free	111.755	111.755	146.863	158.982	no	streak-free
32	42	160.805	347.965	30.258	64.578	53.000	-0.422	0.000	70.024	0	91.790	22.768	streak	0.462	free	148.265	148.265	145.757	157.830	yes	streak-free
33	44	126.628	400.206	34.801	72.547	16.625	-0.453	-0.375	48.955	0	84.588	151.135	Undefined	0.363	free	122.571	122.571	145.325	157.380	yes	Undefined-free
34	45	141.392	257.836	22.421	78.984	16.000	-0.016	0.000	57.227	0	23.485	22.768	streak	0.363	free	113.449	113.449	145.284	157.338	yes	streak-free
35	48	136.079	260.318	22.636	86.000	17.984	0.000	-0.016	55.985	0	27.469	22.947	streak	0.368	free	119.224	119.224	145.116	157.162	yes	streak-free
36	49	149.746	232.084	20.181	13.000	39.703	0.000	0.703	60.218	0	33.923	121.766	streak	0.395	free	123.918	123.918	145.281	157.334	yes	streak-free
37	50	132.161	222.853	19.379	90.000	70.766	0.000	-0.234	58.461	0	22.768	187.367	Undefined	0.337	free	107.980	107.980	145.029	157.072	yes	Undefined-free
38	56	128.694	354.671	30.841	73.000	9.609	0.000	-0.391	50.406	0	31.195	90.910	streak	0.324	free	106.082	106.082	144.590	156.615	yes	streak-free
39	59	151.309	298.362	25.945	27.000	55.516	0.000	-0.484	70.386	0	22.768	105.735	streak	0.439	free	133.510	133.510	144.786	156.819	yes	streak-free
40	61	133.103	217.029	18.872	11.719	48.172	-0.281	-0.828	51.785	0	98.301	397.395	Undefined	0.393	free	129.653	129.653	144.587	156.611	yes	Undefined-free
41	67	139.024	308.634	26.838	87.344	80.000	0.344	0.000	65.686	0	87.141	22.768	streak	0.353	free	106.347	106.347	144.111	156.116	yes	streak-free
42	69	142.730	224.249	19.500	55.000	61.000	0.000	0.000	61.502	0	22.768	22.768	streak	0.387	free	116.612	116.612	144.129	156.135	yes	streak-free
43	70	131.128	272.514	23.697	83.234	47.000	0.234	0.000	52.142	0	150.379	26.623	streak	0.369	free	116.388	116.388	143.920	155.916	yes	streak-free
