 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	126.867	308.331	51.388	16.078	47.422	0.078	0.422	66.022	0	353.207	97.144	streak	0.579	bound	122.306	122.306	128.067	139.383	yes	streak-bound
2	2	129.077	382.592	63.765	33.000	76.000	0.000	0.000	48.864	0	22.768	22.768	streak	0.458	free	117.837	117.837	129.172	140.538	yes	streak-free
3	3	114.203	398.380	66.397	61.766	63.734	-0.234	-0.266	53.057	0	226.758	95.503	streak	0.537	bound	116.755	116.755	124.583	135.744	yes	streak-bound
4	4	122.678	417.946	69.658	42.750	29.984	-0.250	-0.016	51.734	0	76.050	99.219	streak	0.463	free	97.082	97.082	124.406	135.560	yes	streak-free
5	5	131.335	394.305	65.717	54.234	81.000	0.234	0.000	64.023	0	74.843	23.491	streak	0.441	free	95.490	95.490	126.032	137.259	yes	streak-free
6	6	137.792	301.587	50.264	58.234	14.641	0.234	-0.359	50.546	0	76.031	303.964	Undefined	0.522	bound	141.776	141.776	128.192	139.514	yes	Undefined-bound
7	7	152.100	328.517	54.753	64.156	78.000	0.156	0.000	68.192	0	69.001	27.059	streak	0.506	bound	115.490	115.490	131.779	143.258	yes	streak-bound
8	8	131.673	308.613	51.435	38.000	57.000	0.000	0.000	54.034	0	26.263	22.768	streak	0.445	free	113.531	113.531	131.916	143.401	yes	streak-free
9	9	128.699	569.214	94.869	63.516	21.156	-0.484	0.156	45.336	0	77.615	120.163	streak	0.466	free	119.694	119.694	131.692	143.167	yes	streak-free
10	10	143.646	323.675	53.946	78.766	58.000	-0.234	0.000	53.305	0	78.042	24.995	streak	0.454	free	131.510	131.510	133.007	144.540	yes	streak-free
11	11	124.830	357.161	59.527	34.266	47.000	0.266	0.000	55.515	0	80.209	22.768	streak	0.421	free	94.796	94.796	132.373	143.878	yes	streak-free
12	12	91.244	193.291	32.215	50.141	39.141	0.141	0.141	60.395	0	323.745	496.094	spot	0.552	bound	145.204	145.204	129.045	140.405	yes	spot-bound
13	13	114.957	376.434	62.739	54.000	72.328	0.000	0.328	47.491	0	24.237	91.073	streak	0.411	free	105.816	105.816	128.054	139.370	yes	streak-free
14	14	120.312	225.150	37.525	45.000	47.734	0.000	-0.266	54.617	0	22.768	282.032	Undefined	0.474	free	111.898	111.898	127.587	138.882	yes	Undefined-free
