 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	137.550	394.279	34.285	66.000	55.000	0.000	0.000	53.677	0	22.768	22.768	streak	0.482	free	122.776	122.776	139.850	151.675	yes	streak-free
2	2	135.232	386.136	33.577	78.984	60.000	-0.016	0.000	60.308	0	23.485	22.768	streak	0.408	free	90.204	90.204	138.691	150.467	yes	streak-free
3	3	132.546	510.799	44.417	62.828	72.656	-0.172	-0.344	52.557	0	150.000	82.238	streak	0.489	free	126.020	126.020	137.409	149.131	yes	streak-free
4	5	131.463	378.489	32.912	79.484	33.703	0.484	-0.297	62.033	0	91.790	145.349	streak	0.483	free	118.163	118.163	135.514	147.155	yes	streak-free
5	6	116.632	485.346	42.204	40.531	89.141	-0.469	0.141	50.169	0	95.491	94.369	streak	0.468	free	110.939	110.939	132.751	144.272	yes	streak-free
6	7	139.749	306.694	26.669	44.000	26.000	0.000	0.000	58.807	0	22.768	22.768	streak	0.459	free	122.061	122.061	134.079	145.658	yes	streak-free
7	9	124.768	315.285	27.416	33.000	58.000	0.000	0.000	56.786	0	22.768	22.768	streak	0.445	free	112.184	112.184	134.173	145.756	yes	streak-free
8	10	133.850	318.959	27.736	61.000	42.906	0.000	-0.094	61.698	0	22.768	63.032	streak	0.466	free	114.082	114.082	134.370	145.962	yes	streak-free
9	11	135.308	382.512	33.262	40.250	17.891	0.250	-0.109	47.438	0	76.285	102.997	streak	0.411	free	134.939	134.939	134.665	146.269	yes	streak-free
10	12	138.876	396.882	34.511	72.344	56.000	0.344	0.000	52.074	0	85.758	22.768	streak	0.449	free	128.061	128.061	135.207	146.835	yes	streak-free
11	13	136.129	298.877	25.989	80.000	52.000	0.000	0.000	62.878	0	22.768	22.768	streak	0.526	bound	127.102	127.102	135.455	147.094	yes	streak-bound
12	14	164.176	316.113	27.488	87.000	17.281	0.000	0.281	73.544	0	31.162	86.736	streak	0.516	bound	142.918	142.918	137.671	149.404	yes	streak-bound
13	15	131.881	359.197	31.234	26.000	87.750	0.000	-0.250	52.534	0	35.128	75.342	streak	0.415	free	112.082	112.082	137.438	149.162	yes	streak-free
14	16	144.080	360.702	31.365	29.734	45.000	-0.266	0.000	58.488	0	73.075	23.876	streak	0.430	free	120.122	120.122	137.997	149.744	yes	streak-free
15	17	140.503	282.835	24.594	72.000	39.000	0.000	0.000	58.704	0	22.768	22.768	streak	0.433	free	100.143	100.143	138.280	150.039	yes	streak-free
16	18	143.478	284.735	24.760	37.031	66.984	0.031	-0.016	53.423	0	28.630	23.127	streak	0.444	free	121.204	121.204	138.696	150.473	yes	streak-free
17	19	135.856	298.738	25.977	53.844	43.000	-0.156	0.000	49.055	0	91.073	32.526	streak	0.457	free	114.020	114.020	138.668	150.444	yes	streak-free
18	20	142.377	275.098	23.922	75.016	85.000	0.016	0.000	49.935	0	96.428	24.477	streak	0.445	free	143.878	143.878	138.968	150.757	yes	streak-free
19	21	135.000	171.961	14.953	87.984	41.875	-0.016	-0.125	56.067	0	22.768	383.650	Undefined	0.419	free	110.857	110.857	138.889	150.674	yes	Undefined-free
20	22	121.122	360.150	31.317	41.000	46.734	0.000	-0.266	50.667	0	22.768	76.031	streak	0.390	free	95.204	95.204	138.186	149.941	yes	streak-free
21	23	143.354	264.873	23.032	89.000	84.000	0.000	0.000	63.226	0	22.768	22.768	streak	0.454	free	119.082	119.082	138.511	150.280	yes	streak-free
22	24	118.298	342.013	29.740	25.547	19.703	-0.453	-0.297	54.422	0	94.011	165.696	Undefined	0.464	free	110.082	110.082	137.764	149.502	yes	Undefined-free
23	25	119.980	374.228	32.542	52.719	71.281	-0.281	0.281	42.496	0	103.487	89.401	streak	0.379	free	108.327	108.327	137.145	148.856	yes	streak-free
24	26	131.847	273.239	23.760	16.000	55.000	0.000	0.000	64.432	0	22.768	22.768	streak	0.450	free	106.122	106.122	137.030	148.736	yes	streak-free
25	27	120.924	405.426	35.254	77.453	13.531	0.453	-0.469	58.100	0	81.817	137.880	streak	0.426	free	109.469	109.469	136.518	148.202	yes	streak-free
26	28	134.681	321.096	27.921	45.000	69.703	0.000	-0.297	52.725	0	29.546	84.780	streak	0.382	free	115.592	115.592	136.535	148.220	yes	streak-free
27	29	152.433	313.835	27.290	33.734	74.000	-0.266	0.000	54.126	0	73.655	22.768	streak	0.405	free	129.184	129.184	137.162	148.874	yes	streak-free
28	31	129.198	261.983	22.781	69.984	10.000	-0.016	0.000	48.844	0	23.485	22.768	streak	0.425	free	109.449	109.449	136.973	148.677	yes	streak-free
29	32	119.328	248.731	21.629	19.266	66.578	0.266	-0.422	52.163	0	134.278	176.261	spot	0.412	free	98.327	98.327	136.478	148.161	yes	spot-free
30	33	134.003	249.947	21.735	34.000	26.000	0.000	0.000	53.185	0	22.768	22.768	streak	0.372	free	103.408	103.408	136.473	148.155	yes	streak-free
31	34	118.208	621.213	54.019	32.453	51.578	0.453	-0.422	51.949	0	80.750	89.489	streak	0.417	free	98.531	98.531	135.989	147.651	yes	streak-free
32	36	128.618	343.778	29.894	21.484	42.047	0.484	0.047	47.982	0	84.588	153.188	Undefined	0.341	free	117.898	117.898	135.840	147.495	yes	Undefined-free
33	37	132.036	286.840	24.943	51.969	22.703	-0.031	-0.297	65.689	0	24.214	117.973	streak	0.454	free	114.102	114.102	135.797	147.450	yes	streak-free
34	38	130.956	318.427	27.689	16.656	35.000	-0.344	0.000	58.550	0	92.092	22.768	streak	0.384	free	113.388	113.388	135.726	147.377	yes	streak-free
35	39	137.380	241.617	21.010	53.000	60.094	0.000	0.094	59.925	0	30.218	107.805	streak	0.443	free	111.714	111.714	135.833	147.488	yes	streak-free
36	40	123.948	251.340	21.856	18.984	76.000	-0.016	0.000	54.580	0	23.127	26.214	streak	0.385	free	94.367	94.367	135.581	147.225	yes	streak-free
37	42	128.571	208.436	18.125	12.547	9.000	0.547	0.000	57.716	0	161.364	22.768	streak	0.371	free	98.204	98.204	134.834	146.446	yes	streak-free
38	43	117.830	125.395	10.904	66.703	26.938	-0.297	-0.062	48.551	0	233.344	392.212	spot	0.432	free	124.857	124.857	134.476	146.072	no	spot-free
39	44	137.609	319.514	27.784	47.406	11.000	0.406	0.000	46.438	0	98.686	33.239	streak	0.398	free	112.490	112.490	134.605	146.207	yes	streak-free
40	46	135.900	239.336	20.812	60.000	34.094	0.000	0.094	52.641	0	22.768	193.750	Undefined	0.444	free	131.898	131.898	134.413	146.007	yes	Undefined-free
41	48	136.628	219.253	19.065	54.000	85.000	0.000	0.000	61.416	0	22.768	22.768	streak	0.369	free	102.061	102.061	134.514	146.112	yes	streak-free
42	50	126.667	393.302	34.200	39.516	56.000	-0.484	0.000	52.957	0	91.073	24.972	streak	0.432	free	113.796	113.796	133.980	145.555	yes	streak-free
43	52	130.298	265.769	23.110	54.438	34.266	0.438	0.266	47.591	0	204.712	77.790	streak	0.396	free	119.367	119.367	133.951	145.525	yes	streak-free
44	53	135.582	226.623	19.706	57.969	23.078	-0.031	0.078	46.818	0	24.231	90.977	streak	0.400	free	125.837	125.837	134.031	145.608	yes	streak-free
45	55	134.056	275.442	23.951	49.000	79.703	0.000	-0.297	54.633	0	30.358	149.195	streak	0.445	free	126.265	126.265	134.078	145.657	yes	streak-free
46	56	125.313	161.520	14.045	8.625	68.953	-0.375	-0.047	51.949	0	147.731	221.531	spot	0.411	free	116.612	116.612	133.951	145.525	yes	spot-free
47	58	128.900	162.644	14.143	60.750	63.062	-0.250	0.062	45.963	0	73.468	415.283	Undefined	0.383	free	132.367	132.367	133.898	145.469	yes	Undefined-free
48	59	125.811	168.327	14.637	65.672	80.922	0.672	-0.078	58.155	0	297.403	110.798	streak	0.434	free	120.878	120.878	133.789	145.355	yes	streak-free
49	61	134.748	226.552	19.700	60.000	57.156	0.000	0.156	48.477	0	22.768	83.266	streak	0.363	free	122.429	122.429	133.849	145.418	yes	streak-free
