 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	80.817	207.750	18.065	65.000	20.203	0.000	0.203	31.109	0	22.768	296.204	Undefined	0.503	bound	76.082	76.082	83.117	92.233	yes	Undefined-bound
2	2	94.797	287.048	24.961	43.984	73.000	-0.016	0.000	42.121	0	22.768	25.865	streak	0.521	bound	80.898	80.898	90.107	99.599	yes	streak-bound
3	3	101.023	250.193	21.756	33.000	19.000	0.000	0.000	46.243	0	22.768	22.768	streak	0.518	bound	89.918	89.918	94.512	104.234	yes	streak-bound
4	4	91.111	216.163	18.797	12.719	14.000	-0.281	0.000	42.278	0	185.877	22.768	streak	0.500	free	80.041	80.041	94.237	103.944	yes	streak-free
5	5	92.316	242.927	21.124	81.984	60.000	-0.016	0.000	36.834	0	22.947	22.768	streak	0.448	free	78.347	78.347	94.313	104.024	yes	streak-free
6	6	89.019	187.305	16.287	81.000	84.531	0.000	-0.469	37.688	0	22.768	230.790	Undefined	0.491	free	74.143	74.143	93.814	103.499	yes	Undefined-free
7	7	86.812	263.859	22.944	72.000	62.156	0.000	0.156	33.233	0	27.287	67.883	streak	0.415	free	73.306	73.306	93.142	102.793	yes	streak-free
8	9	95.664	184.279	16.024	71.625	83.000	-0.375	0.000	44.619	0	163.906	22.768	streak	0.515	bound	87.592	87.592	88.535	97.944	yes	streak-bound
9	10	91.771	224.958	19.562	65.000	49.125	0.000	0.125	41.964	0	22.768	70.295	streak	0.426	free	73.857	73.857	89.089	98.527	yes	streak-free
10	11	87.337	256.955	22.344	90.891	86.484	-0.109	0.484	42.856	0	188.851	80.202	streak	0.470	free	66.592	66.592	89.139	98.580	yes	streak-free
11	12	101.083	203.385	17.686	31.875	70.000	-0.125	0.000	45.232	0	94.379	25.865	streak	0.469	free	80.000	80.000	90.326	99.830	yes	streak-free
12	13	94.503	325.538	28.308	24.297	54.547	0.297	-0.453	47.791	0	98.686	85.123	streak	0.493	free	77.694	77.694	90.824	100.354	yes	streak-free
13	14	81.798	265.140	23.056	54.000	58.703	0.000	-0.297	37.142	0	22.768	79.204	streak	0.438	free	66.469	66.469	90.343	99.848	yes	streak-free
14	15	90.805	256.338	22.290	72.000	91.344	0.000	0.344	35.779	0	34.694	85.875	streak	0.447	free	84.571	84.571	90.528	100.042	yes	streak-free
15	16	85.336	206.928	17.994	36.875	25.344	-0.125	0.344	32.977	0	76.630	172.180	Undefined	0.410	free	83.857	83.857	90.347	99.852	yes	Undefined-free
16	17	83.854	233.781	20.329	80.531	80.969	-0.469	1.969	34.468	0	71.627	487.335	Undefined	0.468	free	81.592	81.592	90.100	99.592	yes	Undefined-free
17	18	95.906	182.399	15.861	14.000	35.000	0.000	0.000	43.234	0	22.768	22.768	streak	0.455	free	70.469	70.469	90.551	100.066	yes	streak-free
18	19	99.493	178.496	15.521	42.000	66.000	0.000	0.000	43.170	0	22.768	22.768	streak	0.490	free	81.531	81.531	91.142	100.689	yes	streak-free
19	22	95.364	132.363	11.510	17.922	80.328	-0.078	0.328	43.940	0	148.792	247.101	spot	0.522	bound	81.878	81.878	91.732	101.310	yes	spot-bound
20	23	89.333	109.858	9.553	24.047	92.094	0.047	0.094	35.065	0	161.911	359.267	Undefined	0.461	free	81.102	81.102	91.728	101.305	yes	Undefined-free
21	25	96.077	172.683	15.016	62.984	59.000	-0.016	0.000	42.890	0	22.768	24.428	streak	0.422	free	76.735	76.735	92.054	101.648	yes	streak-free
22	27	86.319	255.188	22.190	11.391	84.828	0.391	-0.172	34.492	0	81.860	125.603	streak	0.459	free	84.857	84.857	90.693	100.216	yes	streak-free
23	28	84.777	182.375	15.859	88.000	55.984	0.000	-0.016	37.006	0	22.768	27.475	streak	0.404	free	74.204	74.204	90.559	100.075	yes	streak-free
24	29	89.529	150.658	13.101	34.094	77.594	0.094	-0.406	37.998	0	356.192	79.488	streak	0.432	free	83.265	83.265	90.605	100.123	yes	streak-free
25	30	93.245	171.483	14.912	46.984	88.000	-0.016	0.000	42.447	0	22.768	22.768	streak	0.408	free	65.041	65.041	90.775	100.302	yes	streak-free
26	33	79.239	182.620	15.880	23.984	73.000	-0.016	0.000	37.313	0	22.768	22.768	streak	0.371	free	61.694	61.694	90.330	99.834	yes	streak-free
27	34	82.111	226.728	19.716	50.000	46.703	0.000	-0.297	30.552	0	22.768	77.947	streak	0.356	free	65.551	65.551	90.151	99.645	yes	streak-free
28	36	91.258	199.327	17.333	87.719	73.000	-0.281	0.000	32.713	0	80.209	22.768	streak	0.413	free	81.429	81.429	90.251	99.751	yes	streak-free
29	37	87.090	170.354	14.813	71.984	21.000	-0.016	0.000	31.362	0	23.485	22.768	streak	0.376	free	79.551	79.551	90.226	99.725	yes	streak-free
30	39	92.797	253.657	22.057	21.406	49.000	0.406	0.000	44.534	0	81.177	22.768	streak	0.443	free	78.796	78.796	90.362	99.868	yes	streak-free
31	41	84.941	236.988	20.608	16.406	27.000	0.406	0.000	40.125	0	91.073	22.768	streak	0.407	free	72.449	72.449	90.003	99.490	yes	streak-free
32	44	90.020	162.488	14.129	39.719	52.000	-0.281	0.000	40.860	0	173.590	22.768	streak	0.442	free	77.531	77.531	90.063	99.553	yes	streak-free
33	46	86.531	176.557	15.353	18.828	63.000	-0.172	0.000	37.033	0	73.135	27.322	streak	0.368	free	62.510	62.510	89.970	99.455	yes	streak-free
34	47	85.030	113.494	9.869	14.469	55.797	0.469	-0.203	33.095	0	93.059	393.750	Undefined	0.395	free	80.510	80.510	89.907	99.389	yes	Undefined-free
35	48	88.669	198.332	17.246	54.359	66.000	0.359	0.000	36.092	0	90.630	27.713	streak	0.425	free	86.122	86.122	89.932	99.415	yes	streak-free
36	50	84.746	155.618	13.532	74.984	68.000	-0.016	0.000	34.412	0	23.485	26.623	streak	0.417	free	76.673	76.673	89.866	99.346	yes	streak-free
37	51	96.518	100.376	8.728	54.078	11.984	0.078	0.984	38.481	0	133.182	98.301	streak	0.440	free	90.551	90.551	90.065	99.555	yes	streak-free
38	52	84.262	188.392	16.382	40.297	19.000	0.297	0.000	33.008	0	87.317	22.768	streak	0.372	free	71.673	71.673	89.989	99.475	yes	streak-free
39	53	85.825	244.369	21.249	55.594	20.000	-0.406	0.000	33.449	0	80.518	22.768	streak	0.352	free	65.633	65.633	89.949	99.433	yes	streak-free
40	54	88.609	160.470	13.954	71.125	53.984	0.125	-0.016	34.590	0	67.004	23.485	streak	0.385	free	81.122	81.122	89.969	99.454	yes	streak-free
41	55	86.665	62.750	5.457	49.031	16.219	-1.969	-0.781	41.073	0	484.306	233.816	Undefined	0.471	free	83.959	83.959	89.949	99.433	no	Undefined-free
42	56	87.569	129.164	11.232	34.828	38.406	-0.172	0.406	28.746	0	465.690	89.917	streak	0.404	free	95.510	95.510	89.947	99.431	yes	streak-free
43	65	86.702	170.787	14.851	29.000	41.312	0.000	0.312	35.351	0	22.768	95.867	streak	0.375	free	75.408	75.408	89.769	99.243	yes	streak-free
44	66	87.675	136.136	11.838	49.000	27.000	0.000	0.000	38.645	0	22.768	22.768	streak	0.378	free	69.061	69.061	89.773	99.247	yes	streak-free
45	68	80.651	84.553	7.352	48.062	8.000	0.062	0.000	34.174	0	492.188	27.905	streak	0.410	free	76.551	76.551	89.649	99.118	no	streak-free
46	71	77.902	214.685	18.668	33.453	48.219	0.453	0.219	36.523	0	97.144	81.301	streak	0.381	free	61.184	61.184	89.480	98.940	yes	streak-free
47	74	81.587	179.631	15.620	43.297	40.000	0.297	0.000	25.915	0	77.947	22.768	streak	0.323	free	66.020	66.020	89.382	98.837	yes	streak-free
48	77	83.301	92.482	8.042	24.016	18.250	0.016	-0.750	33.122	0	26.270	395.640	Undefined	0.372	free	78.816	78.816	89.317	98.768	no	Undefined-free
49	81	85.208	162.800	14.157	17.719	69.000	-0.281	0.000	29.590	0	76.031	22.768	streak	0.364	free	77.755	77.755	89.287	98.736	yes	streak-free
50	82	86.953	203.419	17.689	44.906	81.656	-0.094	-0.344	33.462	0	93.411	73.674	streak	0.404	free	78.592	78.592	89.286	98.735	yes	streak-free
51	87	81.749	144.499	12.565	59.984	71.891	-0.016	-0.109	32.449	0	23.503	146.448	streak	0.407	free	76.898	76.898	89.200	98.645	yes	streak-free
52	95	82.268	98.515	8.567	87.812	79.656	-0.188	-0.344	38.199	0	192.236	148.278	spot	0.433	free	68.408	68.408	89.125	98.566	no	spot-free
