ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	32.833	58.098	9.683	72.000	82.000	0.000	0.000	7.045	0	23.503	30.218	streak	0.271	free	29.653	29.653	34.033	39.866	yes	streak-free
2	35.568	54.465	9.077	78.000	18.141	0.000	0.141	8.465	0	24.214	97.598	streak	0.324	free	31.633	31.633	35.400	41.350	yes	streak-free
3	30.458	22.285	3.714	85.312	22.531	0.312	-0.469	7.961	0	238.403	461.881	Undefined	0.296	free	33.592	33.592	34.153	39.997	no	Undefined-free
4	31.319	34.154	5.692	53.938	60.500	-0.062	-0.500	6.870	0	379.863	134.812	streak	0.271	free	34.429	34.429	33.744	39.553	no	streak-free
5	29.711	63.972	10.662	16.281	63.438	0.281	0.438	7.788	0	97.388	144.382	streak	0.275	free	28.918	28.918	33.178	38.938	yes	streak-free
6	32.560	56.914	9.486	35.828	85.781	-0.172	-0.219	6.998	0	79.461	80.185	streak	0.230	free	28.531	28.531	33.275	39.043	yes	streak-free
7	32.079	36.960	6.160	57.281	35.000	0.281	0.000	7.733	0	184.462	221.375	spot	0.296	free	33.184	33.184	33.275	39.044	no	spot-free
8	30.501	34.589	5.765	76.750	87.953	-0.250	-0.047	8.243	0	146.430	251.147	spot	0.290	free	29.980	29.980	33.079	38.830	no	spot-free
9	33.212	46.735	7.789	30.000	48.000	0.000	0.000	9.218	0	22.768	22.768	streak	0.290	free	28.531	28.531	33.227	38.991	yes	streak-free
10	33.833	56.897	9.483	39.719	37.250	-0.281	0.250	7.781	0	74.913	102.708	streak	0.218	free	29.020	29.020	33.407	39.187	yes	streak-free
11	33.040	61.029	10.172	47.781	28.672	-0.219	-0.328	8.038	0	88.290	86.889	streak	0.272	free	31.449	31.449	33.483	39.270	yes	streak-free
12	33.969	46.367	7.728	54.984	46.000	-0.016	0.000	6.856	0	26.623	22.768	streak	0.241	free	30.592	30.592	33.624	39.422	yes	streak-free
13	35.470	53.755	8.959	87.719	87.000	-0.281	0.000	7.016	0	86.753	22.768	streak	0.231	free	31.653	31.653	33.858	39.677	yes	streak-free
15	30.436	48.694	8.116	74.500	47.516	-0.500	-0.484	7.865	0	370.954	81.496	streak	0.260	free	28.939	28.939	33.375	39.152	yes	streak-free
16	31.459	43.586	7.264	18.625	41.328	-0.375	0.328	5.876	0	184.485	113.415	spot	0.207	free	32.367	32.367	33.330	39.103	yes	spot-free
18	33.826	43.437	7.240	37.000	61.984	0.000	-0.016	7.608	0	22.768	28.651	streak	0.249	free	30.184	30.184	33.430	39.212	yes	streak-free
19	33.740	70.875	11.812	9.156	63.500	0.156	-0.500	9.044	0	90.089	96.995	streak	0.278	free	30.816	30.816	33.514	39.303	yes	streak-free
20	32.005	33.786	5.631	23.828	53.984	-0.172	-0.016	8.830	0	281.046	29.722	streak	0.296	free	28.776	28.776	33.497	39.285	no	streak-free
21	30.191	42.969	7.161	70.250	25.562	0.250	-0.438	5.813	0	186.035	148.725	spot	0.222	free	29.102	29.102	33.392	39.171	yes	spot-free
22	32.230	29.404	4.901	77.984	27.375	-0.016	0.375	9.002	0	23.306	382.865	Undefined	0.295	free	29.878	29.878	33.394	39.173	no	Undefined-free
23	31.909	34.939	5.823	81.375	68.828	0.375	-0.172	7.424	0	161.734	164.193	spot	0.222	free	29.592	29.592	33.381	39.159	no	spot-free
24	32.115	42.881	7.147	13.000	74.000	0.000	0.000	7.449	0	22.768	23.503	streak	0.242	free	27.714	27.714	33.378	39.155	yes	streak-free
27	30.780	82.469	13.745	73.516	40.906	0.516	-0.094	8.184	0	91.790	136.230	streak	0.308	free	30.122	30.122	33.320	39.092	yes	streak-free
29	33.086	45.567	7.594	47.000	78.250	0.000	0.250	7.234	0	22.768	76.978	streak	0.237	free	31.306	31.306	33.358	39.134	yes	streak-free
30	30.242	52.958	8.826	50.656	90.469	-0.344	0.469	7.662	0	170.247	98.198	streak	0.218	free	31.571	31.571	33.285	39.054	yes	streak-free
33	29.710	22.232	3.705	33.375	32.312	-0.625	0.312	5.230	0	251.263	340.335	spot	0.247	free	32.020	32.020	33.244	39.010	no	spot-free
34	34.286	38.991	6.498	47.000	53.016	0.000	0.016	5.515	0	22.768	25.782	streak	0.189	free	29.878	29.878	33.322	39.094	no	streak-free
