run	ROI	xpos	ypos	streak	spot	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	RK 1	RK 2	RK 3	RK 4	RK 5	RK 6	RK 7	RK 8	RK 9	RK 10
1	7	57.281	35.000	0	1	0	0.000	0.000	1.000	2.000	2.038	3.119	4.600	6.294	8.223	0	0.000	0.000	0.702	0.898	0.636	0.715	0.807	0.873	0.923
1	8	76.750	87.953	0	1	0	1.333	1.493	3.565	4.298	5.067	5.852	6.645	7.443	8.245	0	3.741	1.863	2.502	1.931	1.581	1.341	1.166	1.032	0.926
1	16	18.625	41.328	0	1	0	0.000	1.099	2.434	2.624	2.775	2.924	4.783	5.238	5.718	0	0.000	1.372	1.709	1.179	0.866	0.670	0.839	0.726	0.642
1	21	70.250	25.562	0	1	0	0.000	0.000	1.026	1.131	1.303	1.484	3.342	5.584	8.216	0	0.000	0.000	0.720	0.508	0.407	0.340	0.586	0.774	0.923
1	23	81.375	68.828	0	1	0	0.000	1.099	2.434	2.664	3.041	3.457	3.891	8.666	9.561	0	0.000	1.372	1.709	1.197	0.949	0.792	0.683	1.201	1.074
1	33	33.375	32.312	0	1	0	1.000	1.000	2.000	3.008	3.238	3.656	5.432	6.012	6.606	0	2.807	1.248	1.404	1.351	1.010	0.838	0.953	0.834	0.742
1	51	24.438	28.641	0	1	0	1.000	2.000	2.092	2.368	2.736	4.688	5.288	5.898	8.684	0	2.807	2.496	1.468	1.064	0.854	1.074	0.928	0.818	0.975
1	54	79.188	78.781	0	1	0	1.000	2.081	2.612	3.167	3.742	4.326	4.916	5.509	9.156	0	2.807	2.596	1.833	1.423	1.167	0.991	0.863	0.764	1.028
