ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	98.736	371.916	61.986	44.984	32.016	-0.016	0.016	36.703	0	27.322	78.464	streak	0.535	bound	99.388	99.388	99.936	109.933	yes	streak-bound
2	91.746	234.031	39.005	11.016	84.000	0.016	0.000	46.491	0	234.238	23.876	streak	0.549	bound	86.041	86.041	96.441	106.262	yes	streak-bound
3	90.790	332.134	55.356	50.344	8.000	0.344	0.000	33.791	0	93.554	22.768	streak	0.481	free	85.469	85.469	94.957	104.702	yes	streak-free
4	77.217	316.743	52.790	72.000	51.281	0.000	0.281	30.435	0	22.768	81.455	streak	0.407	free	70.755	70.755	90.822	100.352	yes	streak-free
5	82.329	211.120	35.187	8.984	60.000	-0.016	0.000	41.605	0	240.237	26.636	streak	0.481	free	73.633	73.633	89.364	98.817	yes	streak-free
6	96.826	230.507	38.418	23.062	61.984	0.062	-0.016	38.108	0	108.120	29.553	streak	0.486	free	91.082	91.082	90.807	100.337	yes	streak-free
7	104.507	269.747	44.958	59.750	26.875	-0.250	-0.125	39.707	0	98.686	60.715	streak	0.469	free	84.837	84.837	92.936	102.576	yes	streak-free
11	87.861	378.124	63.021	32.016	34.422	0.016	0.422	40.118	0	130.737	84.223	streak	0.498	free	79.980	79.980	90.832	100.362	yes	streak-free
12	87.343	212.699	35.450	20.000	54.000	0.000	0.000	35.346	0	22.768	22.768	streak	0.407	free	73.122	73.122	90.624	100.143	yes	streak-free
13	87.708	248.380	41.397	39.562	70.516	-0.438	-0.484	40.348	0	156.137	98.584	streak	0.490	free	75.469	75.469	90.481	99.993	yes	streak-free
14	100.895	315.625	52.604	51.531	41.516	-0.469	-0.484	41.207	0	95.503	96.473	streak	0.461	free	94.592	94.592	91.374	100.933	yes	streak-free
15	93.672	220.563	36.761	66.484	17.234	0.484	0.234	33.677	0	91.790	182.391	Undefined	0.435	free	83.918	83.918	91.624	101.196	yes	Undefined-free
16	83.459	137.697	22.950	16.484	76.656	0.484	-0.344	39.717	0	128.929	262.500	Undefined	0.467	free	77.735	77.735	91.160	100.707	yes	Undefined-free
18	88.660	160.719	26.787	73.000	37.875	0.000	-0.125	38.090	0	22.768	274.693	Undefined	0.495	free	86.898	86.898	91.078	100.622	yes	Undefined-free
19	85.392	220.204	36.701	33.500	55.250	0.500	0.250	34.999	0	172.587	75.991	streak	0.390	free	71.143	71.143	90.815	100.344	yes	streak-free
20	93.969	324.339	54.057	40.750	57.344	-0.250	0.344	36.156	0	74.359	92.092	streak	0.424	free	72.735	72.735	91.056	100.599	yes	streak-free
21	93.099	186.964	31.161	33.000	67.000	0.000	0.000	39.319	0	22.768	22.768	streak	0.436	free	85.571	85.571	91.227	100.778	yes	streak-free
22	85.805	245.543	40.924	10.109	44.641	0.109	-0.359	43.482	0	201.295	75.867	streak	0.436	free	66.286	66.286	91.016	100.556	yes	streak-free
23	90.701	122.960	20.493	90.516	49.359	-0.484	0.359	38.539	0	377.969	97.909	streak	0.479	free	89.286	89.286	91.058	100.601	yes	streak-free
24	81.011	220.864	36.811	71.797	28.000	-0.203	0.000	37.962	0	70.632	22.768	streak	0.368	free	63.939	63.939	90.656	100.177	yes	streak-free
25	94.876	219.330	36.555	54.000	79.281	0.000	0.281	36.400	0	22.768	79.204	streak	0.430	free	83.000	83.000	90.892	100.425	yes	streak-free
26	86.729	101.244	16.874	7.422	74.375	0.422	0.375	38.514	0	166.970	356.884	Undefined	0.480	free	78.755	78.755	90.768	100.295	yes	Undefined-free
27	96.240	177.689	29.615	57.641	19.203	-0.359	0.203	39.512	0	107.361	207.495	Undefined	0.535	bound	89.204	89.204	91.035	100.576	yes	Undefined-bound
29	93.275	169.289	28.215	64.266	76.531	0.266	-0.469	37.640	0	125.347	136.609	streak	0.435	free	88.286	88.286	90.864	100.396	yes	streak-free
31	84.915	146.482	24.414	7.781	34.000	-0.219	0.000	37.897	0	195.337	22.768	streak	0.429	free	73.918	73.918	90.489	100.001	yes	streak-free
32	77.726	241.929	40.321	13.750	50.781	-0.250	-0.219	32.871	0	87.500	76.978	streak	0.361	free	70.245	70.245	90.103	99.596	yes	streak-free
33	91.960	333.673	55.612	26.000	53.469	0.000	0.469	36.581	0	22.768	78.867	streak	0.405	free	75.755	75.755	90.202	99.699	yes	streak-free
34	98.173	225.304	37.551	68.906	62.359	-0.094	0.359	36.903	0	70.455	90.630	streak	0.434	free	87.633	87.633	90.489	100.001	yes	streak-free
35	88.056	164.520	27.420	27.281	47.266	0.281	0.266	32.224	0	81.860	221.158	Undefined	0.418	free	84.755	84.755	90.451	99.962	yes	Undefined-free
38	93.525	162.559	27.093	87.000	73.000	0.000	0.000	33.944	0	22.768	22.768	streak	0.347	free	68.755	68.755	90.577	100.094	yes	streak-free
39	87.070	58.005	9.667	29.922	12.625	0.922	0.625	41.314	0	375.189	334.579	spot	0.462	free	88.347	88.347	90.511	100.025	no	spot-free
40	85.888	242.043	40.341	78.156	20.406	0.156	0.406	43.326	0	226.995	81.177	streak	0.504	bound	73.714	73.714	90.416	99.925	yes	streak-bound
41	96.386	244.673	40.779	80.547	69.000	-0.453	0.000	32.881	0	91.073	22.768	streak	0.412	free	91.449	91.449	90.610	100.129	yes	streak-free
42	77.685	363.804	60.634	85.328	25.547	0.328	-0.453	32.027	0	83.714	98.674	streak	0.387	free	68.367	68.367	90.301	99.804	yes	streak-free
43	77.962	97.482	16.247	80.922	54.156	-0.078	0.156	34.207	0	175.340	256.956	spot	0.387	free	77.735	77.735	90.016	99.503	no	spot-free
44	90.324	95.350	15.892	88.844	78.109	1.844	0.109	31.968	0	237.904	89.534	streak	0.379	free	69.735	69.735	90.053	99.543	no	streak-free
46	89.058	159.917	26.653	66.000	31.969	0.000	-0.031	37.790	0	106.267	29.986	streak	0.415	free	79.490	79.490	90.058	99.548	yes	streak-free
50	92.967	186.711	31.118	66.000	67.734	0.000	-0.266	37.075	0	22.768	76.012	streak	0.394	free	78.959	78.959	90.156	99.651	yes	streak-free
53	88.239	241.481	40.247	56.984	10.562	-0.016	-0.438	30.639	0	196.381	80.518	streak	0.386	free	80.633	80.633	90.139	99.634	yes	streak-free
54	95.270	235.701	39.283	8.000	53.484	0.000	0.484	41.752	0	22.768	91.790	streak	0.471	free	77.122	77.122	90.283	99.785	yes	streak-free
57	93.858	292.496	48.749	19.625	37.484	-0.375	0.484	33.574	0	99.127	76.959	streak	0.332	free	74.959	74.959	89.914	99.396	yes	streak-free
64	90.724	137.241	22.874	15.000	13.000	0.000	0.000	43.479	0	22.768	22.768	streak	0.430	free	72.082	72.082	89.666	99.135	yes	streak-free
66	89.293	137.778	22.963	78.000	84.000	0.000	0.000	34.698	0	22.768	22.768	streak	0.331	free	72.327	72.327	89.473	98.932	yes	streak-free
70	79.197	116.689	19.448	58.219	61.766	0.219	-0.234	29.689	0	223.824	256.380	spot	0.389	free	89.000	89.000	89.298	98.748	yes	spot-free
71	84.668	282.567	47.095	66.531	41.000	-0.469	0.000	39.970	0	79.488	22.768	streak	0.434	free	66.857	66.857	89.233	98.680	yes	streak-free
73	84.079	182.991	30.498	12.031	28.500	0.031	-0.500	33.587	0	30.466	115.275	streak	0.373	free	73.633	73.633	89.160	98.603	yes	streak-free
78	86.058	179.995	29.999	81.641	39.000	-0.359	0.000	34.981	0	83.159	45.023	streak	0.374	free	77.061	77.061	89.126	98.566	yes	streak-free
84	85.751	127.291	21.215	90.000	9.000	0.000	0.000	32.976	0	22.768	22.768	streak	0.379	free	77.694	77.694	89.087	98.525	yes	streak-free
113	84.215	121.207	20.201	45.000	51.125	0.000	0.125	29.793	0	22.768	75.991	streak	0.325	free	69.694	69.694	89.022	98.457	yes	streak-free
121	91.071	107.179	17.863	58.234	62.031	-0.766	-1.969	34.121	0	182.212	243.945	spot	0.389	free	89.000	89.000	89.078	98.516	yes	spot-free
