ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	98.736	371.916	32.340	44.984	32.016	-0.016	0.016	36.703	0	27.322	78.464	streak	0.535	bound	99.388	99.388	101.036	111.088	yes	streak-bound
2	91.746	234.031	20.351	11.016	84.000	0.016	0.000	46.491	0	234.238	23.876	streak	0.549	bound	86.041	86.041	97.541	107.418	yes	streak-bound
3	90.790	332.134	28.881	50.344	8.000	0.344	0.000	33.791	0	93.554	22.768	streak	0.481	free	85.469	85.469	96.057	105.858	yes	streak-free
4	77.217	316.743	27.543	72.000	51.281	0.000	0.281	30.435	0	22.768	81.455	streak	0.407	free	70.755	70.755	91.922	101.510	yes	streak-free
5	82.329	211.120	18.358	8.984	60.000	-0.016	0.000	41.605	0	240.237	26.636	streak	0.481	free	73.633	73.633	90.464	99.975	yes	streak-free
6	96.826	230.507	20.044	23.062	61.984	0.062	-0.016	38.108	0	108.120	29.553	streak	0.486	free	91.082	91.082	91.907	101.494	yes	streak-free
7	104.507	269.747	23.456	59.750	26.875	-0.250	-0.125	39.707	0	98.686	60.715	streak	0.469	free	84.837	84.837	94.036	103.733	yes	streak-free
11	87.861	378.124	32.880	32.016	34.422	0.016	0.422	40.118	0	130.737	84.223	streak	0.498	free	79.980	79.980	91.932	101.520	yes	streak-free
12	87.343	212.699	18.496	20.000	54.000	0.000	0.000	35.346	0	22.768	22.768	streak	0.407	free	73.122	73.122	91.724	101.301	yes	streak-free
13	87.708	248.380	21.598	39.562	70.516	-0.438	-0.484	40.348	0	156.137	98.584	streak	0.490	free	75.469	75.469	91.581	101.151	yes	streak-free
14	100.895	315.625	27.446	51.531	41.516	-0.469	-0.484	41.207	0	95.503	96.473	streak	0.461	free	94.592	94.592	92.474	102.091	yes	streak-free
15	93.672	220.563	19.179	66.484	17.234	0.484	0.234	33.677	0	91.790	182.391	Undefined	0.435	free	83.918	83.918	92.724	102.353	yes	Undefined-free
16	83.459	137.697	11.974	16.484	76.656	0.484	-0.344	39.717	0	128.929	262.500	Undefined	0.467	free	77.735	77.735	92.260	101.865	yes	Undefined-free
18	88.660	160.719	13.976	73.000	37.875	0.000	-0.125	38.090	0	22.768	274.693	Undefined	0.495	free	86.898	86.898	92.178	101.779	yes	Undefined-free
19	85.392	220.204	19.148	33.500	55.250	0.500	0.250	34.999	0	172.587	75.991	streak	0.390	free	71.143	71.143	91.915	101.502	yes	streak-free
20	93.969	324.339	28.203	40.750	57.344	-0.250	0.344	36.156	0	74.359	92.092	streak	0.424	free	72.735	72.735	92.156	101.756	yes	streak-free
21	93.099	186.964	16.258	33.000	67.000	0.000	0.000	39.319	0	22.768	22.768	streak	0.436	free	85.571	85.571	92.327	101.936	yes	streak-free
22	85.805	245.543	21.352	10.109	44.641	0.109	-0.359	43.482	0	201.295	75.867	streak	0.436	free	66.286	66.286	92.116	101.714	yes	streak-free
23	90.701	122.960	10.692	90.516	49.359	-0.484	0.359	38.539	0	377.969	97.909	streak	0.479	free	89.286	89.286	92.158	101.758	yes	streak-free
24	81.011	220.864	19.206	71.797	28.000	-0.203	0.000	37.962	0	70.632	22.768	streak	0.368	free	63.939	63.939	91.756	101.335	yes	streak-free
25	94.876	219.330	19.072	54.000	79.281	0.000	0.281	36.400	0	22.768	79.204	streak	0.430	free	83.000	83.000	91.992	101.583	yes	streak-free
26	86.729	101.244	8.804	7.422	74.375	0.422	0.375	38.514	0	166.970	356.884	Undefined	0.480	free	78.755	78.755	91.868	101.453	no	Undefined-free
27	96.240	177.689	15.451	57.641	19.203	-0.359	0.203	39.512	0	107.361	207.495	Undefined	0.535	bound	89.204	89.204	92.135	101.734	yes	Undefined-bound
29	93.275	169.289	14.721	64.266	76.531	0.266	-0.469	37.640	0	125.347	136.609	streak	0.435	free	88.286	88.286	91.964	101.554	yes	streak-free
31	84.915	146.482	12.738	7.781	34.000	-0.219	0.000	37.897	0	195.337	22.768	streak	0.429	free	73.918	73.918	91.589	101.159	yes	streak-free
32	77.726	241.929	21.037	13.750	50.781	-0.250	-0.219	32.871	0	87.500	76.978	streak	0.361	free	70.245	70.245	91.203	100.753	yes	streak-free
33	91.960	333.673	29.015	26.000	53.469	0.000	0.469	36.581	0	22.768	78.867	streak	0.405	free	75.755	75.755	91.302	100.857	yes	streak-free
34	98.173	225.304	19.592	68.906	62.359	-0.094	0.359	36.903	0	70.455	90.630	streak	0.434	free	87.633	87.633	91.589	101.159	yes	streak-free
35	88.056	164.520	14.306	27.281	47.266	0.281	0.266	32.224	0	81.860	221.158	Undefined	0.418	free	84.755	84.755	91.551	101.119	yes	Undefined-free
38	93.525	162.559	14.136	87.000	73.000	0.000	0.000	33.944	0	22.768	22.768	streak	0.347	free	68.755	68.755	91.677	101.252	yes	streak-free
39	87.070	58.005	5.044	29.922	12.625	0.922	0.625	41.314	0	375.189	334.579	spot	0.462	free	88.347	88.347	91.611	101.182	no	spot-free
40	85.888	242.043	21.047	78.156	20.406	0.156	0.406	43.326	0	226.995	81.177	streak	0.504	bound	73.714	73.714	91.516	101.082	yes	streak-bound
41	96.386	244.673	21.276	80.547	69.000	-0.453	0.000	32.881	0	91.073	22.768	streak	0.412	free	91.449	91.449	91.710	101.286	yes	streak-free
42	77.685	363.804	31.635	85.328	25.547	0.328	-0.453	32.027	0	83.714	98.674	streak	0.387	free	68.367	68.367	91.401	100.962	yes	streak-free
43	77.962	97.482	8.477	80.922	54.156	-0.078	0.156	34.207	0	175.340	256.956	spot	0.387	free	77.735	77.735	91.116	100.661	no	spot-free
44	90.324	95.350	8.291	88.844	78.109	1.844	0.109	31.968	0	237.904	89.534	streak	0.379	free	69.735	69.735	91.153	100.701	no	streak-free
46	89.058	159.917	13.906	66.000	31.969	0.000	-0.031	37.790	0	106.267	29.986	streak	0.415	free	79.490	79.490	91.158	100.706	yes	streak-free
50	92.967	186.711	16.236	66.000	67.734	0.000	-0.266	37.075	0	22.768	76.012	streak	0.394	free	78.959	78.959	91.256	100.809	yes	streak-free
53	88.239	241.481	20.998	56.984	10.562	-0.016	-0.438	30.639	0	196.381	80.518	streak	0.386	free	80.633	80.633	91.239	100.791	yes	streak-free
54	95.270	235.701	20.496	8.000	53.484	0.000	0.484	41.752	0	22.768	91.790	streak	0.471	free	77.122	77.122	91.383	100.943	yes	streak-free
57	93.858	292.496	25.434	19.625	37.484	-0.375	0.484	33.574	0	99.127	76.959	streak	0.332	free	74.959	74.959	91.014	100.554	yes	streak-free
64	90.724	137.241	11.934	15.000	13.000	0.000	0.000	43.479	0	22.768	22.768	streak	0.430	free	72.082	72.082	90.766	100.293	yes	streak-free
66	89.293	137.778	11.981	78.000	84.000	0.000	0.000	34.698	0	22.768	22.768	streak	0.331	free	72.327	72.327	90.573	100.090	yes	streak-free
70	79.197	116.689	10.147	58.219	61.766	0.219	-0.234	29.689	0	223.824	256.380	spot	0.389	free	89.000	89.000	90.398	99.906	yes	spot-free
71	84.668	282.567	24.571	66.531	41.000	-0.469	0.000	39.970	0	79.488	22.768	streak	0.434	free	66.857	66.857	90.333	99.838	yes	streak-free
73	84.079	182.991	15.912	12.031	28.500	0.031	-0.500	33.587	0	30.466	115.275	streak	0.373	free	73.633	73.633	90.260	99.761	yes	streak-free
78	86.058	179.995	15.652	81.641	39.000	-0.359	0.000	34.981	0	83.159	45.023	streak	0.374	free	77.061	77.061	90.226	99.724	yes	streak-free
84	85.751	127.291	11.069	90.000	9.000	0.000	0.000	32.976	0	22.768	22.768	streak	0.379	free	77.694	77.694	90.187	99.683	yes	streak-free
113	84.215	121.207	10.540	45.000	51.125	0.000	0.125	29.793	0	22.768	75.991	streak	0.325	free	69.694	69.694	90.122	99.616	yes	streak-free
121	91.071	107.179	9.320	58.234	62.031	-0.766	-1.969	34.121	0	182.212	243.945	spot	0.389	free	89.000	89.000	90.178	99.675	yes	spot-free
