ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	78.673	302.709	26.322	79.234	50.000	0.234	0.000	32.388	0	75.432	23.491	streak	0.505	bound	77.612	77.612	80.973	89.972	yes	streak-bound
2	68.206	183.016	15.914	59.266	32.953	0.266	-0.047	31.902	0	77.866	432.784	Undefined	0.531	bound	69.898	69.898	75.740	84.442	yes	Undefined-bound
3	73.133	276.960	24.083	57.000	11.188	0.000	0.188	29.211	0	22.768	68.425	streak	0.464	free	61.163	61.163	75.638	84.335	yes	streak-free
4	82.403	267.477	23.259	46.781	28.734	-0.219	-0.266	36.935	0	78.200	89.338	streak	0.505	bound	69.020	69.020	77.904	86.730	yes	streak-bound
5	80.802	214.746	18.674	26.031	60.000	0.031	0.000	36.001	0	29.684	22.768	streak	0.465	free	64.122	64.122	78.943	87.828	yes	streak-free
6	80.796	208.084	18.094	42.984	42.000	-0.016	0.000	34.988	0	23.127	27.700	streak	0.484	free	70.755	70.755	79.636	88.559	yes	streak-free
7	78.281	205.922	17.906	29.000	41.000	0.000	0.000	34.037	0	24.622	22.768	streak	0.424	free	63.204	63.204	79.771	88.702	yes	streak-free
8	79.141	274.801	23.896	40.578	64.516	-0.422	-0.484	35.504	0	136.407	83.159	streak	0.492	free	61.408	61.408	79.979	88.923	yes	streak-free
9	84.403	285.724	24.846	81.891	81.594	-0.109	-0.406	35.883	0	90.573	79.889	streak	0.497	free	77.469	77.469	80.727	89.711	yes	streak-free
10	71.562	230.079	20.007	52.688	41.000	-0.312	0.000	30.284	0	83.883	22.768	streak	0.430	free	65.673	65.673	80.040	88.987	yes	streak-free
11	68.707	144.420	12.558	83.219	27.562	0.219	-0.438	28.253	0	184.462	173.113	spot	0.433	free	67.204	67.204	79.219	88.119	yes	spot-free
12	73.805	209.302	18.200	34.797	19.250	-0.203	0.250	29.322	0	73.391	108.442	streak	0.452	free	68.816	68.816	78.959	87.845	yes	streak-free
13	80.445	232.766	20.241	58.000	44.625	0.000	-0.375	35.635	0	22.768	81.860	streak	0.468	free	69.755	69.755	79.251	88.153	yes	streak-free
14	79.629	128.432	11.168	85.172	63.734	0.172	-0.266	31.125	0	188.757	127.213	spot	0.450	free	82.224	82.224	79.442	88.355	yes	spot-free
15	70.514	209.420	18.210	73.297	56.000	0.297	0.000	25.253	0	84.468	30.671	streak	0.370	free	64.449	64.449	79.000	87.888	yes	streak-free
16	73.809	246.575	21.441	9.438	25.297	0.438	0.297	30.774	0	95.673	89.500	streak	0.419	free	60.980	60.980	78.819	87.697	yes	streak-free
17	82.031	157.415	13.688	57.984	20.000	-0.016	0.000	30.978	0	22.947	22.768	streak	0.429	free	69.878	69.878	79.144	88.040	yes	streak-free
18	76.210	158.790	13.808	23.000	46.000	0.000	0.000	31.574	0	22.768	22.768	streak	0.404	free	54.776	54.776	79.108	88.003	yes	streak-free
