ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	47.143	150.788	25.131	18.000	71.000	0.000	0.000	20.915	0	22.768	22.768	streak	0.435	free	38.694	38.694	48.343	55.296	yes	streak-free
2	53.399	172.657	28.776	42.969	54.641	-0.031	-0.359	21.589	0	92.901	93.964	streak	0.476	free	50.755	50.755	51.471	58.645	yes	streak-free
3	51.554	160.230	26.705	74.750	37.375	-0.250	0.375	21.762	0	73.468	145.822	streak	0.454	free	47.000	47.000	51.899	59.103	yes	streak-free
4	53.549	146.619	24.437	49.750	61.984	-0.250	-0.016	19.946	0	96.106	22.768	streak	0.410	free	44.143	44.143	52.611	59.865	yes	streak-free
5	47.156	139.172	23.195	90.469	52.625	-0.531	-0.375	20.497	0	81.311	307.958	Undefined	0.438	free	49.041	49.041	51.760	58.955	yes	Undefined-free
6	49.206	176.081	29.347	35.844	23.625	-0.156	-0.375	18.524	0	79.606	100.366	streak	0.454	free	44.510	44.510	51.535	58.713	yes	streak-free
7	56.856	130.460	21.743	12.984	51.250	-0.016	0.250	22.979	0	152.496	72.701	streak	0.455	free	43.388	43.388	52.466	59.710	yes	streak-free
8	58.004	146.538	24.423	70.766	10.438	-0.234	0.438	22.253	0	89.873	103.216	streak	0.472	free	53.776	53.776	53.308	60.610	yes	streak-free
9	56.095	161.753	26.959	19.266	83.688	0.266	-0.312	20.196	0	84.891	103.216	streak	0.421	free	52.449	52.449	53.751	61.083	yes	streak-free
10	51.901	116.902	19.484	66.000	30.000	0.000	0.000	18.665	0	22.768	22.768	streak	0.383	free	47.714	47.714	53.686	61.013	yes	streak-free
11	41.331	88.362	14.727	26.984	32.453	-0.016	0.453	17.765	0	276.855	150.865	spot	0.407	free	42.878	42.878	52.672	59.930	yes	spot-free
12	53.555	88.814	14.802	66.266	88.000	-0.734	0.000	23.846	0	209.805	33.575	streak	0.459	free	43.673	43.673	52.846	60.115	yes	streak-free
13	51.018	135.775	22.629	69.266	57.406	0.266	0.406	18.922	0	150.717	101.870	streak	0.446	free	50.408	50.408	52.797	60.064	yes	streak-free
14	57.391	151.529	25.255	12.000	68.359	0.000	0.359	20.348	0	22.768	83.159	streak	0.430	free	48.898	48.898	53.211	60.506	yes	streak-free
15	56.049	134.386	22.398	45.000	30.281	0.000	0.281	23.657	0	28.651	77.790	streak	0.415	free	46.020	46.020	53.480	60.793	yes	streak-free
16	41.772	68.090	11.348	54.562	87.438	0.562	0.438	18.274	0	338.980	180.179	Undefined	0.415	free	42.796	42.796	52.824	60.092	yes	Undefined-free
17	51.297	132.080	22.013	69.172	70.062	0.172	0.062	22.498	0	88.908	26.114	streak	0.436	free	44.612	44.612	52.804	60.071	yes	streak-free
18	51.853	121.022	20.170	90.781	27.000	-0.219	0.000	21.558	0	72.839	22.768	streak	0.386	free	43.653	43.653	52.818	60.086	yes	streak-free
19	58.434	115.342	19.224	17.000	19.750	0.000	-0.250	22.171	0	22.768	133.301	streak	0.450	free	51.388	51.388	53.177	60.469	yes	streak-free
20	50.800	133.368	22.228	27.656	73.000	-0.344	0.000	18.971	0	96.948	22.768	streak	0.395	free	45.082	45.082	53.118	60.406	yes	streak-free
21	56.869	100.219	16.703	44.000	76.000	0.000	0.000	22.691	0	22.768	24.286	streak	0.406	free	51.694	51.694	53.354	60.658	yes	streak-free
22	51.734	105.208	17.535	83.000	37.000	0.000	0.000	19.960	0	22.768	22.768	streak	0.414	free	46.469	46.469	53.335	60.638	yes	streak-free
23	51.863	131.679	21.947	24.000	89.688	0.000	-0.312	16.585	0	22.768	81.829	streak	0.418	free	46.592	46.592	53.323	60.625	yes	streak-free
24	50.482	105.457	17.576	31.000	88.000	0.000	0.000	17.448	0	22.768	22.768	streak	0.344	free	43.367	43.367	53.255	60.552	yes	streak-free
