ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	75.537	244.044	21.221	14.172	44.000	0.172	0.000	30.067	0	68.425	22.768	streak	0.453	free	61.959	61.959	77.837	86.660	yes	streak-free
2	83.784	212.507	18.479	59.000	10.016	0.000	0.016	35.450	0	25.467	27.039	streak	0.456	free	76.959	76.959	81.961	91.014	yes	streak-free
3	73.548	277.440	24.125	72.703	68.000	-0.297	0.000	31.197	0	79.468	22.768	streak	0.472	free	66.714	66.714	79.923	88.863	yes	streak-free
4	77.067	209.735	18.238	9.984	31.000	-0.016	0.000	35.290	0	23.485	22.768	streak	0.426	free	66.163	66.163	79.784	88.716	yes	streak-free
5	73.299	203.088	17.660	40.000	44.000	0.000	0.000	34.627	0	22.768	22.768	streak	0.437	free	55.306	55.306	78.947	87.832	yes	streak-free
6	79.723	167.294	14.547	72.969	59.250	-0.031	0.250	35.666	0	247.398	76.978	streak	0.517	bound	75.224	75.224	79.460	88.374	yes	streak-bound
7	78.476	265.554	23.092	30.000	90.359	0.000	0.359	29.168	0	22.768	83.159	streak	0.476	free	73.143	73.143	79.648	88.572	yes	streak-free
8	81.366	221.293	19.243	91.281	75.000	0.281	0.000	36.558	0	81.860	22.768	streak	0.486	free	69.286	69.286	80.150	89.103	yes	streak-free
9	77.617	182.740	15.890	24.016	84.000	0.016	0.000	34.203	0	25.051	22.768	streak	0.409	free	62.286	62.286	80.124	89.075	yes	streak-free
10	72.614	284.322	24.724	84.000	17.453	0.000	0.453	30.370	0	29.546	94.011	streak	0.483	free	64.306	64.306	79.603	88.525	yes	streak-free
11	70.643	218.702	19.018	21.000	73.266	0.000	0.266	26.913	0	22.768	78.314	streak	0.426	free	65.592	65.592	78.998	87.886	yes	streak-free
12	76.608	147.009	12.783	51.000	84.234	0.000	0.234	34.942	0	22.768	246.094	Undefined	0.508	bound	71.367	71.367	78.990	87.878	yes	Undefined-bound
15	80.615	164.377	14.294	80.578	38.000	-0.422	0.000	34.217	0	154.357	22.768	streak	0.448	free	74.918	74.918	76.327	85.063	yes	streak-free
16	85.169	101.332	8.812	67.172	47.750	0.172	-0.250	39.143	0	175.088	350.480	Undefined	0.573	bound	88.061	88.061	77.023	85.800	yes	Undefined-bound
17	80.369	160.422	13.950	65.000	29.000	0.000	0.000	35.687	0	22.768	22.768	streak	0.466	free	66.653	66.653	77.355	86.151	yes	streak-free
18	72.437	81.103	7.052	13.344	77.719	0.344	-0.281	27.073	0	465.381	197.445	Undefined	0.477	free	76.286	76.286	77.210	85.997	no	Undefined-free
19	73.234	165.191	14.364	64.984	39.000	-0.016	0.000	34.689	0	23.485	22.768	streak	0.426	free	56.224	56.224	77.122	85.904	yes	streak-free
20	72.824	148.156	12.883	25.578	50.984	-0.422	-0.016	25.908	0	162.656	22.768	streak	0.374	free	76.082	76.082	77.022	85.798	yes	streak-free
21	82.534	183.926	15.994	87.484	52.781	-0.516	-0.219	34.742	0	117.093	140.170	streak	0.497	free	74.469	74.469	77.394	86.191	yes	streak-free
22	74.537	152.596	13.269	74.234	17.953	0.234	-0.047	32.936	0	76.966	212.055	Undefined	0.415	free	65.061	65.061	77.369	86.164	yes	Undefined-free
24	79.069	150.989	13.129	70.984	39.984	-0.016	-0.016	31.390	0	114.877	22.768	streak	0.430	free	72.714	72.714	77.542	86.348	yes	streak-free
25	76.101	231.896	20.165	37.000	35.406	0.000	0.406	35.563	0	28.203	84.588	streak	0.424	free	67.224	67.224	77.578	86.386	yes	streak-free
26	83.164	193.731	16.846	41.516	28.531	-0.484	-0.469	35.707	0	94.011	119.162	streak	0.474	free	66.980	66.980	77.894	86.719	yes	streak-free
27	84.007	164.046	14.265	90.688	33.000	-0.312	0.000	38.011	0	119.833	22.768	streak	0.492	free	73.510	73.510	78.217	87.061	yes	streak-free
28	83.356	137.181	11.929	40.562	75.000	-0.438	0.000	29.577	0	141.638	24.214	streak	0.459	free	74.102	74.102	78.493	87.352	yes	streak-free
31	72.093	176.107	15.314	78.719	47.438	-0.281	0.438	30.045	0	162.680	89.126	streak	0.383	free	74.796	74.796	76.377	85.116	yes	streak-free
32	77.205	140.863	12.249	11.000	71.000	0.000	0.000	27.408	0	22.768	22.768	streak	0.394	free	75.571	75.571	76.478	85.223	yes	streak-free
33	77.713	189.973	16.519	18.594	61.656	-0.406	-0.344	30.333	0	106.568	110.798	streak	0.474	free	70.837	70.837	76.588	85.340	yes	streak-free
34	72.925	254.473	22.128	46.750	59.594	-0.250	-0.406	27.912	0	92.130	100.278	streak	0.475	free	67.551	67.551	76.547	85.296	yes	streak-free
35	67.261	122.605	10.661	54.078	66.000	0.078	0.000	31.279	0	217.372	22.768	streak	0.392	free	59.857	59.857	76.342	85.079	yes	streak-free
36	80.177	100.636	8.751	38.000	61.922	0.000	0.922	29.685	0	22.768	399.902	Undefined	0.489	free	73.327	73.327	76.517	85.264	yes	Undefined-free
38	75.713	73.551	6.396	42.797	67.000	-0.203	0.000	28.136	0	409.227	23.485	streak	0.372	free	63.551	63.551	76.588	85.339	no	streak-free
41	68.533	84.757	7.370	19.000	26.891	0.000	0.891	31.596	0	22.768	479.370	Undefined	0.401	free	60.551	60.551	76.436	85.179	no	Undefined-free
42	74.512	118.549	10.309	33.141	68.016	0.141	0.016	34.858	0	226.405	27.039	streak	0.421	free	62.327	62.327	76.446	85.189	yes	streak-free
43	71.515	139.409	12.123	68.000	20.000	0.000	0.000	28.992	0	22.768	22.768	streak	0.366	free	52.143	52.143	76.380	85.120	yes	streak-free
44	72.248	75.816	6.593	87.953	46.391	-0.047	0.391	29.287	0	121.609	343.723	Undefined	0.383	free	66.245	66.245	76.335	85.072	no	Undefined-free
45	83.337	150.814	13.114	45.281	11.000	0.281	0.000	33.864	0	86.753	22.768	streak	0.362	free	59.510	59.510	76.557	85.306	yes	streak-free
46	80.096	127.894	11.121	79.000	68.000	0.000	0.000	31.952	0	22.768	22.768	streak	0.395	free	64.061	64.061	76.693	85.450	yes	streak-free
47	71.187	135.153	11.752	9.984	12.000	-0.016	0.000	24.850	0	22.768	22.768	streak	0.362	free	60.184	60.184	76.620	85.373	yes	streak-free
49	86.161	120.912	10.514	91.016	58.969	0.016	-0.031	36.578	0	40.415	36.382	streak	0.437	free	66.796	66.796	76.951	85.723	yes	streak-free
53	80.049	121.922	10.602	28.062	45.000	0.062	0.000	30.195	0	111.185	22.768	streak	0.430	free	71.429	71.429	76.487	85.233	yes	streak-free
54	66.719	87.807	7.635	65.969	87.000	-0.031	0.000	27.093	0	333.252	22.768	streak	0.411	free	62.020	62.020	76.335	85.072	yes	streak-free
56	80.517	213.056	18.527	77.469	29.578	0.469	-0.422	34.159	0	89.529	87.419	streak	0.443	free	60.939	60.939	76.465	85.209	yes	streak-free
60	71.648	190.221	16.541	66.641	70.281	0.641	0.281	37.021	0	105.248	79.545	streak	0.466	free	60.735	60.735	76.415	85.157	yes	streak-free
61	74.567	167.334	14.551	91.000	18.672	0.000	-0.328	29.989	0	22.768	79.571	streak	0.356	free	58.286	58.286	76.424	85.166	yes	streak-free
62	63.865	143.590	12.486	89.406	81.688	0.406	-0.312	31.226	0	92.950	225.586	Undefined	0.420	free	53.122	53.122	76.230	84.961	yes	Undefined-free
63	76.184	141.702	12.322	29.000	16.734	0.000	-0.266	35.825	0	22.768	81.475	streak	0.458	free	68.082	68.082	76.272	85.006	yes	streak-free
64	70.813	123.765	10.762	31.422	75.000	0.422	0.000	28.408	0	175.000	22.768	streak	0.368	free	57.531	57.531	76.215	84.945	yes	streak-free
66	73.500	254.018	22.089	27.281	35.422	0.281	0.422	29.662	0	89.338	89.401	streak	0.360	free	62.755	62.755	76.207	84.937	yes	streak-free
69	68.876	130.833	11.377	62.172	59.922	0.172	-0.078	28.586	0	242.128	118.892	streak	0.407	free	70.265	70.265	76.119	84.844	yes	streak-free
73	73.690	113.306	9.853	77.000	82.000	0.000	0.000	26.267	0	22.768	22.768	streak	0.391	free	61.551	61.551	76.117	84.841	yes	streak-free
76	68.886	213.797	18.591	42.469	88.516	0.469	-0.484	31.339	0	88.824	85.931	streak	0.383	free	57.735	57.735	76.033	84.753	yes	streak-free
83	73.490	148.200	12.887	22.406	39.734	0.406	-0.266	30.696	0	93.247	211.444	Undefined	0.425	free	69.898	69.898	76.029	84.749	yes	Undefined-free
88	72.040	105.137	9.142	25.984	56.969	-0.016	-0.031	25.630	0	32.208	125.508	streak	0.350	free	62.633	62.633	76.001	84.719	yes	streak-free
95	74.281	61.134	5.316	47.000	78.875	0.000	0.875	28.462	0	26.860	342.947	Undefined	0.415	free	71.143	71.143	76.011	84.729	no	Undefined-free
