ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	75.537	244.044	40.674	14.172	44.000	0.172	0.000	30.067	0	68.425	22.768	streak	0.453	free	61.959	61.959	76.737	85.497	yes	streak-free
2	83.784	212.507	35.418	59.000	10.016	0.000	0.016	35.450	0	25.467	27.039	streak	0.456	free	76.959	76.959	80.861	89.853	yes	streak-free
3	73.548	277.440	46.240	72.703	68.000	-0.297	0.000	31.197	0	79.468	22.768	streak	0.472	free	66.714	66.714	78.823	87.701	yes	streak-free
4	77.067	209.735	34.956	9.984	31.000	-0.016	0.000	35.290	0	23.485	22.768	streak	0.426	free	66.163	66.163	78.684	87.555	yes	streak-free
5	73.299	203.088	33.848	40.000	44.000	0.000	0.000	34.627	0	22.768	22.768	streak	0.437	free	55.306	55.306	77.847	86.670	yes	streak-free
6	79.723	167.294	27.882	72.969	59.250	-0.031	0.250	35.666	0	247.398	76.978	streak	0.517	bound	75.224	75.224	78.360	87.212	yes	streak-bound
7	78.476	265.554	44.259	30.000	90.359	0.000	0.359	29.168	0	22.768	83.159	streak	0.476	free	73.143	73.143	78.548	87.410	yes	streak-free
8	81.366	221.293	36.882	91.281	75.000	0.281	0.000	36.558	0	81.860	22.768	streak	0.486	free	69.286	69.286	79.050	87.941	yes	streak-free
9	77.617	182.740	30.457	24.016	84.000	0.016	0.000	34.203	0	25.051	22.768	streak	0.409	free	62.286	62.286	79.024	87.914	yes	streak-free
10	72.614	284.322	47.387	84.000	17.453	0.000	0.453	30.370	0	29.546	94.011	streak	0.483	free	64.306	64.306	78.503	87.363	yes	streak-free
11	70.643	218.702	36.450	21.000	73.266	0.000	0.266	26.913	0	22.768	78.314	streak	0.426	free	65.592	65.592	77.898	86.724	yes	streak-free
12	76.608	147.009	24.501	51.000	84.234	0.000	0.234	34.942	0	22.768	246.094	Undefined	0.508	bound	71.367	71.367	77.890	86.716	yes	Undefined-bound
15	80.615	164.377	27.396	80.578	38.000	-0.422	0.000	34.217	0	154.357	22.768	streak	0.448	free	74.918	74.918	75.227	83.900	yes	streak-free
16	85.169	101.332	16.889	67.172	47.750	0.172	-0.250	39.143	0	175.088	350.480	Undefined	0.573	bound	88.061	88.061	75.923	84.637	yes	Undefined-bound
17	80.369	160.422	26.737	65.000	29.000	0.000	0.000	35.687	0	22.768	22.768	streak	0.466	free	66.653	66.653	76.255	84.988	yes	streak-free
18	72.437	81.103	13.517	13.344	77.719	0.344	-0.281	27.073	0	465.381	197.445	Undefined	0.477	free	76.286	76.286	76.110	84.834	no	Undefined-free
19	73.234	165.191	27.532	64.984	39.000	-0.016	0.000	34.689	0	23.485	22.768	streak	0.426	free	56.224	56.224	76.022	84.741	yes	streak-free
20	72.824	148.156	24.693	25.578	50.984	-0.422	-0.016	25.908	0	162.656	22.768	streak	0.374	free	76.082	76.082	75.922	84.635	yes	streak-free
21	82.534	183.926	30.654	87.484	52.781	-0.516	-0.219	34.742	0	117.093	140.170	streak	0.497	free	74.469	74.469	76.294	85.028	yes	streak-free
22	74.537	152.596	25.433	74.234	17.953	0.234	-0.047	32.936	0	76.966	212.055	Undefined	0.415	free	65.061	65.061	76.269	85.002	yes	Undefined-free
24	79.069	150.989	25.165	70.984	39.984	-0.016	-0.016	31.390	0	114.877	22.768	streak	0.430	free	72.714	72.714	76.442	85.186	yes	streak-free
25	76.101	231.896	38.649	37.000	35.406	0.000	0.406	35.563	0	28.203	84.588	streak	0.424	free	67.224	67.224	76.478	85.223	yes	streak-free
26	83.164	193.731	32.289	41.516	28.531	-0.484	-0.469	35.707	0	94.011	119.162	streak	0.474	free	66.980	66.980	76.794	85.557	yes	streak-free
27	84.007	164.046	27.341	90.688	33.000	-0.312	0.000	38.011	0	119.833	22.768	streak	0.492	free	73.510	73.510	77.117	85.899	yes	streak-free
28	83.356	137.181	22.864	40.562	75.000	-0.438	0.000	29.577	0	141.638	24.214	streak	0.459	free	74.102	74.102	77.393	86.190	yes	streak-free
31	72.093	176.107	29.351	78.719	47.438	-0.281	0.438	30.045	0	162.680	89.126	streak	0.383	free	74.796	74.796	75.277	83.953	yes	streak-free
32	77.205	140.863	23.477	11.000	71.000	0.000	0.000	27.408	0	22.768	22.768	streak	0.394	free	75.571	75.571	75.378	84.060	yes	streak-free
33	77.713	189.973	31.662	18.594	61.656	-0.406	-0.344	30.333	0	106.568	110.798	streak	0.474	free	70.837	70.837	75.488	84.177	yes	streak-free
34	72.925	254.473	42.412	46.750	59.594	-0.250	-0.406	27.912	0	92.130	100.278	streak	0.475	free	67.551	67.551	75.447	84.133	yes	streak-free
35	67.261	122.605	20.434	54.078	66.000	0.078	0.000	31.279	0	217.372	22.768	streak	0.392	free	59.857	59.857	75.242	83.916	yes	streak-free
36	80.177	100.636	16.773	38.000	61.922	0.000	0.922	29.685	0	22.768	399.902	Undefined	0.489	free	73.327	73.327	75.417	84.101	yes	Undefined-free
38	75.713	73.551	12.259	42.797	67.000	-0.203	0.000	28.136	0	409.227	23.485	streak	0.372	free	63.551	63.551	75.488	84.176	no	streak-free
41	68.533	84.757	14.126	19.000	26.891	0.000	0.891	31.596	0	22.768	479.370	Undefined	0.401	free	60.551	60.551	75.336	84.016	yes	Undefined-free
42	74.512	118.549	19.758	33.141	68.016	0.141	0.016	34.858	0	226.405	27.039	streak	0.421	free	62.327	62.327	75.346	84.026	yes	streak-free
43	71.515	139.409	23.235	68.000	20.000	0.000	0.000	28.992	0	22.768	22.768	streak	0.366	free	52.143	52.143	75.280	83.956	yes	streak-free
44	72.248	75.816	12.636	87.953	46.391	-0.047	0.391	29.287	0	121.609	343.723	Undefined	0.383	free	66.245	66.245	75.235	83.909	no	Undefined-free
45	83.337	150.814	25.136	45.281	11.000	0.281	0.000	33.864	0	86.753	22.768	streak	0.362	free	59.510	59.510	75.457	84.143	yes	streak-free
46	80.096	127.894	21.316	79.000	68.000	0.000	0.000	31.952	0	22.768	22.768	streak	0.395	free	64.061	64.061	75.593	84.287	yes	streak-free
