ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	79.539	387.005	64.501	72.828	37.375	-0.172	0.375	32.390	0	96.025	80.550	streak	0.561	bound	71.469	71.469	80.739	89.724	yes	streak-bound
2	81.180	264.187	44.031	42.000	29.266	0.000	0.266	36.845	0	22.768	72.071	streak	0.449	free	59.531	59.531	81.559	90.590	yes	streak-free
3	83.955	167.738	27.956	80.000	40.562	0.000	-0.438	29.248	0	22.768	242.861	Undefined	0.490	free	82.612	82.612	82.758	91.855	yes	Undefined-free
4	73.468	221.679	36.946	76.172	51.969	0.172	-0.031	32.999	0	108.494	30.215	streak	0.440	free	65.245	65.245	80.735	89.720	yes	streak-free
5	86.109	208.383	34.730	10.000	47.219	0.000	0.219	30.682	0	23.876	105.667	streak	0.484	free	72.143	72.143	82.050	91.108	yes	streak-free
6	71.017	190.611	31.768	32.000	72.516	0.000	0.516	35.431	0	219.672	95.503	streak	0.470	free	61.020	61.020	80.411	89.378	yes	streak-free
7	76.097	284.025	47.338	15.000	66.406	0.000	0.406	37.393	0	31.657	92.518	streak	0.489	free	65.429	65.429	79.966	88.909	yes	streak-free
8	85.677	223.778	37.296	17.000	50.719	0.000	-0.281	35.970	0	24.040	87.141	streak	0.494	free	74.571	74.571	80.830	89.821	yes	streak-free
9	80.833	265.690	44.282	23.000	68.641	0.000	-0.359	33.371	0	22.768	83.159	streak	0.455	free	72.633	72.633	80.964	89.962	yes	streak-free
10	83.411	168.684	28.114	41.219	64.297	0.219	0.297	31.733	0	74.556	200.000	Undefined	0.440	free	71.755	71.755	81.328	90.347	yes	Undefined-free
11	80.786	133.189	22.198	82.000	32.047	0.000	0.047	37.614	0	30.218	343.323	Undefined	0.559	bound	80.531	80.531	81.388	90.410	yes	Undefined-bound
12	84.866	175.668	29.278	49.984	31.000	-0.016	0.000	34.537	0	23.485	22.768	streak	0.412	free	67.959	67.959	81.778	90.821	yes	streak-free
13	73.402	151.750	25.292	29.766	41.109	-0.234	0.109	31.552	0	87.148	270.400	Undefined	0.471	free	65.653	65.653	81.226	90.239	yes	Undefined-free
14	77.882	182.968	30.495	40.000	45.906	0.000	-0.094	33.163	0	22.768	120.850	streak	0.501	bound	72.388	72.388	81.073	90.077	yes	streak-bound
15	72.415	182.876	30.479	69.000	72.000	0.000	0.000	25.530	0	22.768	22.768	streak	0.378	free	64.469	64.469	80.576	89.552	yes	streak-free
16	69.467	182.573	30.429	17.000	35.000	0.000	0.000	26.918	0	22.768	22.768	streak	0.355	free	46.837	46.837	79.956	88.898	yes	streak-free
17	78.825	174.896	29.149	47.984	13.000	-0.016	0.000	35.841	0	22.768	22.768	streak	0.497	free	67.388	67.388	79.960	88.903	yes	streak-free
18	92.353	157.967	26.328	40.984	58.000	-0.016	0.000	39.714	0	23.485	22.768	streak	0.467	free	76.959	76.959	80.716	89.700	yes	streak-free
20	78.621	170.414	28.402	71.000	22.000	0.000	0.000	36.943	0	22.768	22.768	streak	0.438	free	62.061	62.061	80.669	89.650	yes	streak-free
21	73.960	140.473	23.412	41.266	21.000	0.266	0.000	28.046	0	206.250	24.237	streak	0.384	free	62.429	62.429	80.393	89.359	yes	streak-free
22	75.802	167.191	27.865	53.000	39.000	0.000	0.000	35.738	0	22.768	26.636	streak	0.429	free	52.612	52.612	80.232	89.189	yes	streak-free
23	74.116	193.636	32.273	23.984	59.250	-0.016	0.250	32.756	0	23.127	92.231	streak	0.384	free	59.816	59.816	80.008	88.953	yes	streak-free
24	78.180	205.528	34.255	58.000	68.297	0.000	0.297	38.476	0	22.768	79.833	streak	0.439	free	60.714	60.714	79.981	88.924	yes	streak-free
26	70.952	179.618	29.936	10.172	24.984	-0.828	-0.016	28.414	0	131.929	23.127	streak	0.436	free	66.755	66.755	78.720	87.593	yes	streak-free
27	74.634	182.953	30.492	68.984	55.234	-0.016	0.234	29.424	0	23.485	103.410	streak	0.430	free	59.612	59.612	78.609	87.476	yes	streak-free
29	74.491	158.531	26.422	88.000	81.000	0.000	0.000	32.490	0	22.768	23.130	streak	0.431	free	60.673	60.673	78.054	86.889	yes	streak-free
30	82.939	151.393	25.232	90.984	45.000	-0.016	0.000	31.180	0	23.485	22.768	streak	0.434	free	71.469	71.469	78.264	87.111	yes	streak-free
31	80.353	156.552	26.092	51.984	78.031	-0.016	0.031	33.641	0	23.306	29.247	streak	0.428	free	63.980	63.980	78.374	87.227	yes	streak-free
33	81.526	152.784	25.464	10.109	41.000	0.109	0.000	32.470	0	118.961	22.768	streak	0.417	free	69.000	69.000	78.514	87.375	yes	streak-free
34	72.225	135.515	22.586	13.984	80.000	-0.016	0.000	28.985	0	23.876	215.803	Undefined	0.404	free	66.918	66.918	78.355	87.207	yes	Undefined-free
35	81.683	121.335	20.222	25.031	81.281	0.031	0.281	38.398	0	23.491	221.375	Undefined	0.471	free	68.388	68.388	78.492	87.352	yes	Undefined-free
36	70.219	159.912	26.652	42.031	10.234	0.031	0.234	30.724	0	26.391	213.925	Undefined	0.463	free	76.776	76.776	78.284	87.132	yes	Undefined-free
37	87.249	207.750	34.625	88.641	58.000	-0.359	0.000	40.143	0	77.458	22.768	streak	0.508	bound	72.469	72.469	78.575	87.439	yes	streak-bound
39	67.828	148.965	24.828	68.375	12.500	0.375	0.500	30.491	0	191.510	106.094	spot	0.438	free	63.939	63.939	78.310	87.159	yes	spot-free
40	72.697	210.074	35.012	76.594	13.266	-0.406	0.266	37.438	0	85.931	148.773	streak	0.406	free	54.204	54.204	78.190	87.033	yes	streak-free
41	74.353	150.884	25.147	63.031	57.000	0.031	0.000	30.239	0	29.933	22.768	streak	0.414	free	63.571	63.571	78.121	86.959	yes	streak-free
42	76.414	72.293	12.049	55.984	9.906	-1.016	-0.094	34.310	0	440.563	88.117	streak	0.439	free	72.490	72.490	78.108	86.946	no	streak-free
43	85.662	211.760	35.293	74.531	90.000	-0.469	0.000	31.989	0	93.247	22.768	streak	0.397	free	65.041	65.041	78.327	87.177	yes	streak-free
44	71.800	185.614	30.936	13.000	87.312	0.000	0.312	23.796	0	22.768	81.496	streak	0.373	free	64.592	64.592	78.197	87.040	yes	streak-free
45	72.742	201.939	33.656	82.000	90.578	0.000	-0.422	33.142	0	22.768	97.144	streak	0.445	free	59.673	59.673	78.095	86.933	yes	streak-free
47	65.226	208.025	34.671	35.750	91.188	-0.250	0.188	25.230	0	73.910	123.047	streak	0.330	free	55.306	55.306	77.824	86.646	yes	streak-free
48	81.193	152.712	25.452	84.000	69.719	0.000	-0.281	37.412	0	22.768	84.198	streak	0.476	free	62.755	62.755	77.928	86.756	yes	streak-free
49	78.895	154.514	25.752	24.875	74.719	-0.125	-0.281	32.024	0	67.567	114.455	streak	0.422	free	67.592	67.592	77.976	86.806	yes	streak-free
51	80.980	78.367	13.061	26.000	22.203	0.000	0.203	35.010	0	22.768	437.176	Undefined	0.424	free	77.531	77.531	78.067	86.903	no	Undefined-free
52	75.150	203.479	33.913	59.391	79.688	0.391	-0.312	28.274	0	85.799	109.562	streak	0.432	free	66.265	66.265	78.031	86.864	yes	streak-free
54	64.099	140.858	23.476	88.000	24.000	0.000	0.000	26.581	0	22.768	22.768	streak	0.302	free	47.837	47.837	77.766	86.584	yes	streak-free
55	78.552	125.207	20.868	60.000	17.000	0.000	0.000	34.994	0	22.768	22.768	streak	0.423	free	56.449	56.449	77.806	86.627	yes	streak-free
56	78.783	114.831	19.138	58.938	50.188	-0.062	0.188	29.216	0	111.031	175.000	Undefined	0.425	free	67.531	67.531	77.850	86.673	yes	Undefined-free
58	73.661	127.342	21.224	10.000	55.000	0.000	0.000	28.226	0	25.853	22.768	streak	0.332	free	58.184	58.184	77.791	86.611	yes	streak-free
60	64.724	162.136	27.023	64.938	87.812	-0.062	-0.188	26.512	0	29.893	90.779	streak	0.335	free	48.082	48.082	77.563	86.370	yes	streak-free
61	75.572	97.202	16.200	14.484	13.000	0.484	0.000	30.178	0	231.592	22.768	streak	0.360	free	58.265	58.265	77.548	86.354	yes	streak-free
62	81.109	117.927	19.655	86.000	16.000	0.000	0.000	35.533	0	22.768	22.768	streak	0.463	free	65.204	65.204	77.636	86.447	yes	streak-free
66	81.986	112.755	18.793	59.000	38.984	0.000	-0.016	27.864	0	22.768	27.272	streak	0.362	free	70.694	70.694	77.327	86.120	yes	streak-free
78	61.650	104.538	17.423	21.984	40.750	-0.016	-0.250	23.738	0	234.623	248.843	spot	0.422	free	67.776	67.776	77.073	85.852	yes	spot-free
88	61.422	145.284	24.214	46.312	84.000	0.312	0.000	20.911	0	81.839	32.744	streak	0.273	free	55.837	55.837	76.823	85.588	yes	streak-free
