ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	79.539	387.005	33.653	72.828	37.375	-0.172	0.375	32.390	0	96.025	80.550	streak	0.561	bound	71.469	71.469	81.839	90.885	yes	streak-bound
2	81.180	264.187	22.973	42.000	29.266	0.000	0.266	36.845	0	22.768	72.071	streak	0.449	free	59.531	59.531	82.659	91.751	yes	streak-free
3	83.955	167.738	14.586	80.000	40.562	0.000	-0.438	29.248	0	22.768	242.861	Undefined	0.490	free	82.612	82.612	83.858	93.015	yes	Undefined-free
4	73.468	221.679	19.276	76.172	51.969	0.172	-0.031	32.999	0	108.494	30.215	streak	0.440	free	65.245	65.245	81.835	90.881	yes	streak-free
5	86.109	208.383	18.120	10.000	47.219	0.000	0.219	30.682	0	23.876	105.667	streak	0.484	free	72.143	72.143	83.150	92.268	yes	streak-free
6	71.017	190.611	16.575	32.000	72.516	0.000	0.516	35.431	0	219.672	95.503	streak	0.470	free	61.020	61.020	81.511	90.539	yes	streak-free
7	76.097	284.025	24.698	15.000	66.406	0.000	0.406	37.393	0	31.657	92.518	streak	0.489	free	65.429	65.429	81.066	90.070	yes	streak-free
8	85.677	223.778	19.459	17.000	50.719	0.000	-0.281	35.970	0	24.040	87.141	streak	0.494	free	74.571	74.571	81.930	90.982	yes	streak-free
9	80.833	265.690	23.103	23.000	68.641	0.000	-0.359	33.371	0	22.768	83.159	streak	0.455	free	72.633	72.633	82.064	91.123	yes	streak-free
10	83.411	168.684	14.668	41.219	64.297	0.219	0.297	31.733	0	74.556	200.000	Undefined	0.440	free	71.755	71.755	82.428	91.507	yes	Undefined-free
11	80.786	133.189	11.582	82.000	32.047	0.000	0.047	37.614	0	30.218	343.323	Undefined	0.559	bound	80.531	80.531	82.488	91.570	yes	Undefined-bound
12	84.866	175.668	15.275	49.984	31.000	-0.016	0.000	34.537	0	23.485	22.768	streak	0.412	free	67.959	67.959	82.878	91.982	yes	streak-free
13	73.402	151.750	13.196	29.766	41.109	-0.234	0.109	31.552	0	87.148	270.400	Undefined	0.471	free	65.653	65.653	82.326	91.399	yes	Undefined-free
14	77.882	182.968	15.910	40.000	45.906	0.000	-0.094	33.163	0	22.768	120.850	streak	0.501	bound	72.388	72.388	82.173	91.238	yes	streak-bound
15	72.415	182.876	15.902	69.000	72.000	0.000	0.000	25.530	0	22.768	22.768	streak	0.378	free	64.469	64.469	81.676	90.713	yes	streak-free
16	69.467	182.573	15.876	17.000	35.000	0.000	0.000	26.918	0	22.768	22.768	streak	0.355	free	46.837	46.837	81.056	90.060	yes	streak-free
17	78.825	174.896	15.208	47.984	13.000	-0.016	0.000	35.841	0	22.768	22.768	streak	0.497	free	67.388	67.388	81.060	90.064	yes	streak-free
18	92.353	157.967	13.736	40.984	58.000	-0.016	0.000	39.714	0	23.485	22.768	streak	0.467	free	76.959	76.959	81.816	90.861	yes	streak-free
20	78.621	170.414	14.819	71.000	22.000	0.000	0.000	36.943	0	22.768	22.768	streak	0.438	free	62.061	62.061	81.769	90.811	yes	streak-free
21	73.960	140.473	12.215	41.266	21.000	0.266	0.000	28.046	0	206.250	24.237	streak	0.384	free	62.429	62.429	81.493	90.520	yes	streak-free
22	75.802	167.191	14.538	53.000	39.000	0.000	0.000	35.738	0	22.768	26.636	streak	0.429	free	52.612	52.612	81.332	90.350	yes	streak-free
23	74.116	193.636	16.838	23.984	59.250	-0.016	0.250	32.756	0	23.127	92.231	streak	0.384	free	59.816	59.816	81.108	90.114	yes	streak-free
24	78.180	205.528	17.872	58.000	68.297	0.000	0.297	38.476	0	22.768	79.833	streak	0.439	free	60.714	60.714	81.081	90.085	yes	streak-free
26	70.952	179.618	15.619	10.172	24.984	-0.828	-0.016	28.414	0	131.929	23.127	streak	0.436	free	66.755	66.755	79.820	88.755	yes	streak-free
27	74.634	182.953	15.909	68.984	55.234	-0.016	0.234	29.424	0	23.485	103.410	streak	0.430	free	59.612	59.612	79.709	88.637	yes	streak-free
29	74.491	158.531	13.785	88.000	81.000	0.000	0.000	32.490	0	22.768	23.130	streak	0.431	free	60.673	60.673	79.154	88.051	yes	streak-free
30	82.939	151.393	13.165	90.984	45.000	-0.016	0.000	31.180	0	23.485	22.768	streak	0.434	free	71.469	71.469	79.364	88.273	yes	streak-free
31	80.353	156.552	13.613	51.984	78.031	-0.016	0.031	33.641	0	23.306	29.247	streak	0.428	free	63.980	63.980	79.474	88.389	yes	streak-free
33	81.526	152.784	13.286	10.109	41.000	0.109	0.000	32.470	0	118.961	22.768	streak	0.417	free	69.000	69.000	79.614	88.537	yes	streak-free
34	72.225	135.515	11.784	13.984	80.000	-0.016	0.000	28.985	0	23.876	215.803	Undefined	0.404	free	66.918	66.918	79.455	88.369	yes	Undefined-free
35	81.683	121.335	10.551	25.031	81.281	0.031	0.281	38.398	0	23.491	221.375	Undefined	0.471	free	68.388	68.388	79.592	88.514	yes	Undefined-free
36	70.219	159.912	13.905	42.031	10.234	0.031	0.234	30.724	0	26.391	213.925	Undefined	0.463	free	76.776	76.776	79.384	88.294	yes	Undefined-free
37	87.249	207.750	18.065	88.641	58.000	-0.359	0.000	40.143	0	77.458	22.768	streak	0.508	bound	72.469	72.469	79.675	88.601	yes	streak-bound
