ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	74.519	176.346	15.334	72.000	66.000	0.000	0.000	35.408	0	22.768	22.768	streak	0.481	free	60.633	60.633	76.819	85.584	yes	streak-free
2	61.826	203.616	17.706	10.000	31.766	0.000	-0.234	28.600	0	22.768	74.843	streak	0.436	free	52.408	52.408	70.472	78.867	yes	streak-free
3	67.810	240.575	20.920	28.141	27.562	0.141	-0.438	30.813	0	166.297	78.190	streak	0.499	free	60.531	60.531	70.352	78.739	yes	streak-free
4	62.891	163.202	14.191	50.984	48.000	-0.016	0.000	24.899	0	27.482	22.768	streak	0.399	free	49.918	49.918	69.061	77.372	yes	streak-free
5	63.389	113.719	9.889	54.125	25.500	0.125	-0.500	25.628	0	298.768	104.083	streak	0.471	free	66.796	66.796	68.387	76.657	yes	streak-free
6	69.318	153.674	13.363	83.000	85.000	0.000	0.000	25.635	0	22.768	26.636	streak	0.483	free	55.653	55.653	68.926	77.228	yes	streak-free
7	74.240	243.236	21.151	16.438	90.328	0.438	0.328	33.614	0	78.641	128.813	streak	0.564	bound	67.204	67.204	70.013	78.381	yes	streak-bound
8	61.251	159.292	13.851	47.984	86.000	-0.016	0.000	26.061	0	22.768	22.768	streak	0.352	free	40.796	40.796	69.206	77.525	yes	streak-free
9	65.409	93.540	8.134	57.594	40.234	-0.406	0.234	31.081	0	121.997	342.467	Undefined	0.510	bound	63.082	63.082	69.039	77.348	yes	Undefined-bound
10	64.394	152.534	13.264	77.000	8.000	0.000	0.000	28.589	0	22.768	22.768	streak	0.448	free	61.041	61.041	68.805	77.100	yes	streak-free
12	59.593	151.383	13.164	50.000	13.000	0.000	0.000	26.771	0	22.768	22.768	streak	0.349	free	49.327	49.327	68.379	76.648	yes	streak-free
13	65.530	139.545	12.134	28.344	50.234	0.344	0.234	28.678	0	175.565	70.632	streak	0.476	free	65.837	65.837	68.337	76.604	yes	streak-free
14	66.158	215.750	18.761	42.000	37.438	0.000	0.438	25.582	0	22.768	91.073	streak	0.411	free	55.265	55.265	68.346	76.613	yes	streak-free
15	64.905	241.166	20.971	63.391	86.703	0.391	-0.297	27.236	0	107.441	110.810	streak	0.501	bound	63.082	63.082	68.270	76.532	yes	streak-bound
16	66.558	138.547	12.048	71.000	17.000	0.000	0.000	33.353	0	22.768	22.768	streak	0.459	free	58.327	58.327	68.306	76.571	yes	streak-free
18	58.618	142.120	12.358	54.000	69.000	0.000	0.000	24.780	0	22.768	22.768	streak	0.403	free	53.204	53.204	67.540	75.758	yes	streak-free
19	65.920	227.729	19.803	41.578	66.000	-0.422	0.000	26.400	0	82.117	22.768	streak	0.448	free	56.490	56.490	67.575	75.796	yes	streak-free
20	68.253	131.971	11.476	64.000	8.000	0.000	0.000	25.158	0	22.768	22.768	streak	0.441	free	60.612	60.612	67.724	75.954	yes	streak-free
21	68.714	161.132	14.011	35.000	8.734	0.000	-0.266	25.882	0	22.768	80.119	streak	0.449	free	66.224	66.224	67.881	76.120	yes	streak-free
22	69.349	181.907	15.818	22.000	64.359	0.000	0.359	27.553	0	22.768	81.860	streak	0.345	free	61.245	61.245	68.052	76.302	yes	streak-free
23	63.755	185.470	16.128	42.312	44.859	0.312	-0.141	28.670	0	82.789	75.047	streak	0.435	free	51.388	51.388	67.965	76.209	yes	streak-free
24	55.856	168.970	14.693	64.766	79.000	-0.234	0.000	21.266	0	74.843	23.503	streak	0.368	free	50.388	50.388	67.557	75.776	yes	streak-free
25	66.543	172.620	15.010	86.984	33.516	-0.016	0.516	27.060	0	37.947	113.841	streak	0.439	free	61.143	61.143	67.608	75.830	yes	streak-free
26	53.293	101.950	8.865	59.344	56.875	-1.656	-0.125	20.091	0	436.477	134.035	streak	0.435	free	58.184	58.184	67.146	75.340	yes	streak-free
27	64.349	236.198	20.539	91.453	17.000	0.453	0.000	26.912	0	82.789	22.768	streak	0.414	free	51.408	51.408	67.128	75.321	yes	streak-free
28	74.439	121.495	10.565	21.000	13.984	0.000	-0.016	30.412	0	22.768	25.203	streak	0.446	free	61.878	61.878	67.471	75.685	yes	streak-free
29	63.293	133.830	11.637	70.156	28.000	0.156	0.000	24.084	0	136.132	26.847	streak	0.388	free	53.327	53.327	67.406	75.616	yes	streak-free
30	60.994	217.195	18.887	19.000	35.578	0.000	-0.422	26.015	0	22.768	81.475	streak	0.405	free	53.245	53.245	67.269	75.471	yes	streak-free
31	60.468	135.273	11.763	27.438	84.016	0.438	0.016	26.103	0	130.104	29.479	streak	0.409	free	53.694	53.694	67.124	75.317	yes	streak-free
32	63.196	129.711	11.279	64.000	15.984	0.000	-0.016	32.485	0	22.768	26.636	streak	0.421	free	45.429	45.429	67.073	75.263	yes	streak-free
33	67.151	125.970	10.954	88.984	54.000	-0.016	0.000	26.472	0	23.306	22.768	streak	0.433	free	59.204	59.204	67.145	75.339	yes	streak-free
34	71.399	132.535	11.525	40.531	79.812	0.531	-0.188	28.875	0	91.073	165.224	Undefined	0.441	free	61.408	61.408	67.338	75.544	yes	Undefined-free
35	54.193	192.763	16.762	61.031	67.359	0.031	0.359	21.500	0	77.754	83.159	streak	0.396	free	56.918	56.918	67.028	75.215	yes	streak-free
37	67.303	118.711	10.323	70.000	42.000	0.000	0.000	23.545	0	22.768	22.768	streak	0.424	free	57.143	57.143	67.099	75.291	yes	streak-free
38	62.371	125.986	10.955	75.000	80.938	0.000	-0.062	23.595	0	22.768	117.105	streak	0.417	free	56.898	56.898	67.034	75.221	yes	streak-free
