ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	52.777	154.554	25.759	47.250	12.484	0.250	0.484	20.412	0	100.278	467.537	Undefined	0.529	bound	66.388	66.388	53.977	61.324	yes	Undefined-bound
2	75.803	202.536	33.756	26.000	14.016	0.000	0.016	29.333	0	22.768	26.680	streak	0.497	free	61.571	61.571	65.490	73.582	yes	streak-free
3	75.171	204.821	34.137	46.703	65.203	-0.297	0.203	30.333	0	164.302	106.545	streak	0.563	bound	78.000	78.000	69.117	77.430	yes	streak-bound
4	53.677	122.790	20.465	59.984	7.891	-0.016	-0.109	22.679	0	23.876	319.941	Undefined	0.479	free	51.469	51.469	65.557	73.654	yes	Undefined-free
5	64.836	210.223	35.037	55.734	84.000	-0.266	0.000	30.618	0	78.669	22.768	streak	0.492	free	54.408	54.408	65.653	73.755	yes	streak-free
6	69.222	215.997	36.000	46.000	89.703	0.000	-0.297	36.029	0	23.503	78.226	streak	0.537	bound	54.714	54.714	66.447	74.599	yes	streak-bound
7	60.698	192.293	32.049	17.000	42.828	0.000	-0.172	23.861	0	22.768	157.694	Undefined	0.497	free	63.020	63.020	65.797	73.909	yes	Undefined-free
8	63.229	169.614	28.269	74.234	39.000	0.234	0.000	24.245	0	121.430	26.214	streak	0.472	free	50.265	50.265	65.626	73.727	yes	streak-free
9	62.204	199.389	33.232	14.000	9.266	0.000	0.266	29.019	0	23.852	80.209	streak	0.469	free	48.347	48.347	65.379	73.465	yes	streak-free
10	67.715	205.379	34.230	72.000	15.734	0.000	-0.266	28.368	0	22.768	75.397	streak	0.447	free	59.837	59.837	65.733	73.841	yes	streak-free
11	59.151	234.544	39.091	35.672	47.000	-0.328	0.000	26.036	0	78.959	22.768	streak	0.452	free	55.143	55.143	65.244	73.321	yes	streak-free
12	68.051	124.055	20.676	52.016	52.984	0.016	-0.016	32.450	0	239.100	22.768	streak	0.528	bound	57.898	57.898	65.578	73.676	yes	streak-bound
13	59.698	143.662	23.944	29.828	82.281	-0.172	0.281	24.956	0	204.878	183.342	spot	0.527	bound	66.143	66.143	65.218	73.294	yes	spot-bound
14	55.965	126.680	21.113	42.500	74.328	-0.500	-0.672	24.409	0	91.073	462.514	Undefined	0.452	free	55.000	55.000	64.643	72.683	yes	Undefined-free
