 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	89.538	327.986	28.521	23.984	49.109	-0.016	0.109	38.031	0	23.306	67.692	streak	0.496	free	75.306	75.306	91.838	101.421	yes	streak-free
2	2	90.360	364.500	31.696	25.266	32.000	0.266	0.000	38.910	0	74.843	22.768	streak	0.479	free	73.612	73.612	92.249	101.853	yes	streak-free
3	3	79.785	454.056	39.483	26.562	17.500	-0.438	-0.500	33.955	0	83.883	122.071	streak	0.476	free	70.673	70.673	88.861	98.288	yes	streak-free
4	4	105.476	218.896	19.034	60.984	52.688	-0.016	-0.312	46.691	0	43.052	167.391	Undefined	0.577	bound	92.490	92.490	93.590	103.264	yes	Undefined-bound
5	5	90.637	238.262	20.718	16.000	51.000	0.000	0.000	37.905	0	22.768	22.768	streak	0.472	free	68.571	68.571	93.459	103.127	yes	streak-free
6	6	83.084	246.139	21.403	64.000	72.000	0.000	0.000	36.812	0	22.768	119.905	streak	0.487	free	75.265	75.265	92.113	101.711	yes	streak-free
7	7	85.895	225.950	19.648	27.000	58.031	0.000	0.031	32.768	0	22.768	97.620	streak	0.401	free	73.204	73.204	91.554	101.122	yes	streak-free
8	8	94.243	278.704	24.235	9.641	55.000	-0.359	0.000	41.628	0	95.162	22.768	streak	0.441	free	75.429	75.429	92.177	101.778	yes	streak-free
9	9	91.156	215.242	18.717	91.016	62.000	0.016	0.000	41.899	0	27.090	22.768	streak	0.424	free	71.653	71.653	92.319	101.928	yes	streak-free
10	10	100.685	224.553	19.526	36.000	65.219	0.000	1.219	47.949	0	28.651	82.446	streak	0.537	bound	86.918	86.918	93.386	103.049	yes	streak-bound
11	11	104.233	243.706	21.192	77.750	61.000	-0.250	0.000	41.628	0	76.810	22.768	streak	0.435	free	82.184	82.184	94.581	104.306	yes	streak-free
12	12	78.358	314.278	27.329	75.641	85.000	-0.359	0.000	30.207	0	83.159	22.768	streak	0.435	free	65.306	65.306	93.421	103.086	yes	streak-free
13	14	90.015	133.248	11.587	27.469	80.953	-0.531	-0.047	36.550	0	238.889	214.005	spot	0.480	free	96.000	96.000	93.884	103.573	yes	spot-free
14	15	90.452	199.598	17.356	90.000	85.000	0.000	0.000	43.451	0	22.768	22.768	streak	0.476	free	75.082	75.082	93.808	103.494	yes	streak-free
15	16	92.723	133.240	11.586	16.062	87.984	0.062	-0.016	42.565	0	314.675	28.348	streak	0.471	free	83.633	83.633	93.884	103.573	yes	streak-free
16	17	83.999	249.146	21.665	86.000	13.266	0.000	0.266	32.193	0	22.768	78.226	streak	0.395	free	70.735	70.735	93.438	103.104	yes	streak-free
17	19	97.774	159.715	13.888	76.312	36.719	0.312	-0.281	34.983	0	331.737	75.530	streak	0.454	free	88.816	88.816	93.115	102.765	yes	streak-free
18	20	91.707	246.943	21.473	43.078	28.703	0.078	-0.297	36.449	0	114.906	78.949	streak	0.415	free	80.102	80.102	93.160	102.812	yes	streak-free
19	22	92.996	184.665	16.058	14.984	12.016	-0.016	0.016	40.224	0	23.306	29.704	streak	0.488	free	76.245	76.245	92.694	102.321	yes	streak-free
20	23	84.133	244.089	21.225	55.000	27.328	0.000	0.328	29.438	0	22.768	89.534	streak	0.387	free	80.837	80.837	92.421	102.035	yes	streak-free
21	24	86.386	106.123	9.228	89.594	22.969	-0.406	-1.031	29.057	0	156.795	415.794	Undefined	0.431	free	93.388	93.388	92.266	101.871	yes	Undefined-free
22	26	90.581	222.653	19.361	48.297	22.375	0.297	0.375	27.876	0	90.089	120.871	streak	0.373	free	94.122	94.122	92.111	101.709	yes	streak-free
23	27	74.257	103.389	8.990	49.000	30.656	0.000	-1.344	35.655	0	22.768	433.680	Undefined	0.408	free	68.694	68.694	91.535	101.102	yes	Undefined-free
24	28	88.325	170.689	14.843	42.000	39.984	-1.000	-0.016	35.616	0	81.177	22.768	streak	0.428	free	76.265	76.265	91.503	101.068	yes	streak-free
25	30	100.898	169.912	14.775	82.031	18.984	0.031	-0.016	30.777	0	31.385	23.485	streak	0.435	free	86.878	86.878	90.353	99.858	yes	streak-free
26	31	81.290	229.345	19.943	10.000	25.266	0.000	0.266	36.927	0	22.768	74.254	streak	0.437	free	68.367	68.367	90.135	99.629	yes	streak-free
27	32	86.587	178.036	15.481	65.984	84.000	-0.016	0.000	34.101	0	23.127	22.768	streak	0.371	free	68.510	68.510	90.096	99.588	yes	streak-free
28	33	88.415	194.868	16.945	71.438	76.984	0.438	-0.016	38.361	0	92.518	190.244	Undefined	0.469	free	83.204	83.204	90.114	99.607	yes	Undefined-free
29	34	96.306	165.292	14.373	62.984	60.000	-0.016	0.000	41.462	0	22.768	22.768	streak	0.477	free	78.163	78.163	90.364	99.870	yes	streak-free
30	35	92.970	168.188	14.625	72.000	44.984	0.000	-0.016	43.658	0	22.768	28.196	streak	0.480	free	81.449	81.449	90.504	100.018	yes	streak-free
31	36	90.365	143.940	12.517	14.984	70.938	-0.016	-0.062	32.374	0	22.768	203.027	Undefined	0.411	free	85.796	85.796	90.564	100.081	yes	Undefined-free
32	37	82.092	77.888	6.773	43.297	52.672	0.297	-0.328	32.545	0	255.103	425.578	spot	0.439	free	87.388	87.388	90.398	99.905	no	spot-free
33	38	86.266	191.602	16.661	47.531	57.578	-0.469	-0.422	39.946	0	76.402	287.079	Undefined	0.424	free	69.224	69.224	90.349	99.855	yes	Undefined-free
34	39	78.044	175.497	15.261	84.984	79.000	-0.016	0.000	29.555	0	23.485	22.768	streak	0.376	free	65.061	65.061	90.093	99.585	yes	streak-free
35	42	92.838	126.630	11.011	17.000	60.766	0.000	-0.234	46.739	0	23.852	242.188	Undefined	0.456	free	76.612	76.612	90.219	99.717	yes	Undefined-free
36	43	89.470	202.478	17.607	35.000	39.359	0.000	0.359	33.819	0	22.768	95.016	streak	0.413	free	87.571	87.571	90.257	99.757	yes	streak-free
37	45	85.892	170.869	14.858	51.969	9.109	-0.031	0.109	36.473	0	22.768	85.896	streak	0.421	free	74.082	74.082	90.208	99.705	yes	streak-free
38	46	90.090	158.064	13.745	57.969	41.000	-0.031	0.000	34.842	0	31.132	22.768	streak	0.400	free	76.245	76.245	90.258	99.759	yes	streak-free
39	47	94.531	191.718	16.671	85.000	32.688	0.000	-0.312	36.381	0	22.768	85.215	streak	0.396	free	81.204	81.204	90.408	99.916	yes	streak-free
40	49	74.867	361.319	31.419	23.578	88.125	-0.422	0.125	33.336	0	82.033	34.120	streak	0.357	free	54.163	54.163	90.113	99.606	yes	streak-free
41	51	89.973	93.914	8.166	42.000	77.250	0.000	0.250	32.023	0	22.768	359.767	Undefined	0.418	free	79.796	79.796	90.160	99.656	no	Undefined-free
42	52	83.884	138.521	12.045	71.312	31.078	0.312	-0.922	34.220	0	141.804	90.653	streak	0.387	free	79.429	79.429	90.076	99.567	yes	streak-free
43	53	92.673	232.253	20.196	73.422	19.000	0.422	0.000	35.058	0	86.589	22.768	streak	0.426	free	78.633	78.633	90.178	99.674	yes	streak-free
44	55	83.834	156.185	13.581	36.000	14.984	0.000	-0.016	33.855	0	22.768	26.642	streak	0.381	free	72.061	72.061	90.095	99.587	yes	streak-free
45	59	81.622	171.664	14.927	74.641	70.828	-0.359	-0.172	29.946	0	83.159	226.164	Undefined	0.377	free	68.796	68.796	89.972	99.457	yes	Undefined-free
46	63	89.864	146.805	12.766	79.031	50.891	0.031	-0.109	31.956	0	24.416	116.045	streak	0.337	free	74.714	74.714	90.015	99.502	yes	streak-free
47	65	80.647	81.512	7.088	27.109	68.922	-1.891	-0.078	34.135	0	366.775	207.539	spot	0.406	free	86.367	86.367	89.879	99.359	no	spot-free
48	77	84.832	158.683	13.798	30.156	8.062	0.156	0.062	33.896	0	69.853	138.364	streak	0.415	free	78.857	78.857	89.827	99.305	yes	streak-free
49	93	82.165	122.044	10.613	51.000	80.000	0.000	0.000	32.713	0	22.768	22.768	streak	0.342	free	77.306	77.306	89.728	99.200	yes	streak-free
50	108	81.707	68.881	5.990	35.562	30.000	-1.438	0.000	35.196	0	371.096	34.624	streak	0.332	free	68.653	68.653	89.624	99.091	no	streak-free
