ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	118.350	424.511	36.914	56.984	71.000	-0.016	0.000	57.841	0	23.127	22.768	streak	0.521	bound	96.122	96.122	120.650	131.634	yes	streak-bound
2	116.288	496.946	43.213	53.234	91.000	0.234	0.000	43.381	0	75.432	22.768	streak	0.507	bound	100.673	100.673	119.619	130.556	yes	streak-bound
3	117.389	337.558	29.353	23.031	10.625	0.031	-0.375	58.360	0	27.097	217.969	Undefined	0.538	bound	102.776	102.776	119.642	130.581	yes	Undefined-bound
4	127.492	423.409	36.818	88.000	53.266	0.000	0.266	55.049	0	25.706	74.219	streak	0.462	free	108.531	108.531	122.180	133.233	yes	streak-free
5	129.552	292.094	25.399	38.000	58.000	0.000	0.000	51.409	0	22.768	22.768	streak	0.450	free	106.694	106.694	124.114	135.255	yes	streak-free
6	107.292	352.564	30.658	50.000	18.234	0.000	0.234	47.290	0	22.768	76.012	streak	0.374	free	81.612	81.612	121.694	132.725	yes	streak-free
7	105.903	336.920	29.297	56.656	82.203	-0.344	0.203	45.024	0	89.121	130.737	streak	0.450	free	105.857	105.857	119.767	130.710	yes	streak-free
8	136.534	424.066	36.875	23.000	22.594	0.000	-0.406	48.185	0	22.768	79.410	streak	0.455	free	115.306	115.306	122.150	133.202	yes	streak-free
9	118.871	374.720	32.584	22.000	43.344	0.000	0.344	55.410	0	22.768	84.418	streak	0.468	free	92.408	92.408	122.041	133.089	yes	streak-free
10	119.551	262.275	22.807	29.000	24.000	0.000	0.000	39.358	0	22.768	22.768	streak	0.381	free	101.000	101.000	122.022	133.069	yes	streak-free
11	118.952	225.644	19.621	89.922	77.859	-0.078	-0.141	49.797	0	202.340	179.901	spot	0.463	free	107.000	107.000	121.952	132.995	yes	spot-free
12	119.041	444.200	38.626	52.453	50.625	0.453	-0.375	48.702	0	87.740	89.214	streak	0.414	free	97.571	97.571	121.901	132.942	yes	streak-free
13	123.529	249.869	21.728	49.984	8.000	-0.016	0.000	44.473	0	22.768	22.768	streak	0.420	free	107.551	107.551	122.203	133.258	yes	streak-free
14	128.715	242.227	21.063	73.000	88.000	0.000	0.000	46.940	0	22.768	22.768	streak	0.403	free	110.898	110.898	122.833	133.916	yes	streak-free
15	108.222	278.642	24.230	75.000	17.141	0.000	0.141	47.351	0	28.196	131.740	streak	0.392	free	91.469	91.469	122.012	133.058	yes	streak-free
16	114.020	263.924	22.950	10.969	32.984	-0.031	-0.016	42.508	0	29.983	23.485	streak	0.404	free	103.796	103.796	121.656	132.686	yes	streak-free
17	126.521	241.119	20.967	88.000	21.000	0.000	0.000	50.868	0	22.768	22.768	streak	0.434	free	96.327	96.327	122.078	133.127	yes	streak-free
18	123.630	286.113	24.879	65.625	71.266	-0.375	0.266	53.282	0	97.578	113.501	streak	0.444	free	96.306	96.306	122.292	133.350	yes	streak-free
21	109.932	224.914	19.558	29.766	50.234	-0.234	0.234	53.852	0	209.076	70.632	streak	0.454	free	97.673	97.673	121.930	132.972	yes	streak-free
22	131.566	289.435	25.168	34.281	73.000	0.281	0.000	46.174	0	76.483	31.188	streak	0.400	free	117.204	117.204	122.498	133.566	yes	streak-free
23	116.467	236.337	20.551	30.000	44.000	0.000	0.000	61.795	0	22.768	22.768	streak	0.453	free	100.061	100.061	122.329	133.389	yes	streak-free
24	113.560	312.828	27.202	51.359	84.000	0.359	0.000	47.096	0	89.489	27.905	streak	0.410	free	92.020	92.020	122.047	133.095	yes	streak-free
25	111.079	400.261	34.805	65.516	31.141	-0.484	0.141	51.179	0	99.439	77.691	streak	0.442	free	110.776	110.776	121.686	132.717	yes	streak-free
26	134.210	219.279	19.068	12.906	45.016	-0.094	0.016	50.172	0	196.875	29.524	streak	0.452	free	111.367	111.367	122.279	133.337	yes	streak-free
27	139.938	253.050	22.004	20.562	28.219	-0.438	0.219	54.006	0	91.073	157.522	Undefined	0.450	free	124.429	124.429	123.047	134.139	yes	Undefined-free
28	121.023	229.210	19.931	26.000	85.984	0.000	-0.016	45.906	0	26.636	22.768	streak	0.378	free	102.816	102.816	123.057	134.150	yes	streak-free
