 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	171.945	757.358	65.857	14.000	42.359	0.000	0.359	60.633	0	22.768	83.814	streak	0.586	bound	162.633	162.633	174.245	187.445	yes	streak-bound
2	2	144.586	490.082	42.616	44.000	73.203	0.000	0.203	57.106	0	22.768	86.139	streak	0.451	free	105.204	105.204	160.565	173.237	yes	streak-free
3	3	143.017	553.702	48.148	45.266	89.000	0.266	0.000	59.193	0	76.050	22.768	streak	0.473	free	119.347	119.347	155.483	167.952	yes	streak-free
4	7	148.669	327.762	28.501	86.422	90.984	0.422	-0.016	64.111	0	183.032	23.485	streak	0.459	free	124.306	124.306	144.766	156.798	yes	streak-free
5	8	152.072	396.939	34.516	49.234	52.000	0.234	0.000	56.987	0	71.753	22.768	streak	0.450	free	122.918	122.918	146.138	158.227	yes	streak-free
6	9	145.766	475.276	41.328	42.750	80.234	-0.250	0.234	64.855	0	83.772	81.080	streak	0.506	bound	132.592	132.592	146.379	158.478	yes	streak-bound
7	10	145.373	386.057	33.570	85.000	42.156	0.000	0.156	63.959	0	22.768	78.278	streak	0.451	free	127.755	127.755	146.523	158.628	yes	streak-free
8	11	159.535	393.727	34.237	37.250	55.000	0.250	0.000	67.176	0	73.855	25.853	streak	0.472	free	140.224	140.224	148.054	160.222	yes	streak-free
9	12	140.772	455.045	39.569	79.000	33.688	0.000	-0.312	59.123	0	28.651	84.588	streak	0.456	free	131.673	131.673	147.601	159.751	yes	streak-free
10	13	148.041	351.934	30.603	28.000	37.984	0.000	-0.016	58.839	0	28.651	23.485	streak	0.422	free	116.143	116.143	147.830	159.988	yes	streak-free
11	14	167.667	326.662	28.405	59.000	72.000	0.000	0.000	75.002	0	25.865	22.768	streak	0.512	bound	164.469	164.469	149.533	161.761	yes	streak-bound
12	16	146.914	492.454	42.822	40.000	46.594	0.000	-0.406	64.943	0	22.768	84.125	streak	0.477	free	109.796	109.796	149.933	162.178	yes	streak-free
13	18	157.353	500.511	43.523	9.156	34.625	0.156	-0.375	64.137	0	82.298	80.560	streak	0.455	free	134.429	134.429	150.541	162.810	yes	streak-free
14	19	161.868	293.384	25.512	49.000	11.000	0.000	0.000	63.248	0	22.768	22.768	streak	0.468	free	131.490	131.490	151.342	163.644	yes	streak-free
15	20	149.073	288.476	25.085	14.984	90.500	-0.016	0.500	53.753	0	23.858	154.171	Undefined	0.439	free	137.673	137.673	151.344	163.646	yes	Undefined-free
