 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	171.945	757.358	126.226	14.000	42.359	0.000	0.359	60.633	0	22.768	83.814	streak	0.586	bound	162.633	162.633	173.145	186.304	yes	streak-bound
2	2	144.586	490.082	81.680	44.000	73.203	0.000	0.203	57.106	0	22.768	86.139	streak	0.451	free	105.204	105.204	159.465	172.093	yes	streak-free
3	3	143.017	553.702	92.284	45.266	89.000	0.266	0.000	59.193	0	76.050	22.768	streak	0.473	free	119.347	119.347	154.383	166.808	yes	streak-free
4	7	148.669	327.762	54.627	86.422	90.984	0.422	-0.016	64.111	0	183.032	23.485	streak	0.459	free	124.306	124.306	143.666	155.652	yes	streak-free
5	8	152.072	396.939	66.157	49.234	52.000	0.234	0.000	56.987	0	71.753	22.768	streak	0.450	free	122.918	122.918	145.038	157.082	yes	streak-free
6	9	145.766	475.276	79.213	42.750	80.234	-0.250	0.234	64.855	0	83.772	81.080	streak	0.506	bound	132.592	132.592	145.279	157.333	yes	streak-bound
7	10	145.373	386.057	64.343	85.000	42.156	0.000	0.156	63.959	0	22.768	78.278	streak	0.451	free	127.755	127.755	145.423	157.482	yes	streak-free
8	11	159.535	393.727	65.621	37.250	55.000	0.250	0.000	67.176	0	73.855	25.853	streak	0.472	free	140.224	140.224	146.954	159.077	yes	streak-free
9	12	140.772	455.045	75.841	79.000	33.688	0.000	-0.312	59.123	0	28.651	84.588	streak	0.456	free	131.673	131.673	146.501	158.605	yes	streak-free
10	13	148.041	351.934	58.656	28.000	37.984	0.000	-0.016	58.839	0	28.651	23.485	streak	0.422	free	116.143	116.143	146.730	158.843	yes	streak-free
11	14	167.667	326.662	54.444	59.000	72.000	0.000	0.000	75.002	0	25.865	22.768	streak	0.512	bound	164.469	164.469	148.433	160.616	yes	streak-bound
12	16	146.914	492.454	82.076	40.000	46.594	0.000	-0.406	64.943	0	22.768	84.125	streak	0.477	free	109.796	109.796	148.833	161.033	yes	streak-free
13	18	157.353	500.511	83.419	9.156	34.625	0.156	-0.375	64.137	0	82.298	80.560	streak	0.455	free	134.429	134.429	149.441	161.665	yes	streak-free
14	19	161.868	293.384	48.897	49.000	11.000	0.000	0.000	63.248	0	22.768	22.768	streak	0.468	free	131.490	131.490	150.242	162.499	yes	streak-free
15	20	149.073	288.476	48.079	14.984	90.500	-0.016	0.500	53.753	0	23.858	154.171	Undefined	0.439	free	137.673	137.673	150.244	162.501	yes	Undefined-free
16	21	159.574	418.914	69.819	13.422	52.000	0.422	0.000	61.766	0	97.144	22.768	streak	0.466	free	140.918	140.918	150.798	163.078	yes	streak-free
17	23	149.604	296.557	49.426	8.000	65.000	0.000	0.000	68.055	0	22.768	117.339	streak	0.463	free	141.816	141.816	149.624	161.856	yes	streak-free
18	24	165.915	264.506	44.084	55.000	66.000	0.000	0.000	71.919	0	22.768	22.768	streak	0.468	free	128.837	128.837	150.419	162.684	yes	streak-free
19	25	147.693	218.527	36.421	65.000	14.297	0.000	0.297	58.285	0	22.768	285.507	Undefined	0.486	free	145.796	145.796	150.353	162.614	yes	Undefined-free
