ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	67.867	257.151	42.858	7.734	71.719	-0.266	-0.281	29.510	0	94.628	82.622	streak	0.529	bound	59.837	59.837	69.067	77.378	yes	streak-bound
2	72.846	162.143	27.024	18.000	8.000	0.000	0.000	32.134	0	22.768	22.768	streak	0.526	bound	63.755	63.755	71.557	80.016	yes	streak-bound
3	66.417	167.469	27.911	22.000	89.000	0.000	0.000	25.628	0	22.768	22.768	streak	0.445	free	61.163	61.163	70.243	78.624	yes	streak-free
4	68.104	190.998	31.833	74.219	76.766	0.219	-0.234	27.705	0	86.269	87.663	streak	0.497	free	60.449	60.449	70.008	78.376	yes	streak-free
5	64.948	168.428	28.071	86.016	43.031	0.016	0.031	27.395	0	23.485	28.777	streak	0.487	free	57.306	57.306	69.236	77.557	yes	streak-free
6	60.860	203.770	33.962	42.312	62.000	0.312	0.000	23.977	0	95.503	24.672	streak	0.433	free	52.000	52.000	68.040	76.289	yes	streak-free
7	62.794	137.211	22.869	78.422	27.000	0.422	0.000	26.473	0	172.705	26.623	streak	0.466	free	52.571	52.571	67.462	75.676	yes	streak-free
8	58.021	105.227	17.538	77.359	49.219	0.359	0.219	27.069	0	279.345	180.178	spot	0.514	bound	59.347	59.347	66.432	74.583	yes	spot-bound
9	64.324	103.510	17.252	66.969	54.031	-0.031	0.031	29.176	0	258.398	32.427	streak	0.438	free	50.653	50.653	66.331	74.476	yes	streak-free
10	62.429	148.560	24.760	31.000	84.984	0.000	-0.016	24.423	0	25.368	27.700	streak	0.404	free	52.041	52.041	66.061	74.189	yes	streak-free
11	67.441	178.650	29.775	86.000	68.266	0.000	0.266	27.860	0	22.768	73.674	streak	0.469	free	58.449	58.449	66.296	74.438	yes	streak-free
