 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	115.250	483.742	80.624	30.000	60.250	0.000	0.250	54.853	0	22.768	78.427	streak	0.523	bound	106.082	106.082	116.450	127.241	yes	streak-bound
2	2	119.063	285.967	47.661	85.500	50.812	-0.500	-0.188	46.996	0	242.173	80.508	streak	0.492	free	109.918	109.918	118.357	129.236	yes	streak-free
3	3	122.557	339.524	56.587	28.984	39.000	-0.016	0.000	46.108	0	23.127	22.768	streak	0.418	free	101.857	101.857	120.157	131.118	yes	streak-free
4	4	139.783	320.572	53.429	51.000	17.984	0.000	-0.016	66.963	0	22.768	25.853	streak	0.606	bound	124.959	124.959	125.363	136.560	yes	streak-bound
5	5	124.769	332.236	55.373	66.000	56.000	0.000	0.000	51.447	0	22.768	26.623	streak	0.446	free	101.694	101.694	125.484	136.686	yes	streak-free
6	6	125.139	467.684	77.947	82.359	81.000	0.359	0.000	45.002	0	78.669	22.768	streak	0.461	free	107.939	107.939	125.627	136.835	yes	streak-free
7	7	107.246	345.455	57.576	82.156	21.156	0.156	0.156	39.729	0	110.109	79.207	streak	0.413	free	102.755	102.755	123.172	134.271	yes	streak-free
8	8	131.226	278.595	46.432	59.016	34.000	0.016	0.000	48.724	0	27.039	22.768	streak	0.469	free	117.735	117.735	124.329	135.479	yes	streak-free
9	9	116.558	290.095	48.349	72.000	11.984	0.000	-0.016	48.666	0	26.636	23.127	streak	0.439	free	99.184	99.184	123.599	134.716	yes	streak-free
10	11	136.794	200.468	33.411	88.484	36.984	-0.516	-0.016	54.830	0	269.754	23.306	streak	0.431	free	134.510	134.510	125.038	136.220	yes	streak-free
11	12	127.650	270.232	45.039	18.000	79.000	0.000	0.000	51.486	0	27.059	22.768	streak	0.457	free	106.388	106.388	125.385	136.582	yes	streak-free
12	13	131.693	274.196	45.699	24.000	26.094	0.000	0.094	62.637	0	22.768	123.947	streak	0.513	bound	98.000	98.000	126.011	137.236	yes	streak-bound
13	14	108.992	157.791	26.298	31.000	32.375	0.000	0.375	46.058	0	162.041	368.214	Undefined	0.450	free	128.306	128.306	124.794	135.965	yes	Undefined-free
14	16	128.125	321.528	53.588	79.000	56.719	0.000	-0.281	48.397	0	22.768	80.169	streak	0.446	free	115.061	115.061	125.117	136.303	yes	streak-free
15	18	129.175	261.307	43.551	18.000	36.031	0.000	0.031	61.213	0	22.768	30.401	streak	0.413	free	94.918	94.918	124.326	135.476	yes	streak-free
16	19	119.730	266.534	44.422	41.000	43.031	0.000	0.031	49.557	0	22.768	31.190	streak	0.408	free	94.857	94.857	124.127	135.268	yes	streak-free
17	20	137.008	294.811	49.135	42.703	62.000	-0.297	0.000	58.467	0	79.833	31.177	streak	0.511	bound	116.429	116.429	124.909	136.085	yes	streak-bound
18	21	128.693	131.071	21.845	72.078	45.781	0.078	-0.219	57.698	0	211.197	352.347	spot	0.552	bound	127.020	127.020	125.171	136.359	no	spot-bound
19	22	114.970	198.280	33.047	53.391	8.969	0.391	-0.031	50.822	0	199.951	31.433	streak	0.404	free	87.102	87.102	124.721	135.889	yes	streak-free
