, ,Above threshold?,Chi^2,Correlation Coefficient,Good?,ROI,Shape-Binding,a,date,free or bound?,iFirst,iSecond,pthresh,realthreshold,stoichiometry,streak or spot?,wx,wy,x0,xpos,y0,ypos,z
31,,yes,6.71,0.23199999999999998,0,39,streak-free,65.34,20190127,free,29.857,29.857,33.794000000000004,39.607,5.682,streak,91.79,22.768,-0.484,46.516000000000005,0.0,33.0,32.371
32,,yes,6.9510000000000005,0.254,0,40,streak-free,44.70399999999999,20190127,free,28.939,28.939,33.814,39.629,3.887,streak,96.277,23.13,0.21899999999999997,63.218999999999994,-0.031,26.969,32.215
33,,yes,7.282,0.245,0,41,streak-free,59.106,20190127,free,29.184,29.184,33.825,39.641,5.14,streak,91.073,22.768,0.43799999999999994,24.438000000000002,0.0,59.0,31.929000000000002
34,,no,7.138,0.25,0,42,spot-free,30.774,20190127,free,32.041,32.041,33.878,39.698,2.676,spot,189.502,136.609,-0.172,48.828,0.5,7.5,33.538000000000004
35,,yes,7.899,0.262,0,45,streak-free,44.669,20190127,free,32.082,32.082,33.949,39.775,3.884,streak,97.01899999999999,90.133,0.141,25.141,0.375,9.375,34.345
36,,yes,7.582000000000001,0.251,0,46,streak-free,56.742,20190127,free,26.612,26.612,33.93,39.755,4.934,streak,162.24,78.226,-0.32799999999999996,25.671999999999997,0.469,26.469,30.88
37,,no,5.178,0.17800000000000002,0,48,streak-free,36.085,20190127,free,31.265,31.265,33.982,39.812,3.138,streak,93.675,32.525999999999996,1.141,78.141,0.0,63.0,33.791
38,,no,6.912999999999999,0.22,0,51,Undefined-free,35.335,20190127,free,35.673,35.673,34.07,39.907,3.073,Undefined,23.485,151.78799999999998,-0.016,14.984000000000002,-0.156,88.844,35.369
39,,no,7.66,0.299,0,52,streak-free,28.63,20190127,free,30.796,30.796,34.098,39.937,2.49,streak,136.609,113.84100000000001,-0.484,20.516,0.141,77.141,32.96
40,,no,7.853,0.248,0,53,streak-free,36.379,20190127,free,26.531,26.531,34.094,39.933,3.1630000000000003,streak,22.768,30.697,0.0,30.0,0.0,59.0,31.614
41,,no,7.145,0.276,0,54,Undefined-free,38.266999999999996,20190127,free,31.265,31.265,34.121,39.963,3.3280000000000003,Undefined,84.34700000000001,189.94,0.312,31.311999999999998,0.062,90.06200000000001,33.039
42,,no,6.773,0.21,0,58,streak-free,36.599000000000004,20190127,free,30.694000000000003,30.694000000000003,34.048,39.883,3.1830000000000003,streak,22.768,22.768,0.0,91.0,0.0,8.0,31.392
43,,yes,6.558,0.191,0,60,streak-free,44.82,20190127,free,27.918000000000003,27.918000000000003,34.022,39.855,3.897,streak,117.15899999999999,85.95200000000001,-0.109,28.891,0.281,17.281,30.49
44,,no,7.129,0.217,0,62,spot-free,12.335,20190127,free,34.327,34.327,34.032,39.865,1.073,spot,281.493,399.01300000000003,0.391,41.391000000000005,0.141,83.141,32.621
45,,yes,7.16,0.256,0,76,streak-free,49.038999999999994,20190127,free,28.612,28.612,33.864000000000004,39.684,4.263999999999999,streak,115.648,139.161,-0.42200000000000004,62.578,0.375,91.375,30.281
46,,no,6.303999999999999,0.21899999999999997,0,77,Undefined-free,23.576999999999998,20190127,free,31.857,31.857,33.889,39.71,2.05,Undefined,45.536,245.33900000000003,-0.031,69.969,0.047,46.047,32.908
47,,no,5.959,0.217,0,93,streak-free,23.987,20190127,free,28.673000000000002,28.673000000000002,33.458,39.243,2.086,streak,284.082,22.768,-0.43799999999999994,62.562,0.0,49.0,30.041
48,,no,5.711,0.225,0,94,streak-free,15.749,20190127,free,33.429,33.429,33.494,39.282,1.369,streak,469.76800000000003,24.285999999999998,0.625,73.625,0.0,42.0,33.269
49,,yes,6.269,0.23399999999999999,0,117,streak-free,44.981,20190127,free,26.98,26.98,33.495,39.282,3.911,streak,98.23100000000001,86.33,-0.516,78.484,-0.297,69.703,31.238000000000003
50,,no,6.6370000000000005,0.228,0,124,Undefined-free,15.276,20190127,free,27.796,27.796,33.424,39.205999999999996,1.328,Undefined,481.991,227.68200000000002,-1.625,79.375,0.344,78.344,26.885
0,,yes,7.045,0.271,0,1,streak-free,58.098,20190127,free,29.653000000000002,29.653000000000002,35.133,41.06,5.052,streak,23.503,30.218000000000004,0.0,72.0,0.0,82.0,32.833
1,,yes,8.465,0.324,0,2,streak-free,54.465,20190127,free,31.633000000000003,31.633000000000003,36.5,42.542,4.736000000000001,streak,24.214000000000002,97.598,0.0,78.0,0.141,18.141,35.568000000000005
2,,no,7.961,0.29600000000000004,0,3,Undefined-free,22.285,20190127,free,33.592,33.592,35.253,41.19,1.9380000000000002,Undefined,238.403,461.881,0.312,85.31200000000001,-0.469,22.531,30.458000000000002
3,,no,6.87,0.271,0,4,streak-free,34.154,20190127,free,34.429,34.429,34.844,40.747,2.97,streak,379.86300000000006,134.812,-0.062,53.938,-0.5,60.5,31.319000000000003
4,,yes,7.787999999999999,0.275,0,5,streak-free,63.972,20190127,free,28.918000000000003,28.918000000000003,34.278,40.132,5.563,streak,97.38799999999999,144.382,0.281,16.281,0.43799999999999994,63.438,29.711
5,,yes,6.997999999999999,0.23,0,6,streak-free,56.913999999999994,20190127,free,28.531,28.531,34.375,40.238,4.949,streak,79.461,80.185,-0.172,35.828,-0.21899999999999997,85.781,32.56
6,,no,7.733,0.29600000000000004,0,7,spot-free,36.96,20190127,free,33.184,33.184,34.375,40.238,3.214,spot,184.46200000000002,221.375,0.281,57.281000000000006,0.0,35.0,32.079
7,,no,8.243,0.29,0,8,spot-free,34.589,20190127,free,29.98,29.98,34.179,40.025,3.008,spot,146.43,251.14700000000002,-0.25,76.75,-0.047,87.95299999999999,30.500999999999998
8,,yes,9.218,0.29,0,9,streak-free,46.735,20190127,free,28.531,28.531,34.327,40.186,4.064,streak,22.768,22.768,0.0,30.0,0.0,48.0,33.211999999999996
9,,yes,7.781000000000001,0.218,0,10,streak-free,56.897,20190127,free,29.02,29.02,34.507,40.382,4.948,streak,74.913,102.708,-0.281,39.719,0.25,37.25,33.833
10,,yes,8.038,0.272,0,11,streak-free,61.028999999999996,20190127,free,31.449,31.449,34.583,40.464,5.307,streak,88.29,86.889,-0.21899999999999997,47.781000000000006,-0.32799999999999996,28.671999999999997,33.04
11,,yes,6.856,0.24100000000000002,0,12,streak-free,46.367,20190127,free,30.592,30.592,34.724000000000004,40.616,4.032,streak,26.623,22.768,-0.016,54.983999999999995,0.0,46.0,33.969
12,,yes,7.016,0.231,0,13,streak-free,53.755,20190127,free,31.653000000000002,31.653000000000002,34.958,40.87,4.6739999999999995,streak,86.75299999999999,22.768,-0.281,87.719,0.0,87.0,35.47
13,,yes,7.865,0.26,0,15,streak-free,48.693999999999996,20190127,free,28.939,28.939,34.475,40.346,4.234,streak,370.954,81.49600000000001,-0.5,74.5,-0.484,47.516000000000005,30.436
14,,yes,5.876,0.207,0,16,spot-free,43.586000000000006,20190127,free,32.367,32.367,34.43,40.298,3.79,spot,184.485,113.415,-0.375,18.625,0.32799999999999996,41.328,31.459
15,,yes,7.608,0.249,0,18,streak-free,43.437,20190127,free,30.184,30.184,34.53,40.406,3.7769999999999997,streak,22.768,28.651,0.0,37.0,-0.016,61.983999999999995,33.826
16,,yes,9.044,0.278,0,19,streak-free,70.875,20190127,free,30.816,30.816,34.614000000000004,40.497,6.162999999999999,streak,90.089,96.995,0.156,9.156,-0.5,63.5,33.74
17,,no,8.83,0.29600000000000004,0,20,streak-free,33.786,20190127,free,28.776,28.776,34.597,40.479,2.938,streak,281.046,29.721999999999998,-0.172,23.828000000000003,-0.016,53.983999999999995,32.005
18,,yes,5.813,0.222,0,21,spot-free,42.968999999999994,20190127,free,29.101999999999997,29.101999999999997,34.492,40.365,3.736,spot,186.035,148.725,0.25,70.25,-0.43799999999999994,25.561999999999998,30.191
19,,no,9.002,0.295,0,22,Undefined-free,29.404,20190127,free,29.878,29.878,34.494,40.367,2.557,Undefined,23.305999999999997,382.865,-0.016,77.984,0.375,27.375,32.23
20,,no,7.4239999999999995,0.222,0,23,spot-free,34.939,20190127,free,29.592,29.592,34.481,40.353,3.0380000000000003,spot,161.734,164.19299999999998,0.375,81.375,-0.172,68.828,31.909000000000002
21,,yes,7.449,0.242,0,24,streak-free,42.881,20190127,free,27.714000000000002,27.714000000000002,34.478,40.35,3.7289999999999996,streak,22.768,23.503,0.0,13.0,0.0,74.0,32.115
22,,yes,8.184,0.308,0,27,streak-free,82.469,20190127,free,30.122,30.122,34.42,40.287,7.171,streak,91.79,136.23,0.516,73.516,-0.094,40.906,30.78
23,,yes,7.234,0.237,0,29,streak-free,45.567,20190127,free,31.305999999999997,31.305999999999997,34.458,40.329,3.9619999999999997,streak,22.768,76.97800000000001,0.0,47.0,0.25,78.25,33.086
24,,yes,7.662000000000001,0.218,0,30,streak-free,52.958,20190127,free,31.570999999999998,31.570999999999998,34.385,40.249,4.605,streak,170.247,98.198,-0.344,50.656000000000006,0.469,90.469,30.241999999999997
25,,no,5.23,0.247,0,33,spot-free,22.232,20190127,free,32.02,32.02,34.344,40.205,1.933,spot,251.263,340.335,-0.625,33.375,0.312,32.312,29.71
26,,no,5.515,0.18899999999999997,0,34,streak-free,38.991,20190127,free,29.878,29.878,34.422,40.289,3.391,streak,22.768,25.781999999999996,0.0,47.0,0.016,53.016000000000005,34.286
27,,no,7.205,0.21100000000000002,0,35,streak-free,39.658,20190127,free,30.51,30.51,34.485,40.358000000000004,3.449,streak,33.231,22.768,-0.031,60.968999999999994,0.0,14.0,34.038000000000004
28,,no,9.197000000000001,0.326,0,38,Undefined-free,32.609,20190127,free,30.49,30.49,34.455,40.325,2.8360000000000003,Undefined,130.678,248.658,0.469,60.468999999999994,-0.32799999999999996,87.67200000000001,31.232
29,,yes,6.932,0.233,0,39,streak-free,43.382,20190127,free,31.305999999999997,31.305999999999997,34.475,40.347,3.772,streak,22.768,70.632,0.0,65.0,-0.172,39.828,32.806
30,,no,7.428,0.24,0,41,Undefined-free,30.177,20190127,free,31.224,31.224,34.463,40.333,2.6239999999999997,Undefined,30.47,277.07599999999996,0.031,25.031,-0.203,64.797,31.768
31,,yes,7.778,0.247,0,42,streak-free,44.351000000000006,20190127,free,30.163,30.163,34.485,40.357,3.8569999999999998,streak,91.602,22.768,-0.21899999999999997,30.781,-0.031,67.969,32.923
32,,no,7.207000000000001,0.252,0,46,Undefined-free,34.726,20190127,free,34.551,34.551,34.574,40.454,3.02,Undefined,77.664,223.15400000000002,0.23399999999999999,40.234,-0.281,45.718999999999994,35.288000000000004
