, ,Above threshold?,Chi^2,Correlation Coefficient,Corresponding ROI1,Corresponding ROI2,Good?,N1,N10,N2,N3,N4,N5,N6,N7,N8,N9,RK 1,RK 10,RK 2,RK 3,RK 4,RK 5,RK 6,RK 7,RK 8,RK 9,ROI,ROI1,ROI2,Shape-Binding,a,date,free or bound?,iFirst,iSecond,pthresh,realthreshold,run1,run2,spot1,spot2,stoichiometry,streak or spot?,streak1,streak2,wx,wy,x0,xpos,xpos1,xpos2,y0,ypos,ypos1,ypos2,z
0,1,yes,4.087,1.0190000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,streak-bound,132.599,20190127,bound,17.041,17.041,4.132,6.165,,,,,22.1,streak,,,402.68300000000005,105.72200000000001,-0.297,25.703000000000003,,,0.344,39.344,,,2.714
0,1,yes,9.029,1.008,,,0.0,,,,,,,,,,,,,,,,,,,,,7.0,,,streak-bound,320.249,20190127,bound,39.449,39.449,16.737000000000002,20.828000000000003,,,,,53.375,streak,,,484.375,86.736,-0.016,81.984,,,0.312,29.311999999999998,,,5.968
1,2,yes,2.4619999999999997,1.0490000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,38.0,,,streak-bound,26.998,20190127,bound,2.245,2.245,11.962,15.421,,,,,4.5,streak,,,274.556,22.768,-0.281,8.719,,,0.0,83.0,,,1.6059999999999999
0,1,yes,7.926,1.037,,,0.0,,,,,,,,,,,,,,,,,,,,,39.0,,,streak-bound,39.366,20190127,bound,3.306,3.306,7.055,9.711,,,,,6.561,streak,,,321.19599999999997,22.768,0.469,24.469,,,0.0,16.0,,,0.72
0,1,yes,34.662,1.012,,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,Undefined-bound,287.033,20190127,bound,110.694,110.694,36.656,42.71,,,,,47.839,Undefined,,,464.06199999999995,240.89700000000002,-0.078,29.921999999999997,,,0.0,86.0,,,35.455999999999996
1,2,yes,15.565999999999999,1.013,,,0.0,,,,,,,,,,,,,,,,,,,,,4.0,,,Undefined-bound,219.15099999999998,20190127,bound,52.98,52.98,15.912,19.901,,,,,36.525,Undefined,,,383.496,172.82299999999998,-0.031,59.968999999999994,,,0.078,47.078,,,14.332
2,3,yes,24.995,1.012,,,0.0,,,,,,,,,,,,,,,,,,,,,5.0,,,spot-bound,145.129,20190127,bound,40.755,40.755,14.05,17.798,,,,,24.188000000000002,spot,,,411.98800000000006,323.575,0.359,87.359,,,0.047,89.04700000000001,,,5.404
3,4,yes,17.865,1.011,,,0.0,,,,,,,,,,,,,,,,,,,,,6.0,,,streak-bound,161.547,20190127,bound,25.122,25.122,14.16,17.923,,,,,26.925,streak,,,437.48,101.546,0.469,67.469,,,0.078,41.078,,,13.511
4,5,yes,9.988999999999999,1.011,,,0.0,,,,,,,,,,,,,,,,,,,,,8.0,,,streak-bound,142.371,20190127,bound,15.449000000000002,15.449000000000002,12.437999999999999,15.965,,,,,23.728,streak,,,425.171,22.768,-0.109,56.891000000000005,,,-0.016,57.983999999999995,,,4.775
0,1,yes,7.266,1.01,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,Undefined-bound,284.461,20190127,bound,56.468999999999994,56.468999999999994,5.47,7.809,,,,,47.41,Undefined,,,412.5,158.203,-0.344,76.656,,,-0.109,29.891,,,5.439
0,1,yes,4.563,1.0090000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,8.0,,,streak-bound,260.986,20190127,bound,35.611999999999995,35.611999999999995,6.612,9.183,,,,,43.498000000000005,streak,,,476.80699999999996,107.4,-0.031,9.969,,,0.344,91.344,,,1.227
1,2,yes,8.411,1.0090000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,10.0,,,streak-bound,313.63599999999997,20190127,bound,44.06100000000001,44.06100000000001,6.728,9.322000000000001,,,,,52.273,streak,,,454.586,105.68,-0.312,51.688,,,-0.406,52.593999999999994,,,5.879
2,3,yes,1.12,1.063,,,1.0,,,,,,,,,,,,,,,,,,,,,15.0,,,streak-bound,28.826999999999998,20190127,bound,4.306,4.306,5.676,8.059,,,,,4.803999999999999,streak,,,479.56300000000005,125.961,-0.5,68.5,,,-0.203,89.79700000000001,,,0.267
0,1,yes,12.667,1.01,,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,Undefined-bound,270.255,20190127,bound,58.49,58.49,10.977,14.29,,,,,45.043,Undefined,,,455.09,165.696,0.297,48.297,,,0.297,58.297,,,9.777000000000001
1,2,yes,15.321,1.026,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,spot-bound,201.658,20190127,bound,84.469,84.469,6.895,9.521,,,,,33.61,spot,,,435.059,390.67400000000004,-0.031,85.969,,,-0.297,55.703,,,1.6130000000000002
0,1,yes,19.974,1.018,,,0.0,,,,,,,,,,,,,,,,,,,,,7.0,,,streak-bound,157.969,20190127,bound,35.388000000000005,35.388000000000005,7.25,9.943,,,,,26.328000000000003,streak,,,394.939,142.754,-0.156,66.844,,,-0.21899999999999997,87.781,,,18.777
1,2,no,2.765,1.209,,,0.0,,,,,,,,,,,,,,,,,,,,,36.0,,,spot-bound,8.877,20190127,bound,3.429,3.429,6.379,8.904,,,,,1.48,spot,,,463.184,406.853,-0.188,36.812,,,-0.7809999999999999,36.219,,,0.8220000000000001
0,1,yes,44.449,1.008,,,0.0,,,,,,,,,,,,,,,,,,,,,5.0,,,streak-bound,326.381,20190127,bound,45.367,45.367,17.674,21.878,,,,,54.397,streak,,,352.958,69.71300000000001,-0.42200000000000004,52.578,,,-0.25,47.75,,,42.717
1,2,yes,48.461999999999996,1.011,,,0.0,,,,,,,,,,,,,,,,,,,,,8.0,,,spot-bound,233.05,20190127,bound,92.08200000000001,92.08200000000001,15.043,18.922,,,,,38.842,spot,,,415.621,465.459,-0.375,82.625,,,-0.45299999999999996,76.547,,,6.645
2,3,yes,1.403,1.026,,,1.0,,,,,,,,,,,,,,,,,,,,,68.0,,,streak-bound,22.515,20190127,bound,2.898,2.898,11.818,15.255999999999998,,,,,3.752,streak,,,403.07599999999996,148.828,0.203,11.203,,,0.32799999999999996,80.328,,,0.013999999999999999
3,4,yes,0.14400000000000002,0.9940000000000001,,,1.0,,,,,,,,,,,,,,,,,,,,,85.0,,,streak-bound,21.737,20190127,bound,1.6119999999999999,1.6119999999999999,10.935,14.242,,,,,3.623,streak,,,405.499,60.023,-0.141,15.859000000000002,,,-0.203,28.796999999999997,,,0.024
4,5,no,0.44799999999999995,0.8909999999999999,,,1.0,,,,,,,,,,,,,,,,,,,,,109.0,,,streak-bound,10.823,20190127,bound,0.898,0.898,10.202,13.397,,,,,1.804,streak,,,352.47900000000004,22.768,-0.109,82.891,,,-0.016,63.983999999999995,,,0.209
0,1,yes,40.641999999999996,1.0090000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,streak-bound,326.77299999999997,20190127,bound,86.061,86.061,48.288999999999994,55.238,,,,,54.461999999999996,streak,,,427.088,142.06,-0.391,25.609,,,-0.25,34.75,,,47.089
