, ,Above threshold?,Chi^2,Correlation Coefficient,"Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010070/, redtitle: 20190127010070.bin.counts_ch1.stack.tif","Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010071/, redtitle: 20190127010071.bin.counts_ch1.stack.tif","Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010080/, redtitle: 20190127010080.bin.counts_ch1.stack.tif",Good?,ROI,Shape-Binding,a,date,free or bound?,iFirst,iSecond,pthresh,realthreshold,stoichiometry,streak or spot?,wx,wy,x0,xpos,y0,ypos,z
2,,yes,1.334,1.018,,,,1.0,3.0,spot-bound,313.697,20190127.0,bound,109.85700000000001,109.85700000000001,4.071000000000001,6.087999999999999,27.278000000000002,spot,335.653,345.45099999999996,-0.21899999999999997,71.781,0.062,90.06200000000001,2.125
0,,yes,1.276,1.0170000000000001,,,,1.0,1.0,spot-bound,315.82099999999997,20190127.0,bound,110.551,110.551,4.237,6.295,27.463,spot,346.884,340.13699999999994,0.266,75.266,0.484,34.484,1.9369999999999998
1,,yes,1.0590000000000002,1.02,,,,1.0,2.0,spot-bound,296.837,20190127.0,bound,107.91799999999999,107.91799999999999,4.374,6.465,25.811999999999998,spot,348.375,345.285,-0.047,45.953,-0.031,79.969,2.21
2,,yes,1.268,1.018,,,,1.0,3.0,spot-bound,305.1,20190127.0,bound,107.32700000000001,107.32700000000001,4.5760000000000005,6.715,26.53,spot,339.89,342.773,0.45299999999999996,11.453,-0.047,8.953,2.68
3,,yes,1.4080000000000001,1.0170000000000001,,,,1.0,4.0,spot-bound,307.998,20190127.0,bound,106.22399999999999,106.22399999999999,4.416,6.517,26.781999999999996,spot,341.022,340.096,0.5,16.5,-0.45299999999999996,20.546999999999997,1.636
4,,yes,1.446,1.0190000000000001,,,,1.0,5.0,spot-bound,304.52,20190127.0,bound,109.265,109.265,4.605,6.75,26.48,spot,342.60900000000004,342.773,0.062,81.062,0.078,78.078,3.0589999999999997
0,,yes,1.0759999999999998,1.016,,,,1.0,1.0,spot-bound,322.82099999999997,20190127.0,bound,110.714,110.714,4.378,6.47,28.070999999999998,spot,338.459,337.255,0.281,10.280999999999999,0.21899999999999997,49.218999999999994,2.0780000000000003
1,,yes,1.328,1.018,,,,1.0,2.0,spot-bound,298.219,20190127.0,bound,105.714,105.714,4.454,6.565,25.932,spot,345.285,343.015,-0.484,10.515999999999998,-0.062,61.938,2.231
2,,yes,0.9209999999999999,1.0190000000000001,,,,1.0,3.0,spot-bound,297.85200000000003,20190127.0,bound,107.449,107.449,4.119,6.149,25.9,spot,349.915,352.73400000000004,-0.344,61.656000000000006,-0.32799999999999996,19.672,1.149
0,,yes,1.15,1.018,,,,1.0,1.0,spot-bound,308.427,20190127.0,bound,109.286,109.286,3.7939999999999996,5.742000000000001,26.82,spot,347.181,345.695,0.484,79.484,0.062,67.062,1.494
1,,yes,1.294,1.018,,,,1.0,2.0,spot-bound,298.947,20190127.0,bound,106.91799999999999,106.91799999999999,3.9019999999999997,5.877000000000001,25.995,spot,341.022,352.69199999999995,-0.203,70.797,0.281,19.281,1.71
2,,yes,0.9179999999999999,1.018,,,,1.0,3.0,spot-bound,304.541,20190127.0,bound,108.02,108.02,3.804,5.755,26.482,spot,349.915,341.022,-0.406,57.593999999999994,-0.203,29.796999999999997,1.3090000000000002
3,,yes,0.9470000000000001,1.02,,,,1.0,4.0,spot-bound,294.337,20190127.0,bound,107.551,107.551,3.72,5.649,25.595,spot,355.469,350.0,0.141,40.141,0.42200000000000004,36.422,1.167
0,,yes,1.395,1.018,,,,1.0,1.0,spot-bound,310.075,20190127.0,bound,109.735,109.735,5.146,7.415,26.963,spot,340.775,342.773,0.281,67.281,0.172,66.172,2.846
1,,yes,1.185,1.0170000000000001,,,,1.0,3.0,spot-bound,316.897,20190127.0,bound,110.837,110.837,6.207000000000001,8.698,27.555999999999997,spot,339.722,337.25,0.078,22.078000000000003,-0.141,73.859,3.1239999999999997
2,,yes,1.7309999999999999,1.018,,,,1.0,4.0,spot-bound,311.307,20190127.0,bound,108.51,108.51,6.195,8.683,27.07,spot,336.293,337.088,-0.297,68.703,0.23399999999999999,28.234,3.858
3,,yes,1.36,1.018,,,,1.0,5.0,spot-bound,306.115,20190127.0,bound,106.429,106.429,6.023,8.477,26.619,spot,342.773,334.536,-0.5,82.5,-0.156,52.843999999999994,3.036
0,,yes,1.493,1.018,,,,1.0,1.0,spot-bound,308.117,20190127.0,bound,108.796,108.796,5.778,8.182,26.793000000000003,spot,337.25,342.60900000000004,0.125,91.125,0.031,38.031,3.478
1,,yes,1.392,1.0190000000000001,,,,1.0,2.0,spot-bound,299.214,20190127.0,bound,106.51,106.51,5.32,7.626,26.019000000000002,spot,342.773,343.501,0.031,38.031,-0.172,90.82799999999999,2.5610000000000004
2,,yes,1.161,1.018,,,,1.0,3.0,spot-bound,311.07,20190127.0,bound,110.061,110.061,5.08,7.334,27.05,spot,340.981,345.285,-0.266,33.734,-0.359,36.641,2.301
3,,yes,1.1740000000000002,1.02,,,,1.0,4.0,spot-bound,294.522,20190127.0,bound,107.755,107.755,4.73,6.905,25.611,spot,345.731,358.246,0.094,29.094,0.469,77.469,1.38
0,,yes,1.358,1.0270000000000001,,,,1.0,1.0,spot-bound,304.59,20190127.0,bound,141.16299999999998,141.16299999999998,5.483,7.824,26.486,spot,412.399,412.399,0.094,50.093999999999994,0.359,34.359,3.1830000000000003
1,,yes,1.295,1.026,,,,1.0,2.0,spot-bound,308.962,20190127.0,bound,140.612,140.612,5.461,7.797999999999999,26.866,spot,412.598,406.25,0.172,11.172,-0.42200000000000004,10.578,3.14
2,,yes,1.4269999999999998,1.0270000000000001,,,,1.0,3.0,spot-bound,302.258,20190127.0,bound,137.63299999999998,137.63299999999998,5.706,8.095,26.283,spot,406.055,409.374,-0.21899999999999997,58.781000000000006,0.359,79.359,3.8960000000000004
3,,yes,1.588,1.0270000000000001,,,,1.0,4.0,spot-bound,297.486,20190127.0,bound,134.959,134.959,5.824,8.237,25.868000000000002,spot,406.055,409.277,0.484,8.484,0.469,51.468999999999994,3.875
0,,yes,1.266,1.0270000000000001,,,,1.0,1.0,spot-bound,309.332,20190127.0,bound,142.49,142.49,5.654,8.031,26.898000000000003,spot,409.227,412.5,0.047,55.047,0.297,61.297,3.3539999999999996
1,,yes,1.308,1.028,,,,1.0,2.0,spot-bound,299.48,20190127.0,bound,139.571,139.571,5.675,8.057,26.041999999999998,spot,412.598,415.472,0.25,8.25,-0.062,30.938000000000002,3.3960000000000004
2,,yes,1.183,1.0270000000000001,,,,1.0,3.0,spot-bound,301.87,20190127.0,bound,137.878,137.878,6.325,8.84,26.25,spot,403.07599999999996,405.286,0.141,84.141,-0.281,10.719000000000001,5.325
3,,yes,1.2,1.0270000000000001,,,,1.0,4.0,spot-bound,303.575,20190127.0,bound,139.796,139.796,6.276,8.781,26.398000000000003,spot,409.374,412.399,0.266,33.266,-0.32799999999999996,82.67200000000001,3.8289999999999997
4,,yes,1.117,1.0290000000000001,,,,1.0,5.0,spot-bound,294.5,20190127.0,bound,137.245,137.245,6.225,8.72,25.609,spot,415.723,412.598,-0.297,13.703,-0.141,13.859000000000002,3.719
0,,yes,0.878,1.0270000000000001,,,,1.0,1.0,spot-bound,303.103,20190127.0,bound,139.347,139.347,6.007999999999999,8.459,26.357,spot,415.421,406.25,0.0,33.0,-0.516,8.484,3.708
1,,yes,1.38,1.028,,,,1.0,2.0,spot-bound,302.914,20190127.0,bound,141.347,141.347,5.705,8.094,26.34,spot,412.399,418.945,0.078,48.078,-0.469,74.531,3.102
2,,yes,1.2009999999999998,1.0270000000000001,,,,1.0,3.0,spot-bound,302.118,20190127.0,bound,138.571,138.571,5.7860000000000005,8.191,26.271,spot,412.5,409.277,0.484,26.484,-0.45299999999999996,64.547,3.648
3,,yes,1.237,1.03,,,,1.0,8.0,spot-bound,293.726,20190127.0,bound,138.898,138.898,5.841,8.257,25.541,spot,418.945,415.421,0.188,77.188,0.23399999999999999,77.234,3.705
0,,yes,1.16,1.0270000000000001,,,,1.0,1.0,spot-bound,306.27,20190127.0,bound,140.429,140.429,6.356,8.878,26.631999999999998,spot,406.055,409.374,0.016,21.016,0.266,44.266000000000005,4.056
1,,yes,1.156,1.028,,,,1.0,2.0,spot-bound,295.44,20190127.0,bound,137.959,137.959,6.188,8.675,25.69,spot,418.945,412.598,-0.031,37.969,-0.43799999999999994,80.562,3.719
0,,yes,1.166,1.026,,,,1.0,1.0,spot-bound,303.735,20190127.0,bound,139.857,139.857,6.29,8.798,26.412,spot,409.277,412.598,-0.42200000000000004,60.578,0.266,42.266000000000005,3.99
1,,yes,1.0959999999999999,1.0270000000000001,,,,1.0,2.0,spot-bound,304.973,20190127.0,bound,139.878,139.878,6.284,8.791,26.519000000000002,spot,406.055,409.374,0.21899999999999997,58.218999999999994,-0.203,76.797,3.9789999999999996
2,,yes,1.5119999999999998,1.0270000000000001,,,,1.0,3.0,spot-bound,292.74,20190127.0,bound,135.061,135.061,6.025,8.48,25.456,spot,418.945,409.277,0.43799999999999994,41.438,0.094,77.094,3.207
3,,yes,1.29,1.028,,,,1.0,4.0,spot-bound,291.634,20190127.0,bound,133.796,133.796,5.957000000000001,8.398,25.359,spot,409.374,412.20099999999996,-0.062,16.938,-0.45299999999999996,44.547,3.4530000000000003
0,,yes,1.038,1.0270000000000001,,,,1.0,1.0,spot-bound,304.26099999999997,20190127.0,bound,139.55100000000002,139.55100000000002,6.207000000000001,8.698,26.456999999999997,spot,409.374,406.25,0.266,56.266000000000005,-0.047,88.95299999999999,3.907
1,,yes,1.337,1.026,,,,1.0,2.0,spot-bound,302.945,20190127.0,bound,137.429,137.429,6.254,8.755,26.343000000000004,spot,406.055,406.25,-0.047,76.953,-0.406,67.594,4.001
2,,yes,1.148,1.028,,,,1.0,3.0,spot-bound,301.082,20190127.0,bound,138.63299999999998,138.63299999999998,6.1610000000000005,8.642999999999999,26.180999999999997,spot,415.472,406.25,0.188,28.188000000000002,0.312,91.31200000000001,3.676
3,,yes,1.252,1.0270000000000001,,,,1.0,4.0,spot-bound,296.954,20190127.0,bound,136.898,136.898,6.05,8.509,25.822,spot,415.723,412.399,0.45299999999999996,23.453000000000003,0.172,14.172,3.415
0,,yes,1.433,1.038,,,,1.0,1.0,Undefined-bound,302.35200000000003,20190127.0,bound,165.81599999999997,165.81599999999997,9.505,12.587,26.291,Undefined,475.845,467.904,0.5,81.5,0.43799999999999994,9.437999999999999,7.205
1,,yes,1.3030000000000002,1.044,,,,1.0,2.0,Undefined-bound,293.165,20190127.0,bound,164.082,164.082,9.132,12.154000000000002,25.493000000000002,Undefined,483.05699999999996,476.074,0.078,13.078,0.406,56.406000000000006,6.46
2,,yes,1.361,1.045,,,,1.0,3.0,Undefined-bound,295.221,20190127.0,bound,164.429,164.429,9.513,12.597999999999999,25.671,Undefined,468.75,471.88,0.391,50.391000000000005,-0.062,45.938,7.975
3,,yes,1.273,1.041,,,,1.0,4.0,Undefined-bound,293.58799999999997,20190127.0,bound,164.51,164.51,9.865,13.005999999999998,25.529,Undefined,472.10699999999997,476.074,-0.047,53.953,-0.32799999999999996,61.672,8.62
4,,yes,1.422,1.043,,,,1.0,5.0,Undefined-bound,287.82,20190127.0,bound,162.469,162.469,10.05,13.22,25.028000000000002,Undefined,490.952,464.5,-0.23399999999999999,29.766,0.43799999999999994,74.438,8.491
0,,yes,1.6130000000000002,1.041,,,,1.0,1.0,spot-bound,294.72700000000003,20190127.0,bound,163.44899999999998,163.44899999999998,18.412,22.703000000000003,25.628,spot,444.286,451.01099999999997,-0.266,38.734,-0.25,15.75,16.112000000000002
1,,yes,1.462,1.042,,,,1.0,2.0,spot-bound,298.181,20190127.0,bound,165.653,165.653,16.595,20.669,25.929000000000002,spot,456.585,459.565,0.172,44.172,0.23399999999999999,75.234,12.478
2,,yes,1.421,1.041,,,,1.0,3.0,Undefined-bound,300.005,20190127.0,bound,167.49,167.49,14.811,18.659000000000002,26.087,Undefined,468.41900000000004,476.074,-0.21899999999999997,49.781000000000006,0.312,51.312,8.943
3,,yes,0.96,1.043,,,,1.0,4.0,Undefined-bound,307.438,20190127.0,bound,171.16299999999998,171.16299999999998,13.536,17.215,26.734,Undefined,467.574,470.421,0.109,53.108999999999995,0.078,92.07799999999999,7.409
0,,yes,0.985,1.035,,,,1.0,2.0,Undefined-bound,305.885,20190127.0,bound,167.102,167.102,24.361,29.296,26.599,Undefined,464.5,460.76199999999994,-0.5,62.5,0.32799999999999996,55.328,9.751
1,,yes,1.8969999999999998,1.0390000000000001,,,,1.0,3.0,spot-bound,300.735,20190127.0,bound,168.755,168.755,25.355999999999998,30.391,26.151,spot,435.01300000000003,421.36800000000005,-0.141,42.858999999999995,0.125,18.125,25.046
2,,yes,1.4269999999999998,1.043,,,,1.0,4.0,Undefined-bound,299.507,20190127.0,bound,169.53099999999998,169.53099999999998,21.886,26.564,26.044,Undefined,471.88,476.074,0.281,34.281,-0.141,9.859,9.175
3,,yes,1.214,1.042,,,,1.0,5.0,Undefined-bound,303.67900000000003,20190127.0,bound,168.16299999999998,168.16299999999998,19.583,24.009,26.406999999999996,Undefined,464.17199999999997,467.904,0.031,82.031,-0.297,65.703,8.074
0,,yes,1.3519999999999999,1.04,,,,1.0,3.0,Undefined-bound,298.906,20190127.0,bound,165.77599999999998,165.77599999999998,22.655,27.415,25.991999999999997,Undefined,459.45300000000003,468.475,0.125,68.125,-0.25,84.75,10.395
1,,yes,1.5590000000000002,1.043,,,,1.0,4.0,Undefined-bound,293.38,20190127.0,bound,164.51,164.51,20.038,24.514,25.511,Undefined,475.845,464.8,-0.406,10.594000000000001,0.125,42.125,9.885
0,,yes,1.611,1.046,,,,1.0,1.0,Undefined-bound,295.433,20190127.0,bound,166.49,166.49,12.261,15.763,25.69,Undefined,471.88,467.961,0.047,43.047,0.297,53.297,9.961
1,,yes,1.337,1.038,,,,1.0,2.0,Undefined-bound,302.017,20190127.0,bound,165.735,165.735,11.869000000000002,15.314,26.261999999999997,Undefined,472.07,458.221,-0.094,79.906,0.5,87.5,9.177
2,,yes,1.531,1.044,,,,1.0,3.0,spot-bound,301.95,20190127.0,bound,167.571,167.571,13.343,16.995,26.256,spot,452.16,452.105,-0.047,20.953000000000003,0.062,87.06200000000001,13.99
