, ,Above threshold?,Chi^2,Correlation Coefficient,"Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010071/, redtitle: 20190127010071.bin.counts_ch0.stack.tif","Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010080/, redtitle: 20190127010080.bin.counts_ch0.stack.tif",Good?,ROI,Shape-Binding,a,date,free or bound?,iFirst,iSecond,pthresh,realthreshold,run,spot,stoichiometry,streak,streak or spot?,wx,wy,x0,xpos,y0,ypos,z
2,,yes,0.9179999999999999,1.018,,,1.0,3.0,spot-bound,304.541,20190127.0,bound,108.02,108.02,2.7039999999999997,4.349,,,50.757,,spot,349.915,341.022,-0.406,57.593999999999994,-0.203,29.796999999999997,1.3090000000000002
3,,yes,0.9470000000000001,1.02,,,1.0,4.0,spot-bound,294.337,20190127.0,bound,107.551,107.551,2.62,4.239,,,49.056000000000004,,spot,355.469,350.0,0.141,40.141,0.42200000000000004,36.422,1.167
0,,yes,1.395,1.018,,,1.0,1.0,spot-bound,310.075,20190127.0,bound,109.735,109.735,4.046,6.057,,,51.678999999999995,,spot,340.775,342.773,0.281,67.281,0.172,66.172,2.846
1,,yes,1.185,1.0170000000000001,,,1.0,3.0,spot-bound,316.897,20190127.0,bound,110.837,110.837,5.107,7.3660000000000005,,,52.816,,spot,339.722,337.25,0.078,22.078000000000003,-0.141,73.859,3.1239999999999997
2,,yes,1.7309999999999999,1.018,,,1.0,4.0,spot-bound,311.307,20190127.0,bound,108.51,108.51,5.095,7.352,,,51.885,,spot,336.293,337.088,-0.297,68.703,0.23399999999999999,28.234,3.858
3,,yes,1.36,1.018,,,1.0,5.0,spot-bound,306.115,20190127.0,bound,106.429,106.429,4.923,7.141,,,51.019,,spot,342.773,334.536,-0.5,82.5,-0.156,52.843999999999994,3.036
0,,yes,1.493,1.018,,,1.0,1.0,spot-bound,308.117,20190127.0,bound,108.796,108.796,4.678,6.841,,,51.353,,spot,337.25,342.60900000000004,0.125,91.125,0.031,38.031,3.478
1,,yes,1.392,1.0190000000000001,,,1.0,2.0,spot-bound,299.214,20190127.0,bound,106.51,106.51,4.22,6.274,,,49.869,,spot,342.773,343.501,0.031,38.031,-0.172,90.82799999999999,2.5610000000000004
2,,yes,1.161,1.018,,,1.0,3.0,spot-bound,311.07,20190127.0,bound,110.061,110.061,3.98,5.975,,,51.845,,spot,340.981,345.285,-0.266,33.734,-0.359,36.641,2.301
3,,yes,1.1740000000000002,1.02,,,1.0,4.0,spot-bound,294.522,20190127.0,bound,107.755,107.755,3.63,5.535,,,49.086999999999996,,spot,345.731,358.246,0.094,29.094,0.469,77.469,1.38
0,,yes,1.358,1.0270000000000001,,,1.0,1.0,spot-bound,304.59,20190127.0,bound,141.16299999999998,141.16299999999998,4.383,6.476,,,50.765,,spot,412.399,412.399,0.094,50.093999999999994,0.359,34.359,3.1830000000000003
1,,yes,1.295,1.026,,,1.0,2.0,spot-bound,308.962,20190127.0,bound,140.612,140.612,4.361000000000001,6.45,,,51.494,,spot,412.598,406.25,0.172,11.172,-0.42200000000000004,10.578,3.14
2,,yes,1.4269999999999998,1.0270000000000001,,,1.0,3.0,spot-bound,302.258,20190127.0,bound,137.63299999999998,137.63299999999998,4.606,6.752000000000001,,,50.376000000000005,,spot,406.055,409.374,-0.21899999999999997,58.781000000000006,0.359,79.359,3.8960000000000004
3,,yes,1.588,1.0270000000000001,,,1.0,4.0,spot-bound,297.486,20190127.0,bound,134.959,134.959,4.724,6.897,,,49.581,,spot,406.055,409.277,0.484,8.484,0.469,51.468999999999994,3.875
0,,yes,1.266,1.0270000000000001,,,1.0,1.0,spot-bound,309.332,20190127.0,bound,142.49,142.49,4.553999999999999,6.687,,,51.555,,spot,409.227,412.5,0.047,55.047,0.297,61.297,3.3539999999999996
1,,yes,1.308,1.028,,,1.0,2.0,spot-bound,299.48,20190127.0,bound,139.571,139.571,4.575,6.7139999999999995,,,49.913000000000004,,spot,412.598,415.472,0.25,8.25,-0.062,30.938000000000002,3.3960000000000004
2,,yes,1.183,1.0270000000000001,,,1.0,3.0,spot-bound,301.87,20190127.0,bound,137.878,137.878,5.225,7.511,,,50.312,,spot,403.07599999999996,405.286,0.141,84.141,-0.281,10.719000000000001,5.325
3,,yes,1.2,1.0270000000000001,,,1.0,4.0,spot-bound,303.575,20190127.0,bound,139.796,139.796,5.176,7.4510000000000005,,,50.596000000000004,,spot,409.374,412.399,0.266,33.266,-0.32799999999999996,82.67200000000001,3.8289999999999997
4,,yes,1.117,1.0290000000000001,,,1.0,5.0,spot-bound,294.5,20190127.0,bound,137.245,137.245,5.125,7.388,,,49.083,,spot,415.723,412.598,-0.297,13.703,-0.141,13.859000000000002,3.719
0,,yes,0.878,1.0270000000000001,,,1.0,1.0,spot-bound,303.103,20190127.0,bound,139.347,139.347,4.908,7.122999999999999,,,50.516999999999996,,spot,415.421,406.25,0.0,33.0,-0.516,8.484,3.708
1,,yes,1.38,1.028,,,1.0,2.0,spot-bound,302.914,20190127.0,bound,141.347,141.347,4.605,6.751,,,50.486000000000004,,spot,412.399,418.945,0.078,48.078,-0.469,74.531,3.102
2,,yes,1.2009999999999998,1.0270000000000001,,,1.0,3.0,spot-bound,302.118,20190127.0,bound,138.571,138.571,4.686,6.851,,,50.353,,spot,412.5,409.277,0.484,26.484,-0.45299999999999996,64.547,3.648
3,,yes,1.237,1.03,,,1.0,8.0,spot-bound,293.726,20190127.0,bound,138.898,138.898,4.7410000000000005,6.917999999999999,,,48.95399999999999,,spot,418.945,415.421,0.188,77.188,0.23399999999999999,77.234,3.705
0,,yes,1.16,1.0270000000000001,,,1.0,1.0,spot-bound,306.27,20190127.0,bound,140.429,140.429,5.256,7.5489999999999995,,,51.045,,spot,406.055,409.374,0.016,21.016,0.266,44.266000000000005,4.056
1,,yes,1.156,1.028,,,1.0,2.0,spot-bound,295.44,20190127.0,bound,137.959,137.959,5.088,7.343,,,49.24,,spot,418.945,412.598,-0.031,37.969,-0.43799999999999994,80.562,3.719
0,,yes,1.166,1.026,,,1.0,1.0,spot-bound,303.735,20190127.0,bound,139.857,139.857,5.19,7.468,,,50.623000000000005,,spot,409.277,412.598,-0.42200000000000004,60.578,0.266,42.266000000000005,3.99
1,,yes,1.0959999999999999,1.0270000000000001,,,1.0,2.0,spot-bound,304.973,20190127.0,bound,139.878,139.878,5.184,7.461,,,50.82899999999999,,spot,406.055,409.374,0.21899999999999997,58.218999999999994,-0.203,76.797,3.9789999999999996
2,,yes,1.5119999999999998,1.0270000000000001,,,1.0,3.0,spot-bound,292.74,20190127.0,bound,135.061,135.061,4.925,7.144,,,48.79,,spot,418.945,409.277,0.43799999999999994,41.438,0.094,77.094,3.207
3,,yes,1.29,1.028,,,1.0,4.0,spot-bound,291.634,20190127.0,bound,133.796,133.796,4.857,7.061,,,48.606,,spot,409.374,412.20099999999996,-0.062,16.938,-0.45299999999999996,44.547,3.4530000000000003
0,,yes,1.038,1.0270000000000001,,,1.0,1.0,spot-bound,304.26099999999997,20190127.0,bound,139.55100000000002,139.55100000000002,5.107,7.367000000000001,,,50.71,,spot,409.374,406.25,0.266,56.266000000000005,-0.047,88.95299999999999,3.907
1,,yes,1.337,1.026,,,1.0,2.0,spot-bound,302.945,20190127.0,bound,137.429,137.429,5.154,7.4239999999999995,,,50.49100000000001,,spot,406.055,406.25,-0.047,76.953,-0.406,67.594,4.001
2,,yes,1.148,1.028,,,1.0,3.0,spot-bound,301.082,20190127.0,bound,138.63299999999998,138.63299999999998,5.061,7.311,,,50.18,,spot,415.472,406.25,0.188,28.188000000000002,0.312,91.31200000000001,3.676
3,,yes,1.252,1.0270000000000001,,,1.0,4.0,spot-bound,296.954,20190127.0,bound,136.898,136.898,4.95,7.175,,,49.492,,spot,415.723,412.399,0.45299999999999996,23.453000000000003,0.172,14.172,3.415
0,,yes,1.433,1.038,,,1.0,1.0,Undefined-bound,302.35200000000003,20190127.0,bound,165.81599999999997,165.81599999999997,8.405,11.304,,,50.391999999999996,,Undefined,475.845,467.904,0.5,81.5,0.43799999999999994,9.437999999999999,7.205
1,,yes,1.3030000000000002,1.044,,,1.0,2.0,Undefined-bound,293.165,20190127.0,bound,164.082,164.082,8.032,10.867,,,48.861000000000004,,Undefined,483.05699999999996,476.074,0.078,13.078,0.406,56.406000000000006,6.46
2,,yes,1.361,1.045,,,1.0,3.0,Undefined-bound,295.221,20190127.0,bound,164.429,164.429,8.413,11.314,,,49.203,,Undefined,468.75,471.88,0.391,50.391000000000005,-0.062,45.938,7.975
3,,yes,1.273,1.041,,,1.0,4.0,Undefined-bound,293.58799999999997,20190127.0,bound,164.51,164.51,8.765,11.725999999999999,,,48.931000000000004,,Undefined,472.10699999999997,476.074,-0.047,53.953,-0.32799999999999996,61.672,8.62
4,,yes,1.422,1.043,,,1.0,5.0,Undefined-bound,287.82,20190127.0,bound,162.469,162.469,8.95,11.942,,,47.97,,Undefined,490.952,464.5,-0.23399999999999999,29.766,0.43799999999999994,74.438,8.491
0,,yes,1.6130000000000002,1.041,,,1.0,1.0,spot-bound,294.72700000000003,20190127.0,bound,163.44899999999998,163.44899999999998,17.312,21.473000000000003,,,49.121,,spot,444.286,451.01099999999997,-0.266,38.734,-0.25,15.75,16.112000000000002
1,,yes,1.462,1.042,,,1.0,2.0,spot-bound,298.181,20190127.0,bound,165.653,165.653,15.495,19.430999999999997,,,49.696999999999996,,spot,456.585,459.565,0.172,44.172,0.23399999999999999,75.234,12.478
2,,yes,1.421,1.041,,,1.0,3.0,Undefined-bound,300.005,20190127.0,bound,167.49,167.49,13.710999999999999,17.414,,,50.001000000000005,,Undefined,468.41900000000004,476.074,-0.21899999999999997,49.781000000000006,0.312,51.312,8.943
3,,yes,0.96,1.043,,,1.0,4.0,Undefined-bound,307.438,20190127.0,bound,171.16299999999998,171.16299999999998,12.436,15.962,,,51.24,,Undefined,467.574,470.421,0.109,53.108999999999995,0.078,92.07799999999999,7.409
0,,yes,0.985,1.035,,,1.0,2.0,Undefined-bound,305.885,20190127.0,bound,167.102,167.102,23.261,28.083000000000002,,,50.981,,Undefined,464.5,460.76199999999994,-0.5,62.5,0.32799999999999996,55.328,9.751
1,,yes,1.8969999999999998,1.0390000000000001,,,1.0,3.0,spot-bound,300.735,20190127.0,bound,168.755,168.755,24.256,29.180999999999997,,,50.122,,spot,435.01300000000003,421.36800000000005,-0.141,42.858999999999995,0.125,18.125,25.046
2,,yes,1.4269999999999998,1.043,,,1.0,4.0,Undefined-bound,299.507,20190127.0,bound,169.53099999999998,169.53099999999998,20.785999999999998,25.345,,,49.918,,Undefined,471.88,476.074,0.281,34.281,-0.141,9.859,9.175
3,,yes,1.214,1.042,,,1.0,5.0,Undefined-bound,303.67900000000003,20190127.0,bound,168.16299999999998,168.16299999999998,18.483,22.781999999999996,,,50.613,,Undefined,464.17199999999997,467.904,0.031,82.031,-0.297,65.703,8.074
0,,yes,1.3519999999999999,1.04,,,1.0,3.0,Undefined-bound,298.906,20190127.0,bound,165.77599999999998,165.77599999999998,21.555,26.198,,,49.818000000000005,,Undefined,459.45300000000003,468.475,0.125,68.125,-0.25,84.75,10.395
1,,yes,1.5590000000000002,1.043,,,1.0,4.0,Undefined-bound,293.38,20190127.0,bound,164.51,164.51,18.938,23.289,,,48.897,,Undefined,475.845,464.8,-0.406,10.594000000000001,0.125,42.125,9.885
0,,yes,1.611,1.046,,,1.0,1.0,Undefined-bound,295.433,20190127.0,bound,166.49,166.49,11.161,14.502,,,49.239,,Undefined,471.88,467.961,0.047,43.047,0.297,53.297,9.961
1,,yes,1.337,1.038,,,1.0,2.0,Undefined-bound,302.017,20190127.0,bound,165.735,165.735,10.769,14.050999999999998,,,50.336000000000006,,Undefined,472.07,458.221,-0.094,79.906,0.5,87.5,9.177
2,,yes,1.531,1.044,,,1.0,3.0,spot-bound,301.95,20190127.0,bound,167.571,167.571,12.243,15.742,,,50.325,,spot,452.16,452.105,-0.047,20.953000000000003,0.062,87.06200000000001,13.99
0,,,,,,,,3.0,,,20190127.0,,,,,,2.0,1.0,,0.0,,,,,20.953000000000003,,87.06200000000001,
