, ,Above threshold?,Chi^2,Correlation Coefficient,"Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010071/, redtitle: 20190127010071.bin.counts_ch0.stack.tif","Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010080/, redtitle: 20190127010080.bin.counts_ch0.stack.tif",Good?,ROI,Shape-Binding,a,date,free or bound?,iFirst,iSecond,pthresh,realthreshold,run,spot,stoichiometry,streak,streak or spot?,wx,wy,x0,xpos,y0,ypos,z
1,2.0,yes,0.489,1.01,,,1.0,2.0,spot-bound,282.256,20190127.0,bound,41.347,41.347,1.229,2.338,,,47.043,,spot,215.332,214.233,-0.21899999999999997,63.781000000000006,0.203,13.203,0.057999999999999996
2,3.0,yes,0.41600000000000004,1.0090000000000001,,,1.0,3.0,spot-bound,294.69,20190127.0,bound,41.653,41.653,1.227,2.335,,,49.115,,spot,210.938,210.938,-0.43799999999999994,19.562,-0.32799999999999996,30.671999999999997,0.024
3,4.0,yes,0.518,1.0090000000000001,,,1.0,4.0,spot-bound,302.54900000000004,20190127.0,bound,43.102,43.102,1.2229999999999999,2.329,,,50.425,,spot,212.585,212.585,-0.45299999999999996,59.547,-0.125,23.875,0.009000000000000001
4,5.0,yes,0.39899999999999997,1.01,,,1.0,5.0,spot-bound,291.337,20190127.0,bound,42.388000000000005,42.388000000000005,1.228,2.336,,,48.556000000000004,,spot,210.84,217.52900000000002,-0.406,69.594,-0.344,60.656000000000006,0.047
0,1.0,yes,0.47200000000000003,1.01,,,1.0,1.0,spot-bound,298.81,20190127.0,bound,44.02,44.02,1.2,2.295,,,49.802,,spot,210.938,220.459,-0.172,15.828,-0.125,58.875,0.0
1,2.0,yes,0.40399999999999997,1.0090000000000001,,,1.0,2.0,spot-bound,318.875,20190127.0,bound,44.02,44.02,1.202,2.299,,,53.146,,spot,209.03400000000002,207.642,0.469,78.469,0.406,37.406,0.005
0,1.0,yes,0.574,1.0090000000000001,,,1.0,1.0,spot-bound,296.781,20190127.0,bound,42.693999999999996,42.693999999999996,1.244,2.36,,,49.464,,spot,210.938,215.332,0.141,51.141000000000005,0.188,65.188,0.044000000000000004
1,2.0,yes,0.42,1.0090000000000001,,,1.0,2.0,spot-bound,301.327,20190127.0,bound,42.49,42.49,1.242,2.356,,,50.221000000000004,,spot,210.81400000000002,210.938,-0.21899999999999997,75.781,0.391,53.391000000000005,0.04
2,3.0,yes,0.48200000000000004,1.01,,,1.0,3.0,spot-bound,286.903,20190127.0,bound,41.714,41.714,1.234,2.345,,,47.817,,spot,216.266,212.585,0.42200000000000004,42.422,-0.203,77.797,0.019
3,4.0,yes,0.496,1.0090000000000001,,,1.0,4.0,spot-bound,301.503,20190127.0,bound,43.082,43.082,1.228,2.336,,,50.25,,spot,207.642,217.014,0.516,10.515999999999998,0.203,42.203,0.009000000000000001
0,1.0,yes,41.43600000000001,1.0090000000000001,,,0.0,1.0,spot-bound,320.837,20190127.0,bound,41.98,41.98,32.934,38.673,,,53.473,,spot,167.847,163.477,-0.188,23.811999999999998,-0.109,85.891,31.734
1,2.0,yes,0.449,1.0090000000000001,,,1.0,2.0,spot-bound,313.16200000000003,20190127.0,bound,43.878,43.878,17.082,21.215,,,52.193999999999996,,spot,210.938,209.18,-0.156,70.844,0.047,58.047,0.03
2,3.0,yes,0.596,1.0090000000000001,,,1.0,3.0,spot-bound,308.931,20190127.0,bound,43.735,43.735,11.788,15.220999999999998,,,51.488,,spot,214.13,209.076,-0.141,76.859,0.203,31.203000000000003,0.0
3,4.0,yes,6.381,1.01,,,0.0,4.0,spot-bound,301.293,20190127.0,bound,42.347,42.347,10.435,13.665999999999999,,,50.216,,spot,201.53799999999998,201.416,-0.266,18.734,0.406,80.406,5.178
0,1.0,yes,0.424,1.0090000000000001,,,1.0,1.0,spot-bound,311.803,20190127.0,bound,42.93899999999999,42.93899999999999,1.214,2.316,,,51.967,,spot,211.91400000000002,204.639,0.266,63.266000000000005,-0.047,61.953,0.013999999999999999
1,2.0,yes,0.495,1.0090000000000001,,,1.0,2.0,spot-bound,302.128,20190127.0,bound,43.122,43.122,1.207,2.306,,,50.355,,spot,217.014,207.44299999999998,-0.188,50.812,-0.094,33.906,0.0
2,3.0,yes,0.491,1.01,,,1.0,3.0,spot-bound,293.454,20190127.0,bound,41.898,41.898,1.205,2.302,,,48.909,,spot,215.332,209.18,0.23399999999999999,41.233999999999995,-0.156,34.844,0.0
0,1.0,yes,0.561,1.0090000000000001,,,1.0,1.0,spot-bound,311.395,20190127.0,bound,43.082,43.082,1.2,2.295,,,51.898999999999994,,spot,210.938,207.468,-0.391,48.608999999999995,-0.094,84.906,0.0
1,2.0,yes,0.309,1.0090000000000001,,,1.0,2.0,spot-bound,296.66200000000003,20190127.0,bound,42.449,42.449,1.2,2.295,,,49.443999999999996,,spot,210.938,213.57,0.062,71.062,-0.25,23.75,0.0
2,3.0,yes,1.682,1.0090000000000001,,,1.0,3.0,spot-bound,308.322,20190127.0,bound,42.857,42.857,1.6130000000000002,2.8819999999999997,,,51.387,,spot,207.468,207.468,0.266,79.266,0.156,26.156,1.238
3,4.0,yes,0.355,1.0090000000000001,,,1.0,4.0,spot-bound,299.091,20190127.0,bound,43.02,43.02,1.515,2.7460000000000004,,,49.849,,spot,212.56,212.56,0.43799999999999994,67.438,0.45299999999999996,45.453,0.024
0,1.0,yes,0.5429999999999999,1.0090000000000001,,,1.0,1.0,spot-bound,311.355,20190127.0,bound,43.428999999999995,43.428999999999995,1.2,2.295,,,51.893,,spot,212.56,207.468,-0.141,47.858999999999995,-0.094,13.905999999999999,0.0
1,2.0,yes,0.49,1.0090000000000001,,,1.0,2.0,spot-bound,307.346,20190127.0,bound,43.468999999999994,43.468999999999994,1.214,2.316,,,51.224,,spot,209.18,213.57,0.078,71.078,0.25,46.25,0.027999999999999997
2,3.0,yes,0.44,1.0090000000000001,,,1.0,3.0,spot-bound,307.323,20190127.0,bound,43.347,43.347,1.209,2.309,,,51.22,,spot,207.44299999999998,214.13,-0.172,36.828,-0.344,60.656000000000006,0.0
0,1.0,yes,0.469,1.0090000000000001,,,1.0,1.0,spot-bound,312.492,20190127.0,bound,44.082,44.082,1.216,2.319,,,52.082,,spot,210.938,210.938,-0.062,45.938,0.516,68.516,0.016
1,2.0,yes,0.496,1.0090000000000001,,,1.0,2.0,spot-bound,293.556,20190127.0,bound,41.98,41.98,1.226,2.333,,,48.926,,spot,210.81400000000002,214.233,-0.25,50.75,0.109,49.108999999999995,0.036000000000000004
2,3.0,yes,0.493,1.011,,,1.0,3.0,spot-bound,274.983,20190127.0,bound,41.918,41.918,1.225,2.332,,,45.83,,spot,217.52900000000002,221.484,-0.078,25.921999999999997,0.375,12.375,0.024
3,4.0,yes,0.528,1.01,,,1.0,4.0,spot-bound,285.851,20190127.0,bound,40.531,40.531,1.22,2.325,,,47.641999999999996,,spot,209.264,214.563,0.484,28.484,0.45299999999999996,52.453,0.005
4,5.0,yes,0.33299999999999996,1.0090000000000001,,,1.0,5.0,spot-bound,308.518,20190127.0,bound,45.122,45.122,1.216,2.319,,,51.42,,spot,212.78099999999998,216.239,0.45299999999999996,79.453,0.406,84.406,0.0
0,1.0,yes,0.49700000000000005,1.01,,,1.0,1.0,spot-bound,294.32599999999996,20190127.0,bound,42.653,42.653,1.2,2.295,,,49.053999999999995,,spot,214.13,213.57,0.031,65.031,-0.266,26.734,0.0
1,2.0,yes,0.682,1.0090000000000001,,,1.0,2.0,spot-bound,303.611,20190127.0,bound,42.428999999999995,42.428999999999995,1.214,2.316,,,50.602,,spot,215.907,204.639,0.406,13.405999999999999,0.391,52.391000000000005,0.027999999999999997
2,3.0,yes,0.363,1.0090000000000001,,,1.0,3.0,spot-bound,312.52,20190127.0,bound,41.816,41.816,1.209,2.309,,,52.086999999999996,,spot,203.125,207.468,-0.42200000000000004,29.578000000000003,-0.344,73.656,0.0
0,1.0,yes,0.662,1.012,,,1.0,1.0,spot-bound,314.183,20190127.0,bound,77.633,77.633,1.38,2.555,,,52.364,,spot,279.018,283.413,-0.375,77.625,0.172,34.172,0.18
1,2.0,yes,0.746,1.012,,,1.0,2.0,spot-bound,305.49,20190127.0,bound,76.061,76.061,1.432,2.6289999999999996,,,50.915,,spot,288.319,276.718,0.42200000000000004,64.422,-0.125,50.875,0.285
2,3.0,yes,0.67,1.013,,,1.0,3.0,spot-bound,295.073,20190127.0,bound,73.347,73.347,1.39,2.569,,,49.178999999999995,,spot,288.319,279.018,-0.062,68.938,-0.42200000000000004,18.578,0.10400000000000001
3,4.0,yes,0.7490000000000001,1.014,,,1.0,4.0,spot-bound,285.08,20190127.0,bound,73.22399999999999,73.22399999999999,1.3719999999999999,2.543,,,47.513000000000005,,spot,292.89599999999996,281.25,-0.125,12.875,-0.281,19.719,0.11900000000000001
0,1.0,yes,0.8909999999999999,1.012,,,1.0,1.0,spot-bound,305.747,20190127.0,bound,74.265,74.265,1.4240000000000002,2.617,,,50.958,,spot,281.25,278.906,0.312,16.312,0.45299999999999996,51.453,0.22399999999999998
1,2.0,yes,0.715,1.013,,,1.0,2.0,spot-bound,299.888,20190127.0,bound,74.429,74.429,1.421,2.613,,,49.981,,spot,281.25,283.814,-0.344,35.656,0.359,14.359000000000002,0.218
2,3.0,yes,0.855,1.013,,,1.0,3.0,spot-bound,290.642,20190127.0,bound,72.286,72.286,1.4180000000000001,2.609,,,48.44,,spot,283.277,281.25,-0.125,49.875,0.125,90.125,0.213
3,4.0,yes,1.078,1.013,,,1.0,4.0,spot-bound,300.03700000000003,20190127.0,bound,74.469,74.469,1.4569999999999999,2.6639999999999997,,,50.006,,spot,281.25,283.413,-0.25,43.75,0.281,64.281,0.37200000000000005
0,1.0,yes,0.9940000000000001,1.012,,,1.0,1.0,spot-bound,293.341,20190127.0,bound,72.449,72.449,1.3940000000000001,2.575,,,48.89,,spot,278.906,285.645,-0.156,44.843999999999994,0.203,57.203,0.19399999999999998
1,2.0,yes,0.8220000000000001,1.013,,,1.0,2.0,spot-bound,304.534,20190127.0,bound,74.694,74.694,1.392,2.572,,,50.756,,spot,281.181,279.053,-0.266,63.733999999999995,0.172,88.17200000000001,0.19
2,3.0,yes,1.075,1.013,,,1.0,3.0,spot-bound,307.968,20190127.0,bound,76.531,76.531,1.436,2.634,,,51.328,,spot,278.906,283.447,-0.297,21.703000000000003,0.0,39.0,0.32299999999999995
0,1.0,yes,6.388999999999999,1.015,,,0.0,1.0,spot-bound,362.606,20190127.0,bound,135.878,135.878,3.9610000000000003,5.9510000000000005,,,60.434,,spot,290.108,468.475,0.078,87.07799999999999,-0.312,71.688,2.761
1,2.0,yes,0.895,1.013,,,1.0,2.0,spot-bound,301.32099999999997,20190127.0,bound,75.286,75.286,2.6889999999999996,4.329,,,50.22,,spot,283.447,283.413,0.266,50.266000000000005,0.016,71.016,0.218
2,3.0,yes,0.8640000000000001,1.013,,,1.0,3.0,spot-bound,301.123,20190127.0,bound,74.51,74.51,2.327,3.853,,,50.187,,spot,281.25,281.25,-0.297,23.703000000000003,-0.375,10.625,0.40299999999999997
0,1.0,yes,0.728,1.012,,,1.0,1.0,spot-bound,300.995,20190127.0,bound,73.531,73.531,1.442,2.6430000000000002,,,50.166000000000004,,spot,278.906,281.25,0.203,85.20299999999999,0.047,67.047,0.242
1,2.0,yes,0.9640000000000001,1.012,,,1.0,2.0,spot-bound,298.84,20190127.0,bound,72.796,72.796,1.354,2.5180000000000002,,,49.806999999999995,,spot,278.906,283.413,-0.484,41.516000000000005,0.42200000000000004,45.422,0.066
2,3.0,yes,0.997,1.012,,,1.0,3.0,spot-bound,305.617,20190127.0,bound,74.796,74.796,1.4180000000000001,2.609,,,50.93600000000001,,spot,281.25,279.053,0.0,22.0,-0.32799999999999996,60.672,0.34600000000000003
3,4.0,yes,0.5539999999999999,1.013,,,1.0,4.0,spot-bound,296.057,20190127.0,bound,71.816,71.816,1.411,2.5989999999999998,,,49.343,,spot,283.447,276.693,-0.469,25.531,-0.188,90.81200000000001,0.19
4,5.0,yes,0.894,1.013,,,1.0,5.0,spot-bound,295.367,20190127.0,bound,73.918,73.918,1.4,2.583,,,49.228,,spot,290.625,276.66,-0.062,89.93799999999999,-0.047,28.953000000000003,0.157
0,1.0,yes,0.7120000000000001,1.013,,,1.0,1.0,spot-bound,297.012,20190127.0,bound,72.755,72.755,1.466,2.676,,,49.501999999999995,,spot,281.25,278.906,0.125,48.125,0.23399999999999999,47.233999999999995,0.266
1,2.0,yes,0.897,1.012,,,1.0,2.0,spot-bound,304.657,20190127.0,bound,74.898,74.898,1.475,2.69,,,50.776,,spot,283.378,281.25,0.42200000000000004,83.42200000000001,-0.32799999999999996,47.672,0.285
2,3.0,yes,0.875,1.012,,,1.0,3.0,spot-bound,313.749,20190127.0,bound,75.653,75.653,1.4769999999999999,2.6919999999999997,,,52.292,,spot,278.906,276.855,-0.23399999999999999,17.766,0.406,24.406,0.28
