 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	145.813	425.286	70.881	87.000	53.031	0.000	0.031	58.263	0	22.768	102.126	streak	0.464	free	130.735	130.735	147.013	159.138	yes	streak-free
2	2	146.999	418.191	69.698	83.000	44.062	0.000	0.062	56.681	0	32.232	129.135	streak	0.518	bound	133.653	133.653	147.606	159.755	yes	streak-bound
3	3	148.320	508.536	84.756	70.250	59.000	0.250	0.000	57.721	0	75.629	22.768	streak	0.443	free	130.939	130.939	148.244	160.419	yes	streak-free
4	4	133.506	200.712	33.452	80.750	58.719	-0.250	-0.281	55.576	0	498.047	103.216	streak	0.474	free	134.347	134.347	144.859	156.895	yes	streak-free
5	5	150.417	350.304	58.384	56.000	27.000	0.000	0.000	74.053	0	22.768	22.768	streak	0.503	bound	113.571	113.571	146.211	158.303	yes	streak-bound
6	6	134.233	384.522	64.087	15.906	79.969	-0.094	-0.031	67.413	0	78.281	24.595	streak	0.492	free	128.939	128.939	144.414	156.432	yes	streak-free
7	8	168.578	450.271	75.045	23.625	19.000	-0.375	0.000	78.033	0	89.917	22.768	streak	0.548	bound	137.490	137.490	147.663	159.815	yes	streak-bound
8	9	156.796	463.078	77.180	77.625	13.000	-0.375	0.000	66.014	0	90.630	23.491	streak	0.497	free	142.061	142.061	148.811	161.010	yes	streak-free
9	10	163.343	511.862	85.310	79.203	83.469	0.203	0.469	71.441	0	111.619	79.926	streak	0.488	free	140.857	140.857	150.384	162.648	yes	streak-free
10	11	140.763	474.887	79.148	49.000	79.641	0.000	-0.359	56.725	0	22.768	81.860	streak	0.428	free	111.143	111.143	149.619	161.851	yes	streak-free
11	12	143.161	330.773	55.129	18.000	56.000	0.000	0.000	59.879	0	22.768	22.768	streak	0.366	free	102.041	102.041	149.181	161.395	yes	streak-free
12	13	145.573	367.125	61.188	87.219	64.000	0.219	0.000	59.783	0	73.855	22.768	streak	0.429	free	127.612	127.612	148.995	161.202	yes	streak-free
13	14	163.635	383.947	63.991	57.781	63.062	-0.219	0.062	84.702	0	81.007	31.928	streak	0.492	free	122.673	122.673	150.127	162.379	yes	streak-free
14	15	126.513	186.502	31.084	72.203	72.000	0.203	0.000	62.895	0	492.188	22.768	streak	0.467	free	111.735	111.735	148.633	160.824	yes	streak-free
15	16	137.425	138.417	23.069	41.594	39.125	-0.406	0.125	77.974	0	403.125	263.672	spot	0.537	bound	144.694	144.694	148.007	160.173	no	spot-bound
16	17	119.243	311.573	51.929	15.078	11.312	0.078	0.312	58.642	0	113.445	170.856	Undefined	0.420	free	106.286	106.286	146.386	158.485	yes	Undefined-free
17	18	150.724	312.073	52.012	56.984	11.000	-0.016	0.000	48.765	0	23.306	22.768	streak	0.406	free	127.837	127.837	146.693	158.805	yes	streak-free
18	19	130.336	325.921	54.320	55.000	47.000	0.000	0.000	50.650	0	22.768	22.768	streak	0.387	free	115.837	115.837	145.896	157.974	yes	streak-free
19	20	121.671	144.843	24.140	37.203	77.781	0.203	0.781	61.260	0	194.477	468.410	Undefined	0.481	free	114.673	114.673	144.744	156.775	no	Undefined-free
20	22	164.294	362.547	60.425	19.000	87.703	0.000	-0.297	63.161	0	30.218	84.418	streak	0.434	free	144.531	144.531	145.732	157.804	yes	streak-free
21	23	142.803	309.289	51.548	10.984	32.000	-0.016	0.000	62.243	0	22.768	22.768	streak	0.456	free	124.633	124.633	145.654	157.723	yes	streak-free
22	24	151.222	297.170	49.528	23.000	25.000	0.000	0.000	66.172	0	22.768	22.768	streak	0.432	free	113.469	113.469	145.948	158.029	yes	streak-free
23	25	129.285	269.270	44.878	36.516	33.109	-0.484	0.109	51.032	0	183.032	204.613	spot	0.463	free	132.510	132.510	145.304	157.358	yes	spot-free
24	26	160.470	268.399	44.733	28.000	73.281	0.000	0.281	73.102	0	22.768	178.974	Undefined	0.524	bound	123.000	123.000	145.958	158.040	yes	Undefined-bound
25	27	145.511	297.315	49.552	40.984	16.000	-0.016	0.000	49.818	0	28.118	22.768	streak	0.414	free	127.816	127.816	145.987	158.070	yes	streak-free
26	29	116.517	358.038	59.673	31.000	62.297	0.000	0.297	47.999	0	22.768	116.379	streak	0.380	free	93.714	93.714	142.047	153.965	yes	streak-free
27	31	148.549	271.836	45.306	24.000	53.000	0.000	0.000	54.994	0	22.768	24.622	streak	0.412	free	147.327	147.327	142.313	154.242	yes	streak-free
