ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	103.563	412.075	35.833	68.250	43.000	0.250	0.000	44.925	0	77.703	22.768	streak	0.552	bound	99.367	99.367	105.863	116.152	yes	streak-bound
3	107.840	318.471	27.693	34.000	83.000	0.000	0.000	47.404	0	22.768	22.768	streak	0.505	bound	95.939	95.939	105.370	115.635	yes	streak-bound
4	95.381	303.409	26.383	66.531	65.688	-0.469	-0.312	34.874	0	192.853	85.758	streak	0.453	free	80.837	80.837	103.448	113.619	yes	streak-free
5	112.077	285.833	24.855	44.000	45.000	0.000	0.000	44.230	0	22.768	22.768	streak	0.461	free	88.490	88.490	105.633	115.911	yes	streak-free
6	98.820	369.088	32.095	62.266	39.812	0.266	-0.188	43.100	0	83.421	84.041	streak	0.468	free	85.694	85.694	104.881	115.122	yes	streak-free
7	103.764	277.231	24.107	8.000	69.000	0.000	0.000	47.034	0	22.768	28.651	streak	0.455	free	79.776	79.776	105.050	115.299	yes	streak-free
8	105.923	301.865	26.249	42.203	19.766	0.203	-0.234	46.331	0	147.656	98.825	streak	0.458	free	90.633	90.633	105.447	115.715	yes	streak-free
9	116.096	243.951	21.213	10.000	10.000	0.000	0.000	50.771	0	22.768	22.768	streak	0.487	free	97.245	97.245	106.886	117.224	yes	streak-free
10	105.153	235.691	20.495	79.641	29.641	-0.359	-0.359	45.852	0	91.073	336.331	Undefined	0.517	bound	95.796	95.796	106.942	117.284	yes	Undefined-bound
11	99.808	156.176	13.581	55.531	46.875	-0.469	-0.125	47.762	0	406.055	82.571	streak	0.481	free	96.020	96.020	106.503	116.823	yes	streak-free
12	112.417	233.634	20.316	74.984	91.000	-0.016	0.000	52.423	0	23.485	22.768	streak	0.438	free	80.082	80.082	107.187	117.540	yes	streak-free
13	94.967	248.153	21.579	59.000	64.000	0.000	0.000	45.383	0	23.130	22.768	streak	0.421	free	69.184	69.184	106.424	116.740	yes	streak-free
14	96.841	321.881	27.990	86.359	67.000	0.359	0.000	46.953	0	88.113	22.768	streak	0.456	free	84.714	84.714	105.904	116.195	yes	streak-free
