ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	103.563	412.075	68.679	68.250	43.000	0.250	0.000	44.925	0	77.703	22.768	streak	0.552	bound	99.367	99.367	104.763	114.998	yes	streak-bound
3	107.840	318.471	53.079	34.000	83.000	0.000	0.000	47.404	0	22.768	22.768	streak	0.505	bound	95.939	95.939	104.270	114.481	yes	streak-bound
4	95.381	303.409	50.568	66.531	65.688	-0.469	-0.312	34.874	0	192.853	85.758	streak	0.453	free	80.837	80.837	102.348	112.464	yes	streak-free
5	112.077	285.833	47.639	44.000	45.000	0.000	0.000	44.230	0	22.768	22.768	streak	0.461	free	88.490	88.490	104.533	114.758	yes	streak-free
6	98.820	369.088	61.515	62.266	39.812	0.266	-0.188	43.100	0	83.421	84.041	streak	0.468	free	85.694	85.694	103.781	113.968	yes	streak-free
7	103.764	277.231	46.205	8.000	69.000	0.000	0.000	47.034	0	22.768	28.651	streak	0.455	free	79.776	79.776	103.950	114.146	yes	streak-free
8	105.923	301.865	50.311	42.203	19.766	0.203	-0.234	46.331	0	147.656	98.825	streak	0.458	free	90.633	90.633	104.347	114.562	yes	streak-free
9	116.096	243.951	40.658	10.000	10.000	0.000	0.000	50.771	0	22.768	22.768	streak	0.487	free	97.245	97.245	105.786	116.071	yes	streak-free
10	105.153	235.691	39.282	79.641	29.641	-0.359	-0.359	45.852	0	91.073	336.331	Undefined	0.517	bound	95.796	95.796	105.842	116.130	yes	Undefined-bound
11	99.808	156.176	26.029	55.531	46.875	-0.469	-0.125	47.762	0	406.055	82.571	streak	0.481	free	96.020	96.020	105.403	115.669	yes	streak-free
12	112.417	233.634	38.939	74.984	91.000	-0.016	0.000	52.423	0	23.485	22.768	streak	0.438	free	80.082	80.082	106.087	116.387	yes	streak-free
13	94.967	248.153	41.359	59.000	64.000	0.000	0.000	45.383	0	23.130	22.768	streak	0.421	free	69.184	69.184	105.324	115.587	yes	streak-free
14	96.841	321.881	53.647	86.359	67.000	0.359	0.000	46.953	0	88.113	22.768	streak	0.456	free	84.714	84.714	104.804	115.041	yes	streak-free
16	101.231	241.330	40.222	66.062	54.016	0.062	0.016	44.189	0	45.536	46.259	streak	0.449	free	81.796	81.796	104.239	114.449	yes	streak-free
17	108.349	263.047	43.841	15.297	35.000	0.297	0.000	44.978	0	104.854	22.768	streak	0.469	free	88.163	88.163	104.551	114.776	yes	streak-free
18	108.648	222.444	37.074	53.000	70.000	0.000	0.000	43.285	0	22.768	22.768	streak	0.392	free	77.449	77.449	104.846	115.085	yes	streak-free
19	111.146	215.952	35.992	70.000	36.031	0.000	0.031	43.764	0	22.768	31.917	streak	0.397	free	87.653	87.653	105.240	115.499	yes	streak-free
20	83.391	176.986	29.498	91.547	29.344	-0.453	0.344	40.165	0	235.493	193.243	spot	0.468	free	84.755	84.755	104.208	114.416	yes	spot-free
21	116.311	205.670	34.278	24.984	35.000	-0.016	0.000	47.479	0	22.768	22.768	streak	0.452	free	87.531	87.531	104.841	115.081	yes	streak-free
22	107.921	99.803	16.634	37.391	26.156	-1.609	0.156	48.590	0	375.189	86.105	streak	0.416	free	91.367	91.367	105.036	115.285	no	streak-free
23	113.502	213.362	35.560	80.984	17.031	-0.016	0.031	43.055	0	123.872	31.414	streak	0.476	free	104.939	104.939	105.456	115.725	yes	streak-free
24	94.421	170.131	28.355	72.547	20.000	-0.453	0.000	36.583	0	344.360	22.768	streak	0.423	free	93.224	93.224	105.046	115.296	yes	streak-free
