ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	54.193	236.534	20.568	90.734	70.266	-0.266	0.266	26.135	0	81.496	90.111	streak	0.520	bound	49.163	49.163	56.493	64.010	yes	streak-bound
2	45.852	195.766	17.023	41.312	89.688	0.312	-0.312	20.796	0	102.305	87.827	streak	0.482	free	39.776	39.776	52.323	59.556	yes	streak-free
3	53.395	131.807	11.461	49.000	69.000	0.000	0.000	22.706	0	22.768	22.768	streak	0.527	bound	50.347	50.347	53.447	60.758	yes	streak-bound
4	53.442	155.242	13.499	47.000	31.719	0.000	-0.281	19.524	0	29.106	81.860	streak	0.486	free	49.959	49.959	54.021	61.371	yes	streak-free
5	53.939	126.932	11.038	62.000	35.000	0.000	0.000	24.608	0	22.768	27.713	streak	0.501	bound	41.469	41.469	54.464	61.844	yes	streak-bound
6	54.341	120.925	10.515	37.984	45.000	-0.016	0.000	21.499	0	22.768	22.768	streak	0.457	free	46.673	46.673	54.827	62.232	yes	streak-free
7	48.939	169.562	14.744	80.750	84.625	-0.250	-0.375	22.287	0	82.408	116.244	streak	0.496	free	40.735	40.735	54.315	61.684	yes	streak-free
8	56.323	91.177	7.928	58.484	42.000	0.484	0.000	25.534	0	187.271	22.768	streak	0.438	free	39.837	39.837	54.853	62.259	yes	streak-free
9	48.266	95.114	8.271	72.984	62.375	-0.016	0.375	22.240	0	22.768	215.717	Undefined	0.468	free	46.265	46.265	54.377	61.751	yes	Undefined-free
10	47.510	124.471	10.824	60.266	61.172	0.266	0.172	18.334	0	133.301	116.827	streak	0.458	free	46.020	46.020	53.920	61.263	yes	streak-free
11	50.762	144.267	12.545	85.000	76.703	0.000	-0.297	25.374	0	24.286	84.588	streak	0.417	free	37.816	37.816	53.842	61.180	yes	streak-free
12	56.392	123.066	10.701	32.812	58.719	-0.188	-0.281	21.375	0	70.632	226.886	Undefined	0.488	free	54.061	54.061	54.246	61.611	yes	Undefined-free
13	45.667	132.098	11.487	13.922	49.000	-0.078	0.000	22.224	0	153.479	22.768	streak	0.453	free	42.469	42.469	53.763	61.096	yes	streak-free
14	50.511	116.071	10.093	34.984	8.047	-0.016	0.047	23.780	0	23.485	95.169	streak	0.443	free	39.939	39.939	53.695	61.023	yes	streak-free
15	51.894	217.202	18.887	7.688	44.703	-0.312	-0.297	21.968	0	84.588	70.028	streak	0.469	free	44.959	44.959	53.728	61.058	yes	streak-free
16	47.790	73.763	6.414	50.312	40.109	0.312	0.109	23.072	0	207.265	191.894	spot	0.492	free	42.082	42.082	53.501	60.815	yes	spot-free
17	53.295	105.788	9.199	43.000	13.000	0.000	0.000	22.150	0	25.865	22.768	streak	0.421	free	47.735	47.735	53.624	60.947	yes	streak-free
18	52.448	134.206	11.670	85.297	11.000	0.297	0.000	22.173	0	82.789	22.768	streak	0.403	free	40.898	40.898	53.687	61.014	yes	streak-free
20	56.778	101.028	8.785	62.000	22.000	0.000	0.000	27.246	0	22.768	22.768	streak	0.465	free	46.571	46.571	52.203	59.429	yes	streak-free
21	46.963	144.738	12.586	72.078	38.547	0.078	-0.453	17.027	0	160.339	79.998	streak	0.414	free	43.980	43.980	52.063	59.279	yes	streak-free
22	50.030	117.156	10.187	16.891	7.906	-0.109	-0.094	20.219	0	85.778	49.249	streak	0.436	free	48.959	48.959	52.076	59.292	yes	streak-free
23	57.944	100.074	8.702	59.984	82.000	-0.016	0.000	22.538	0	22.768	22.768	streak	0.464	free	44.531	44.531	52.431	59.672	yes	streak-free
24	56.116	59.834	5.203	43.219	56.062	0.219	0.062	25.340	0	82.487	384.650	Undefined	0.466	free	49.163	49.163	52.680	59.938	no	Undefined-free
26	47.382	143.286	12.460	53.656	54.000	-0.344	0.000	18.016	0	84.418	27.322	streak	0.389	free	45.306	45.306	52.358	59.594	yes	streak-free
27	57.331	94.516	8.219	42.984	73.000	-0.016	0.000	23.724	0	23.306	22.768	streak	0.404	free	42.612	42.612	52.627	59.882	yes	streak-free
28	51.396	158.368	13.771	50.000	20.547	0.000	-0.453	19.877	0	22.768	91.790	streak	0.416	free	45.265	45.265	52.665	59.922	yes	streak-free
29	55.152	96.956	8.431	54.000	78.062	0.000	0.062	20.523	0	23.503	81.274	streak	0.427	free	46.633	46.633	52.830	60.099	yes	streak-free
30	54.821	95.168	8.275	14.000	76.000	0.000	0.000	21.895	0	24.214	22.768	streak	0.458	free	50.673	50.673	52.973	60.252	yes	streak-free
32	50.711	124.612	10.836	58.000	68.344	0.000	0.344	22.389	0	31.162	99.693	streak	0.400	free	41.857	41.857	52.262	59.491	yes	streak-free
33	46.508	232.065	20.180	86.547	87.828	-0.453	-0.172	19.305	0	70.845	123.748	streak	0.400	free	40.469	40.469	52.157	59.379	yes	streak-free
36	50.080	65.316	5.680	44.516	78.172	-0.484	0.172	24.202	0	236.148	188.843	spot	0.488	free	42.224	42.224	52.018	59.230	yes	spot-free
37	56.706	82.470	7.171	24.594	78.000	-0.406	0.000	22.806	0	162.179	22.768	streak	0.439	free	49.612	49.612	52.207	59.432	yes	streak-free
39	56.405	88.396	7.687	14.000	28.984	0.000	-0.016	24.716	0	24.214	23.127	streak	0.475	free	49.673	49.673	52.378	59.615	yes	streak-free
40	47.918	127.541	11.091	72.000	82.641	0.000	-0.359	18.301	0	22.768	92.046	streak	0.414	free	44.816	44.816	52.322	59.556	yes	streak-free
41	50.704	118.495	10.304	53.000	88.297	0.000	0.297	21.417	0	22.768	77.947	streak	0.428	free	41.388	41.388	52.340	59.574	yes	streak-free
42	50.429	92.440	8.038	74.000	12.000	0.000	0.000	18.351	0	22.768	22.768	streak	0.373	free	43.469	43.469	52.349	59.584	yes	streak-free
43	45.123	128.142	11.143	18.000	57.375	0.000	0.375	21.895	0	23.876	91.790	streak	0.347	free	38.082	38.082	52.232	59.459	yes	streak-free
44	52.312	141.174	12.276	27.000	54.578	0.000	-0.422	23.768	0	22.768	85.254	streak	0.477	free	45.776	45.776	52.287	59.518	yes	streak-free
47	46.048	92.751	8.065	63.984	51.000	-0.016	0.000	15.023	0	23.485	22.768	streak	0.298	free	42.898	42.898	52.263	59.493	yes	streak-free
