ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	54.193	236.534	39.422	90.734	70.266	-0.266	0.266	26.135	0	81.496	90.111	streak	0.520	bound	49.163	49.163	55.393	62.836	yes	streak-bound
2	45.852	195.766	32.628	41.312	89.688	0.312	-0.312	20.796	0	102.305	87.827	streak	0.482	free	39.776	39.776	51.223	58.380	yes	streak-free
3	53.395	131.807	21.968	49.000	69.000	0.000	0.000	22.706	0	22.768	22.768	streak	0.527	bound	50.347	50.347	52.347	59.582	yes	streak-bound
4	53.442	155.242	25.874	47.000	31.719	0.000	-0.281	19.524	0	29.106	81.860	streak	0.486	free	49.959	49.959	52.921	60.195	yes	streak-free
5	53.939	126.932	21.155	62.000	35.000	0.000	0.000	24.608	0	22.768	27.713	streak	0.501	bound	41.469	41.469	53.364	60.669	yes	streak-bound
6	54.341	120.925	20.154	37.984	45.000	-0.016	0.000	21.499	0	22.768	22.768	streak	0.457	free	46.673	46.673	53.727	61.057	yes	streak-free
7	48.939	169.562	28.260	80.750	84.625	-0.250	-0.375	22.287	0	82.408	116.244	streak	0.496	free	40.735	40.735	53.215	60.509	yes	streak-free
8	56.323	91.177	15.196	58.484	42.000	0.484	0.000	25.534	0	187.271	22.768	streak	0.438	free	39.837	39.837	53.753	61.085	yes	streak-free
9	48.266	95.114	15.852	72.984	62.375	-0.016	0.375	22.240	0	22.768	215.717	Undefined	0.468	free	46.265	46.265	53.277	60.576	yes	Undefined-free
10	47.510	124.471	20.745	60.266	61.172	0.266	0.172	18.334	0	133.301	116.827	streak	0.458	free	46.020	46.020	52.820	60.088	yes	streak-free
11	50.762	144.267	24.044	85.000	76.703	0.000	-0.297	25.374	0	24.286	84.588	streak	0.417	free	37.816	37.816	52.742	60.004	yes	streak-free
12	56.392	123.066	20.511	32.812	58.719	-0.188	-0.281	21.375	0	70.632	226.886	Undefined	0.488	free	54.061	54.061	53.146	60.436	yes	Undefined-free
