 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	129.978	610.230	53.063	57.000	91.453	0.000	0.453	50.034	0	22.768	92.518	streak	0.575	bound	119.286	119.286	132.278	143.779	yes	streak-bound
2	2	116.218	491.367	42.728	45.000	69.266	0.000	0.266	45.514	0	22.768	78.790	streak	0.483	free	94.082	94.082	125.398	136.596	yes	streak-free
3	3	121.824	252.657	21.970	57.766	44.016	-0.234	0.016	54.349	0	235.305	95.959	streak	0.525	bound	119.531	119.531	124.973	136.153	yes	streak-bound
4	4	126.111	318.724	27.715	62.984	88.000	-0.016	0.000	50.946	0	23.306	24.249	streak	0.478	free	105.041	105.041	125.833	137.050	yes	streak-free
5	5	119.040	312.846	27.204	46.984	13.000	-0.016	0.000	48.250	0	22.947	22.768	streak	0.466	free	102.714	102.714	124.934	136.112	yes	streak-free
6	6	138.499	359.845	31.291	38.422	87.297	0.422	0.297	55.134	0	78.867	187.390	Undefined	0.539	bound	125.551	125.551	127.578	138.874	yes	Undefined-bound
7	7	104.438	305.694	26.582	54.000	74.000	0.000	0.000	40.393	0	22.768	22.768	streak	0.407	free	95.429	95.429	124.601	135.764	yes	streak-free
8	8	104.281	279.538	24.308	73.203	49.812	0.203	-0.188	45.042	0	234.089	67.356	streak	0.473	free	96.327	96.327	122.349	133.410	yes	streak-free
9	9	119.795	281.924	24.515	86.984	12.984	-0.016	-0.016	48.048	0	82.367	23.306	streak	0.428	free	93.878	93.878	122.321	133.380	yes	streak-free
10	10	129.166	269.237	23.412	24.000	37.984	0.000	-0.016	54.399	0	28.196	23.306	streak	0.497	free	111.490	111.490	123.235	134.336	yes	streak-free
11	11	113.240	326.713	28.410	83.000	81.734	0.000	-0.266	46.488	0	22.768	81.403	streak	0.458	free	100.510	100.510	122.536	133.605	yes	streak-free
12	12	112.707	274.469	23.867	22.016	9.016	0.016	0.016	47.174	0	29.553	28.347	streak	0.435	free	103.898	103.898	121.908	132.949	yes	streak-free
13	13	119.040	324.420	28.210	66.000	55.734	0.000	-0.266	44.975	0	22.768	76.611	streak	0.405	free	98.878	98.878	121.864	132.904	yes	streak-free
14	14	115.555	219.808	19.114	12.562	67.641	-0.438	-0.359	42.747	0	194.681	111.518	spot	0.439	free	111.306	111.306	121.578	132.604	yes	spot-free
15	15	110.351	264.234	22.977	25.000	20.016	0.000	0.016	39.597	0	22.768	28.651	streak	0.409	free	93.959	93.959	120.983	131.982	yes	streak-free
16	16	117.651	353.172	30.711	29.000	65.375	0.000	0.375	45.950	0	27.033	87.419	streak	0.412	free	102.531	102.531	120.918	131.915	yes	streak-free
17	17	119.133	251.323	21.854	22.000	89.000	0.000	0.000	51.956	0	105.407	22.768	streak	0.411	free	101.082	101.082	120.949	131.946	yes	streak-free
18	18	123.733	204.804	17.809	72.719	21.078	-0.281	0.078	51.211	0	92.518	219.955	Undefined	0.476	free	103.714	103.714	121.231	132.242	yes	Undefined-free
19	19	126.417	255.356	22.205	73.000	85.875	0.000	-0.125	49.124	0	22.768	70.244	streak	0.410	free	102.490	102.490	121.625	132.654	yes	streak-free
20	20	133.070	293.939	25.560	24.000	74.750	0.000	-0.250	56.644	0	22.768	72.928	streak	0.498	free	121.633	121.633	122.312	133.372	yes	streak-free
21	21	100.996	165.888	14.425	29.891	11.266	-0.109	0.266	50.812	0	237.166	204.075	spot	0.449	free	89.306	89.306	121.407	132.425	yes	spot-free
22	22	95.529	263.187	22.886	39.891	52.094	-0.109	0.094	39.171	0	104.632	200.000	Undefined	0.421	free	90.612	90.612	120.335	131.305	yes	Undefined-free
23	23	122.968	277.689	24.147	32.000	47.734	0.000	-0.266	46.618	0	22.768	80.209	streak	0.438	free	97.020	97.020	120.550	131.529	yes	streak-free
24	24	128.108	471.660	41.014	53.000	61.469	0.000	0.469	45.492	0	27.059	76.930	streak	0.459	free	110.816	110.816	120.960	131.959	yes	streak-free
25	25	115.080	236.885	20.599	48.000	30.000	0.000	0.000	57.295	0	22.768	22.768	streak	0.422	free	91.980	91.980	120.817	131.809	yes	streak-free
