ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	67.903	181.365	30.227	81.938	53.125	-0.062	0.125	26.049	0	27.984	99.135	streak	0.463	free	60.306	60.306	69.103	77.416	yes	streak-free
2	63.987	271.517	45.253	85.578	86.344	-0.422	0.344	29.019	0	83.775	89.534	streak	0.518	bound	56.000	56.000	67.145	75.339	yes	streak-bound
3	64.746	111.899	18.650	34.062	19.891	0.062	-0.109	32.150	0	262.500	150.000	spot	0.523	bound	63.245	63.245	66.745	74.915	yes	spot-bound
4	69.654	159.349	26.558	89.156	16.000	0.156	0.000	30.092	0	115.275	22.768	streak	0.514	bound	63.041	63.041	67.772	76.005	yes	streak-bound
5	67.490	221.103	36.850	56.359	69.859	0.359	-0.141	23.955	0	91.073	99.903	streak	0.521	bound	63.796	63.796	67.956	76.199	yes	streak-bound
7	65.134	166.507	27.751	25.234	67.000	0.234	0.000	29.794	0	95.130	31.162	streak	0.494	free	55.102	55.102	64.045	72.047	yes	streak-free
8	66.226	145.988	24.331	15.000	51.000	0.000	0.000	29.141	0	22.768	22.768	streak	0.448	free	49.510	49.510	64.467	72.496	yes	streak-free
9	66.730	89.000	14.833	27.844	49.141	-0.156	0.141	34.455	0	446.897	104.066	streak	0.544	bound	66.551	66.551	64.852	72.905	yes	streak-bound
