ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	56.011	249.744	21.717	18.406	18.000	0.406	0.000	21.994	0	92.518	22.768	streak	0.452	free	50.857	50.857	58.311	65.947	yes	streak-free
2	68.072	168.497	14.652	48.984	22.000	-0.016	0.000	29.893	0	22.768	22.768	streak	0.472	free	55.388	55.388	64.341	72.363	yes	streak-free
3	61.151	241.968	21.041	14.000	49.578	0.000	-0.422	26.904	0	22.768	94.369	streak	0.472	free	51.449	51.449	64.044	72.047	yes	streak-free
4	55.497	86.902	7.557	76.625	8.109	-0.375	0.109	22.236	0	227.051	259.552	spot	0.441	free	58.469	58.469	62.483	70.387	yes	spot-free
5	70.316	182.770	15.893	33.000	10.281	0.000	0.281	33.431	0	22.768	78.585	streak	0.515	bound	65.184	65.184	64.509	72.541	yes	streak-bound
6	59.748	197.016	17.132	11.000	37.656	0.000	-0.344	23.728	0	22.768	87.141	streak	0.377	free	48.980	48.980	64.099	72.105	yes	streak-free
7	64.834	173.985	15.129	61.000	51.719	0.000	-0.281	28.639	0	22.768	81.455	streak	0.444	free	49.000	49.000	64.533	72.566	yes	streak-free
8	67.612	165.885	14.425	78.000	16.234	0.000	0.234	27.857	0	28.189	77.830	streak	0.474	free	57.653	57.653	65.205	73.280	yes	streak-free
9	68.319	137.532	11.959	73.000	48.000	0.000	0.000	27.167	0	22.768	22.768	streak	0.416	free	54.796	54.796	65.807	73.919	yes	streak-free
10	71.380	135.528	11.785	12.984	66.984	-0.016	-0.016	28.087	0	29.933	23.485	streak	0.469	free	57.939	57.939	66.594	74.754	yes	streak-free
11	65.178	138.738	12.064	10.000	77.000	0.000	0.000	23.947	0	28.196	22.768	streak	0.376	free	52.408	52.408	66.674	74.840	yes	streak-free
12	65.600	145.737	12.673	91.172	58.000	0.172	0.000	28.195	0	139.526	22.768	streak	0.506	bound	56.755	56.755	66.776	74.948	yes	streak-bound
13	67.070	141.773	12.328	43.000	11.812	0.000	-0.188	29.392	0	22.768	207.443	Undefined	0.480	free	57.224	57.224	66.976	75.160	yes	Undefined-free
14	67.405	123.908	10.775	63.000	78.562	0.000	-0.438	26.456	0	86.672	155.563	Undefined	0.436	free	57.265	57.265	67.171	75.367	yes	Undefined-free
15	53.431	102.655	8.927	64.000	39.109	0.000	0.109	22.281	0	24.286	369.141	Undefined	0.407	free	51.408	51.408	66.408	74.557	yes	Undefined-free
16	70.204	163.166	14.188	47.000	34.297	0.000	0.297	34.455	0	22.768	78.585	streak	0.502	bound	58.265	58.265	66.789	74.962	yes	streak-bound
17	62.537	136.400	11.861	19.984	58.078	-0.016	-0.922	25.699	0	23.127	72.764	streak	0.378	free	49.694	49.694	66.674	74.840	yes	streak-free
18	64.358	131.517	11.436	53.000	37.000	0.000	0.000	28.962	0	22.768	22.768	streak	0.455	free	51.878	51.878	66.673	74.839	yes	streak-free
