ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	56.011	249.744	41.624	18.406	18.000	0.406	0.000	21.994	0	92.518	22.768	streak	0.452	free	50.857	50.857	57.211	64.774	yes	streak-free
2	68.072	168.497	28.083	48.984	22.000	-0.016	0.000	29.893	0	22.768	22.768	streak	0.472	free	55.388	55.388	63.241	71.194	yes	streak-free
3	61.151	241.968	40.328	14.000	49.578	0.000	-0.422	26.904	0	22.768	94.369	streak	0.472	free	51.449	51.449	62.944	70.878	yes	streak-free
4	55.497	86.902	14.484	76.625	8.109	-0.375	0.109	22.236	0	227.051	259.552	spot	0.441	free	58.469	58.469	61.383	69.217	yes	spot-free
5	70.316	182.770	30.462	33.000	10.281	0.000	0.281	33.431	0	22.768	78.585	streak	0.515	bound	65.184	65.184	63.409	71.372	yes	streak-bound
6	59.748	197.016	32.836	11.000	37.656	0.000	-0.344	23.728	0	22.768	87.141	streak	0.377	free	48.980	48.980	62.999	70.936	yes	streak-free
7	64.834	173.985	28.998	61.000	51.719	0.000	-0.281	28.639	0	22.768	81.455	streak	0.444	free	49.000	49.000	63.433	71.397	yes	streak-free
8	67.612	165.885	27.648	78.000	16.234	0.000	0.234	27.857	0	28.189	77.830	streak	0.474	free	57.653	57.653	64.105	72.112	yes	streak-free
9	68.319	137.532	22.922	73.000	48.000	0.000	0.000	27.167	0	22.768	22.768	streak	0.416	free	54.796	54.796	64.707	72.751	yes	streak-free
10	71.380	135.528	22.588	12.984	66.984	-0.016	-0.016	28.087	0	29.933	23.485	streak	0.469	free	57.939	57.939	65.494	73.587	yes	streak-free
11	65.178	138.738	23.123	10.000	77.000	0.000	0.000	23.947	0	28.196	22.768	streak	0.376	free	52.408	52.408	65.574	73.672	yes	streak-free
12	65.600	145.737	24.289	91.172	58.000	0.172	0.000	28.195	0	139.526	22.768	streak	0.506	bound	56.755	56.755	65.676	73.781	yes	streak-bound
13	67.070	141.773	23.629	43.000	11.812	0.000	-0.188	29.392	0	22.768	207.443	Undefined	0.480	free	57.224	57.224	65.876	73.992	yes	Undefined-free
14	67.405	123.908	20.651	63.000	78.562	0.000	-0.438	26.456	0	86.672	155.563	Undefined	0.436	free	57.265	57.265	66.071	74.199	yes	Undefined-free
15	53.431	102.655	17.109	64.000	39.109	0.000	0.109	22.281	0	24.286	369.141	Undefined	0.407	free	51.408	51.408	65.308	73.390	yes	Undefined-free
16	70.204	163.166	27.194	47.000	34.297	0.000	0.297	34.455	0	22.768	78.585	streak	0.502	bound	58.265	58.265	65.689	73.794	yes	streak-bound
17	62.537	136.400	22.733	19.984	58.078	-0.016	-0.922	25.699	0	23.127	72.764	streak	0.378	free	49.694	49.694	65.574	73.672	yes	streak-free
18	64.358	131.517	21.920	53.000	37.000	0.000	0.000	28.962	0	22.768	22.768	streak	0.455	free	51.878	51.878	65.573	73.671	yes	streak-free
