ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	69.860	388.561	64.760	60.312	83.359	0.312	0.359	33.729	0	90.227	95.503	streak	0.555	bound	69.878	69.878	71.060	79.490	yes	streak-bound
2	70.577	230.628	38.438	67.984	47.000	-0.016	0.000	36.070	0	22.768	22.768	streak	0.455	free	56.388	56.388	71.418	79.869	yes	streak-free
3	79.272	267.036	44.506	74.000	26.719	0.000	-0.281	37.740	0	22.768	78.585	streak	0.574	bound	72.857	72.857	74.436	83.064	yes	streak-bound
4	80.922	206.798	34.466	87.000	33.000	0.000	0.000	35.692	0	22.768	22.768	streak	0.535	bound	63.816	63.816	76.358	85.096	yes	streak-bound
5	69.025	198.944	33.157	28.000	46.000	0.000	0.000	28.543	0	22.768	25.853	streak	0.428	free	62.184	62.184	75.131	83.799	yes	streak-free
6	75.940	193.813	32.302	71.984	66.000	-0.016	0.000	33.115	0	23.127	22.768	streak	0.433	free	58.714	58.714	75.466	84.153	yes	streak-free
8	82.784	182.993	30.499	20.000	87.000	0.000	0.000	37.650	0	22.768	22.768	streak	0.526	bound	69.245	69.245	74.314	82.935	yes	streak-bound
9	82.382	229.970	38.328	43.000	32.297	0.000	0.297	31.716	0	22.768	84.544	streak	0.517	bound	76.265	76.265	75.344	84.024	yes	streak-bound
10	85.107	216.180	36.030	58.828	62.641	-0.172	-0.359	28.193	0	128.875	89.214	streak	0.470	free	71.327	71.327	76.440	85.183	yes	streak-free
