 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	156.381	584.918	50.862	89.734	73.000	-0.266	0.000	63.555	0	78.936	22.768	streak	0.517	bound	134.327	134.327	158.681	171.278	yes	streak-bound
2	2	154.873	457.555	39.787	66.000	51.000	0.000	0.000	60.848	0	22.768	22.768	streak	0.495	free	122.898	122.898	157.927	170.494	yes	streak-free
3	3	144.578	444.539	38.656	31.000	34.000	0.000	0.000	57.815	0	22.768	22.768	streak	0.444	free	119.041	119.041	154.244	166.664	yes	streak-free
4	4	160.645	391.989	34.086	75.000	57.000	0.000	0.000	79.068	0	22.768	22.768	streak	0.472	free	129.918	129.918	156.419	168.926	yes	streak-free
5	5	148.529	387.969	33.736	31.000	79.984	0.000	-0.016	55.648	0	26.263	23.306	streak	0.405	free	123.735	123.735	155.301	167.763	yes	streak-free
6	6	168.810	357.435	31.081	65.984	73.000	-0.016	0.000	70.227	0	23.127	22.768	streak	0.435	free	132.551	132.551	157.936	170.503	yes	streak-free
7	7	147.281	443.111	38.531	63.766	37.938	-0.234	-0.062	61.677	0	73.646	83.964	streak	0.419	free	132.000	132.000	156.743	169.262	yes	streak-free
8	9	156.556	422.842	36.769	49.734	46.000	-0.266	0.000	79.371	0	78.278	22.768	streak	0.492	free	127.796	127.796	156.753	169.273	yes	streak-free
9	10	130.997	376.343	32.725	12.000	77.750	0.000	-0.250	56.569	0	22.768	113.841	streak	0.376	free	109.612	109.612	154.408	166.834	yes	streak-free
10	11	144.444	431.734	37.542	90.719	62.922	-0.281	-0.078	59.773	0	79.571	85.995	streak	0.434	free	129.510	129.510	153.711	166.109	yes	streak-free
11	12	138.843	272.525	23.698	7.984	12.203	-0.016	0.203	59.513	0	374.908	72.701	streak	0.470	free	130.510	130.510	152.664	165.019	yes	streak-free
12	13	150.595	269.695	23.452	59.391	34.734	0.391	-0.266	51.943	0	347.475	81.053	streak	0.393	free	139.184	139.184	152.681	165.038	yes	streak-free
13	14	136.983	391.478	34.042	60.750	44.000	-0.250	0.000	59.549	0	148.828	22.768	streak	0.409	free	115.490	115.490	151.724	164.042	yes	streak-free
14	15	151.990	305.163	26.536	67.000	82.000	0.000	0.000	63.537	0	22.768	22.768	streak	0.449	free	133.878	133.878	151.895	164.220	yes	streak-free
15	16	140.809	448.397	38.991	15.000	44.422	0.000	0.422	62.951	0	22.768	103.216	streak	0.411	free	122.224	122.224	151.346	163.648	yes	streak-free
16	17	132.397	376.672	32.754	46.781	71.000	-0.219	0.000	46.493	0	74.070	25.007	streak	0.331	free	117.837	117.837	150.367	162.629	yes	streak-free
17	18	128.607	447.461	38.910	82.250	67.188	0.250	0.188	50.679	0	71.377	99.861	streak	0.331	free	106.735	106.735	149.286	161.504	yes	streak-free
18	19	139.240	457.381	39.772	42.422	80.000	0.422	0.000	68.962	0	91.073	22.768	streak	0.410	free	119.959	119.959	148.878	161.080	yes	streak-free
19	20	152.593	265.218	23.062	15.828	27.984	-0.172	-0.016	61.194	0	232.515	23.503	streak	0.457	free	143.939	143.939	149.179	161.393	yes	streak-free
20	21	151.979	294.767	25.632	76.000	71.000	0.000	0.000	63.668	0	22.768	22.768	streak	0.398	free	109.265	109.265	149.422	161.645	yes	streak-free
21	22	135.117	354.089	30.790	53.266	67.938	0.266	-0.062	57.446	0	113.841	135.095	streak	0.422	free	133.265	133.265	148.876	161.077	yes	streak-free
22	24	162.569	345.156	30.014	53.000	16.297	0.000	0.297	57.874	0	22.768	82.779	streak	0.407	free	146.939	146.939	149.571	161.801	yes	streak-free
23	25	137.369	314.394	27.339	68.125	11.969	0.125	-0.031	56.202	0	104.564	23.485	streak	0.419	free	124.653	124.653	149.159	161.372	yes	streak-free
24	26	143.949	501.357	43.596	77.391	24.531	0.391	-0.469	55.307	0	97.019	94.414	streak	0.400	free	125.673	125.673	149.042	161.251	yes	streak-free
