ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	55.098	180.542	30.090	65.844	42.828	-0.156	-0.172	26.315	0	67.750	77.606	streak	0.454	free	42.694	42.694	56.298	63.801	yes	streak-free
2	55.737	141.653	23.609	21.000	8.984	0.000	-0.016	20.952	0	22.768	22.768	streak	0.465	free	50.837	50.837	56.617	64.142	yes	streak-free
3	54.098	278.316	46.386	39.375	67.516	0.375	-0.484	24.378	0	79.926	85.757	streak	0.466	free	44.449	44.449	56.178	63.673	yes	streak-free
4	57.612	126.558	21.093	88.984	44.000	-0.016	0.000	25.880	0	22.947	22.768	streak	0.458	free	46.245	46.245	56.836	64.375	yes	streak-free
5	47.855	78.142	13.024	16.156	73.609	0.156	-0.391	27.323	0	70.241	338.767	Undefined	0.462	free	39.755	39.755	55.280	62.715	yes	Undefined-free
6	52.841	128.183	21.364	24.000	86.000	0.000	0.000	21.131	0	22.768	22.768	streak	0.418	free	47.653	47.653	55.073	62.494	yes	streak-free
7	45.554	71.202	11.867	16.562	21.625	-0.438	-0.375	24.817	0	137.278	380.859	Undefined	0.481	free	45.245	45.245	53.885	61.225	yes	Undefined-free
8	58.331	111.211	18.535	56.984	15.016	-0.016	0.016	24.145	0	23.485	29.465	streak	0.483	free	47.816	47.816	54.591	61.979	yes	streak-free
9	45.282	59.707	9.951	15.906	36.562	-1.094	-0.438	27.830	0	387.292	272.865	spot	0.567	bound	47.082	47.082	53.690	61.017	no	spot-bound
10	49.093	117.885	19.647	27.000	31.000	0.000	0.000	23.779	0	22.768	22.768	streak	0.430	free	39.245	39.245	53.350	60.654	yes	streak-free
11	50.524	126.279	21.046	75.844	57.281	-0.156	0.281	25.083	0	199.951	80.925	streak	0.480	free	47.041	47.041	53.202	60.496	yes	streak-free
12	51.130	123.545	20.591	80.000	77.812	0.000	-0.188	17.597	0	28.637	71.736	streak	0.392	free	40.857	40.857	53.129	60.418	yes	streak-free
13	52.090	137.218	22.870	19.000	58.703	0.000	-0.297	21.156	0	22.768	80.202	streak	0.467	free	46.388	46.388	53.142	60.432	yes	streak-free
14	53.184	131.458	21.910	26.000	74.734	0.000	-0.266	20.540	0	22.768	76.247	streak	0.392	free	48.571	48.571	53.231	60.526	yes	streak-free
15	50.714	114.481	19.080	47.328	80.344	0.328	0.344	18.489	0	159.529	141.085	spot	0.423	free	50.571	50.571	53.143	60.433	yes	spot-free
16	53.231	134.342	22.390	48.969	21.766	-0.031	-0.234	20.588	0	23.127	72.054	streak	0.405	free	43.347	43.347	53.223	60.519	yes	streak-free
17	45.353	82.255	13.709	68.000	61.438	0.000	0.438	16.993	0	22.768	225.000	Undefined	0.391	free	41.673	41.673	52.831	60.099	yes	Undefined-free
18	49.748	84.532	14.089	70.000	79.984	0.000	-0.016	25.767	0	22.768	249.046	Undefined	0.514	bound	46.510	46.510	52.726	59.988	yes	Undefined-bound
19	53.071	96.779	16.130	68.000	70.000	0.000	0.000	19.912	0	22.768	22.768	streak	0.396	free	47.898	47.898	52.808	60.074	yes	streak-free
25	51.550	108.003	18.001	21.141	48.062	0.141	0.062	16.788	0	102.209	27.553	streak	0.375	free	46.714	46.714	52.480	59.725	yes	streak-free
26	45.870	139.364	23.227	67.625	36.891	-0.375	-0.109	21.137	0	84.766	173.590	Undefined	0.402	free	36.735	36.735	52.245	59.473	yes	Undefined-free
27	52.652	172.703	28.784	86.578	63.484	-0.422	0.484	20.223	0	84.479	89.700	streak	0.431	free	47.857	47.857	52.312	59.545	yes	streak-free
28	49.144	54.822	9.137	12.531	42.781	-0.469	-0.219	21.408	0	402.248	207.520	Undefined	0.448	free	48.265	48.265	52.233	59.460	no	Undefined-free
30	54.173	124.273	20.712	26.531	19.000	-0.469	0.000	23.389	0	92.518	22.768	streak	0.475	free	45.673	45.673	52.354	59.590	yes	streak-free
32	47.559	114.020	19.003	51.250	74.000	0.250	0.000	18.830	0	83.924	22.768	streak	0.376	free	40.367	40.367	52.221	59.448	yes	streak-free
37	54.477	86.112	14.352	40.984	22.922	-0.016	-0.078	20.570	0	23.485	98.819	streak	0.423	free	44.714	44.714	52.341	59.575	yes	streak-free
38	48.068	91.195	15.199	51.547	65.391	-0.453	0.391	21.615	0	92.518	262.436	Undefined	0.431	free	45.020	45.020	52.238	59.466	yes	Undefined-free
39	49.494	89.415	14.903	82.000	38.000	0.000	0.000	18.794	0	27.059	22.768	streak	0.324	free	36.592	36.592	52.188	59.413	yes	streak-free
