 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	118.110	368.505	61.417	77.297	24.719	0.297	-0.281	50.098	0	418.269	92.001	streak	0.547	bound	124.735	124.735	119.310	130.233	yes	streak-bound
2	2	178.225	578.424	96.404	89.000	55.734	0.000	-0.266	85.915	0	22.768	73.251	streak	0.583	bound	140.653	140.653	149.367	161.589	yes	streak-bound
3	4	144.498	595.946	99.324	11.719	53.000	-0.281	0.000	63.177	0	81.331	22.768	streak	0.544	bound	127.449	127.449	138.829	150.612	yes	streak-bound
4	5	140.314	266.457	44.410	46.000	47.906	0.000	-0.094	64.859	0	22.768	302.811	Undefined	0.550	bound	142.592	142.592	139.366	151.172	yes	Undefined-bound
5	6	137.558	396.505	66.084	20.203	8.609	0.203	-0.391	58.826	0	107.661	153.125	Undefined	0.502	bound	132.327	132.327	139.265	151.066	yes	Undefined-bound
6	7	169.165	345.325	57.554	32.984	27.000	-0.016	0.000	66.560	0	22.768	22.768	streak	0.488	free	147.061	147.061	143.708	155.696	yes	streak-free
7	8	136.771	209.233	34.872	77.234	68.750	0.234	-0.250	71.629	0	79.706	445.630	Undefined	0.481	free	117.347	117.347	142.991	154.949	yes	Undefined-free
8	9	136.052	234.502	39.084	17.719	61.078	-0.281	0.078	60.101	0	350.724	133.301	streak	0.500	free	138.796	138.796	142.353	154.284	yes	streak-free
9	10	145.901	485.254	80.876	20.031	76.344	0.031	0.344	59.391	0	49.953	81.014	streak	0.448	free	118.367	118.367	142.828	154.779	yes	streak-free
10	11	159.509	368.306	61.384	75.000	11.828	0.000	-0.172	58.176	0	41.773	64.670	streak	0.461	free	135.776	135.776	144.453	156.472	yes	streak-free
11	12	154.083	308.450	51.408	14.000	66.453	0.000	0.453	56.597	0	22.768	169.574	Undefined	0.499	free	125.673	125.673	145.356	157.412	yes	Undefined-free
