 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	145.981	463.883	77.314	85.000	72.312	0.000	0.312	66.589	0	22.768	125.409	streak	0.601	bound	139.408	139.408	147.181	159.313	yes	streak-bound
2	2	137.709	643.916	107.319	42.406	78.625	0.406	-0.375	56.175	0	85.032	90.955	streak	0.446	free	115.245	115.245	143.045	155.005	yes	streak-free
3	3	138.827	388.500	64.750	10.000	54.984	0.000	-0.016	60.759	0	22.768	28.418	streak	0.525	bound	122.327	122.327	142.039	153.957	yes	streak-bound
4	5	140.387	335.623	55.937	47.000	53.000	0.000	0.000	65.315	0	25.467	22.768	streak	0.494	free	111.612	111.612	141.926	153.839	yes	streak-free
5	6	136.139	185.865	30.978	86.000	33.547	0.000	-0.453	60.457	0	22.768	351.102	Undefined	0.470	free	124.653	124.653	141.009	152.883	yes	Undefined-free
6	7	127.545	318.313	53.052	88.234	25.766	0.234	-0.234	60.320	0	111.022	202.643	spot	0.511	bound	118.265	118.265	138.965	150.753	yes	spot-bound
7	8	127.384	254.638	42.440	68.672	39.000	-0.328	0.000	58.829	0	230.550	22.768	streak	0.509	bound	115.122	115.122	137.482	149.207	yes	streak-bound
8	9	124.781	154.405	25.734	44.078	68.859	0.078	-0.141	57.043	0	156.851	468.816	Undefined	0.522	bound	127.673	127.673	136.044	147.708	yes	Undefined-bound
9	10	125.271	306.998	51.166	34.016	59.000	0.016	0.000	40.915	0	118.027	22.768	streak	0.364	free	100.878	100.878	134.981	146.599	yes	streak-free
10	11	125.244	357.891	59.648	44.062	17.188	0.062	0.188	54.225	0	26.573	98.914	streak	0.395	free	109.061	109.061	134.127	145.708	yes	streak-free
11	12	122.115	300.546	50.091	49.984	26.000	-0.016	0.000	52.006	0	23.485	22.768	streak	0.391	free	94.184	94.184	133.144	144.683	yes	streak-free
12	13	131.506	461.687	76.948	13.656	40.766	-0.344	-0.234	51.921	0	83.922	83.954	streak	0.444	free	106.755	106.755	133.108	144.645	yes	streak-free
13	14	136.856	331.709	55.285	89.719	9.516	-0.281	-0.484	61.683	0	148.507	116.422	streak	0.497	free	128.653	128.653	133.488	145.042	yes	streak-free
14	16	116.582	297.228	49.538	80.984	21.000	-0.016	0.000	54.671	0	22.768	22.768	streak	0.456	free	109.224	109.224	132.237	143.737	yes	streak-free
15	17	124.490	285.460	47.577	75.000	73.000	0.000	0.000	48.626	0	26.263	22.768	streak	0.330	free	101.122	101.122	131.828	143.310	yes	streak-free
16	18	125.138	282.889	47.148	22.000	40.000	0.000	0.000	44.660	0	22.768	22.768	streak	0.389	free	101.551	101.551	131.505	142.973	yes	streak-free
17	19	131.534	279.388	46.565	58.000	73.938	0.000	-0.062	48.411	0	22.768	98.831	streak	0.409	free	117.163	117.163	131.573	143.044	yes	streak-free
18	20	132.750	274.237	45.706	31.000	12.000	0.000	0.000	64.535	0	22.768	22.768	streak	0.452	free	91.939	91.939	131.699	143.175	yes	streak-free
19	21	125.149	419.937	69.990	37.500	12.266	0.500	0.266	59.618	0	78.226	167.432	Undefined	0.474	free	108.245	108.245	131.431	142.895	yes	Undefined-free
20	22	122.341	285.777	47.629	21.000	50.016	0.000	0.016	44.997	0	22.768	25.449	streak	0.447	free	108.796	108.796	131.055	142.503	yes	streak-free
21	23	132.310	445.692	74.282	38.000	36.531	0.000	-0.469	51.781	0	23.876	91.790	streak	0.453	free	120.429	120.429	131.167	142.620	yes	streak-free
